id,title,authors,journal_num,abs,pdf,bib,code,supplementary,website,blog,abstract,skills,data_skills
11,"Unfolding-Model-Based Visualization: Theory, Method and Applications","Yunxiao Chen, Zhiliang Ying, Haoran Zhang","(11):1−51, 2021.",https://jmlr.org/papers/v22/18-846.html,https://jmlr.org/papers/volume22/18-846/18-846.pdf,https://jmlr.org/papers/v22/18-846.bib,https://github.com/hrzhang16/mmdu.,,,,"Multidimensional unfolding methods are widely used for visualizing item response data. Such methods project respondents and items simultaneously onto a low-dimensional Euclidian space, in which respondents and items are represented by ideal points, with person-person, item-item, and person-item similarities being captured by the Euclidian distances between the points. In this paper, we study the visualization of multidimensional unfolding from a statistical perspective. We cast multidimensional unfolding into an estimation problem, where the respondent and item ideal points are treated as parameters to be estimated. An estimator is then proposed for the simultaneous estimation of these parameters. Asymptotic theory is provided for the recovery of the ideal points, shedding lights on the validity of model-based visualization. An alternating projected gradient descent algorithm is proposed for the parameter estimation. We provide two illustrative examples, one on users' movie rating and the other on senate roll call voting.",Algorithm; Gradient Descent; Visualization,Visualizations
12,Global and Quadratic Convergence of Newton Hard-Thresholding Pursuit,"Shenglong Zhou, Naihua Xiu, Hou-Duo Qi","(12):1−45, 2021.",https://jmlr.org/papers/v22/19-026.html,https://jmlr.org/papers/volume22/19-026/19-026.pdf,https://jmlr.org/papers/v22/19-026.bib,,,,,"Algorithms based on the hard thresholding principle have been well studied with sounding theoretical guarantees in the compressed sensing and more general sparsity-constrained optimization. It is widely observed in existing empirical studies that when a restricted Newton step was used (as the debiasing step),  the hard-thresholding algorithms tend to meet halting conditions in a significantly low number of iterations and are very efficient. Hence, the thus obtained Newton hard-thresholding algorithms call for stronger theoretical guarantees than for their simple hard-thresholding counterparts. This paper provides a theoretical justification for the use of the restricted Newton step. We build our theory and algorithm, Newton Hard-Thresholding Pursuit (NHTP), for the sparsity-constrained optimization. Our main result shows that NHTP is quadratically convergent under the standard assumption of restricted strong convexity and smoothness. We also establish its global convergence to a stationary point under a weaker assumption. In the special case of the compressive sensing, NHTP effectively reduces to some of the existing hard-thresholding algorithms with a Newton step.  Consequently, our fast convergence result justifies why those algorithms perform better than without the Newton step. The efficiency of NHTP was demonstrated on both synthetic and real data in compressed sensing and sparse logistic regression.",Algorithm; Convexity; Logistic Regression; Logistics; Regression,Regressions
13,Homogeneity Structure Learning in Large-scale Panel Data with Heavy-tailed Errors,"Di Xiao, Yuan Ke, Runze Li","(13):1−42, 2021.",https://jmlr.org/papers/v22/19-1018.html,https://jmlr.org/papers/volume22/19-1018/19-1018.pdf,https://jmlr.org/papers/v22/19-1018.bib,,,,,"Large-scale panel data is ubiquitous in many modern data science applications. Conventional panel data analysis methods fail to address the new challenges, like individual impacts of covariates, endogeneity, embedded low-dimensional structure, and heavy-tailed errors, arising from the innovation of data collection platforms on which applications operate. In response to these challenges, this paper studies large-scale panel data with an interactive effects model. This model takes into account the individual impacts of covariates on each spatial node and removes the exogenous condition by allowing latent factors to affect both covariates and errors. Besides, we waive the sub-Gaussian assumption and allow the errors to be heavy-tailed. Further, we propose a data-driven procedure to learn a parsimonious yet flexible homogeneity structure embedded in high-dimensional individual impacts of covariates. The homogeneity structure assumes that there exists a partition of regression coefficients where the coefficients are the same within each group but different between the groups. The homogeneity structure is flexible as it contains many widely assumed low-dimensional structures (sparsity, global impact, etc.) as its special cases. Non-asymptotic properties are established to justify the proposed learning procedure. Extensive numerical experiments demonstrate the advantage of the proposed learning procedure over conventional methods especially when the data are generated from heavy-tailed distributions.",Data Analysis; Data Science; Innovation; Node.js; Platform; Regression,Regressions
14,On Multi-Armed Bandit Designs for Dose-Finding Trials,"Maryam Aziz, Emilie Kaufmann, Marie-Karelle Riviere","(14):1−38, 2021.",https://jmlr.org/papers/v22/19-228.html,https://jmlr.org/papers/volume22/19-228/19-228.pdf,https://jmlr.org/papers/v22/19-228.bib,,,,,"We study the problem of finding the optimal dosage in early stage clinical trials through the multi-armed bandit lens. We advocate the use of the Thompson Sampling principle, a flexible algorithm that can accommodate different types of monotonicity assumptions on the toxicity and efficacy of the doses. For the simplest version of Thompson Sampling, based on a uniform prior distribution for each dose, we provide finite-time upper bounds on the number of sub-optimal dose selections, which is unprecedented for dose-finding algorithms. Through a large simulation study, we then show that variants of Thompson Sampling based on more sophisticated prior distributions outperform state-of-the-art dose identification algorithms in different types of dose-finding studies that occur in phase I or phase I/II trials.",Algorithm; Design; Selection; Thompson Sampling,
15,Simple and Fast Algorithms for Interactive Machine Learning with Random Counter-examples,Jagdeep Singh Bhatia,"(15):1−30, 2021.",https://jmlr.org/papers/v22/19-372.html,https://jmlr.org/papers/volume22/19-372/19-372.pdf,https://jmlr.org/papers/v22/19-372.bib,,,,,"This work describes simple and efficient algorithms for interactively learning non-binary concepts in the learning from random counter-examples (LRC) model. Here, learning takes place from random counter-examples that the learner receives in response to their proper equivalence queries, and the learning time is the number of counter-examples needed by the learner to identify the target concept. Such learning is particularly suited for online ranking, classification, clustering, etc., where machine learning models must be used before they are fully trained. We provide two simple LRC algorithms, deterministic and randomized, for exactly learning concepts from any concept class $H$. We show that both these algorithms have an $\mathcal{O}(\log{}|H|)$ asymptotically optimal average learning time. This solves an open problem on the existence of an efficient LRC randomized algorithm while also simplifying previous results and improving their computational efficiency. We also show that the expected learning time of any Arbitrary LRC algorithm can be upper bounded by $\mathcal{O}(\frac{1}{\epsilon}\log{\frac{|H|}{\delta}})$, where $\epsilon$ and $\delta$ are the allowed learning error and failure probability respectively. This shows that LRC interactive learning is at least as efficient as non-interactive Probably Approximately Correct (PAC) learning. Our simulations also show that these algorithms outperform their theoretical bounds.",Algorithm; Classification; Clustering; Machine Learning; Probability; Probably Approximately Correct (PAC) Learning,
16,Pykg2vec: A Python Library for Knowledge Graph Embedding,"Shih-Yuan Yu, Sujit Rokka Chhetri, Arquimedes Canedo, Palash Goyal, Mohammad Abdullah Al Faruque","(16):1−6, 2021.  (Machine Learning Open Source Software Paper)",https://jmlr.org/papers/v22/19-433.html,https://jmlr.org/papers/volume22/19-433/19-433.pdf,https://jmlr.org/papers/v22/19-433.bib,https://github.com/Sujit-O/pykg2vec,,,,"Pykg2vec is a Python library for learning the representations of the entities and relations in knowledge graphs. Pykg2vec's flexible and modular software architecture currently implements 25 state-of-the-art knowledge graph embedding algorithms, and is designed to easily incorporate new algorithms.The goal of pykg2vec is to provide a practical and educational platform to accelerate research in knowledge graph representation learning. Pykg2vec is built on top of PyTorch and Python's multiprocessing framework and provides modules for batch generation, Bayesian hyperparameter optimization, evaluation of KGE tasks, embedding, and result visualization. Pykg2vec is released under the MIT License and is also available in the Python Package Index (PyPI). The source code of pykg2vec is available at https://github.com/Sujit-O/pykg2vec.",Algorithm; Bayesian; Github; Graph; Hyperparameter Optimization; Multiprocessing; Platform; Presentation; PyPI; PyTorch; Python; Research; Software Architecture; Visualization,Github; Presentation Skill; Python Programming; Visualizations
17,Continuous Time Analysis of Momentum Methods,"Nikola B. Kovachki, Andrew M. Stuart","(17):1−40, 2021.",https://jmlr.org/papers/v22/19-466.html,https://jmlr.org/papers/volume22/19-466/19-466.pdf,https://jmlr.org/papers/v22/19-466.bib,,https://jmlr.org/papers/volume22/19-466/supplementary.pdf,,,"Gradient descent-based optimization methods underpin the parameter training of neural networks, and hence comprise a significant component in the impressive test results found in a number of applications. Introducing stochasticity is key to their success in practical problems, and there is some understanding of the role of stochastic gradient descent in this context. Momentum modifications of gradient descent such as Polyak's Heavy Ball method (HB) and Nesterov's method of accelerated gradients (NAG), are also widely adopted. In this work our focus is on understanding the role of momentum in the training of neural networks, concentrating on the common situation in which the momentum contribution is fixed at each step of the algorithm. To expose the ideas simply we work in the deterministic setting. Our approach is to derive continuous time approximations of the discrete algorithms; these continuous time approximations provide insights into the mechanisms at play within the discrete algorithms. We prove three such approximations. Firstly we show that standard implementations of fixed momentum methods approximate a time-rescaled gradient descent flow, asymptotically as the learning rate shrinks to zero; this result does not distinguish momentum methods from pure gradient descent, in the limit of vanishing learning rate. We then proceed to prove two results aimed at understanding the observed practical advantages of fixed momentum methods over gradient descent, when implemented in the non-asymptotic regime with fixed small, but non-zero, learning rate.  We achieve this by proving approximations to continuous time limits in which the small but fixed learning rate appears as a parameter; this is known as the method of modified equations in the numerical analysis literature, recently rediscovered as the high resolution ODE approximation in the machine learning context. In our second result we show that the momentum method is approximated by a continuous time gradient flow,  with an additional momentum-dependent second order time-derivative correction, proportional to the learning rate; this may be used to explain the stabilizing effect of momentum algorithms in their transient phase. Furthermore in a third result we show that the momentum methods admit an exponentially attractive invariant manifold  on which the dynamics reduces, approximately, to a gradient flow with respect to a modified loss function, equal to the original loss function plus a small perturbation proportional to the learning rate; this small correction provides convexification of the loss function and encodes additional robustness present in momentum methods, beyond the transient phase.",Algorithm; Approximation; Derivative; Gradient Descent; Literature; Machine Learning; Neural Network; Numerical Analysis; Play; Training,
18,A Unified Sample Selection Framework for Output Noise Filtering: An Error-Bound Perspective,"Gaoxia Jiang, Wenjian Wang, Yuhua Qian, Jiye Liang","(18):1−66, 2021.",https://jmlr.org/papers/v22/19-498.html,https://jmlr.org/papers/volume22/19-498/19-498.pdf,https://jmlr.org/papers/v22/19-498.bib,,,,,"The existence of output noise will bring difficulties to supervised learning. Noise filtering, aiming to detect and remove polluted samples, is one of the main ways to deal with the noise on outputs. However, most of the filters are heuristic and could not explain the filtering influence on the generalization error (GE) bound. The hyper-parameters in various filters are specified manually or empirically, and they are usually unable to adapt to the data environment. The filter with an improper hyper-parameter may overclean, leading to a weak generalization ability. This paper proposes a unified framework of optimal sample selection (OSS) for the output noise filtering from the perspective of error bound. The covering distance filter (CDF) under the framework is presented to deal with noisy outputs in regression and ordinal classification problems. Firstly, two necessary and sufficient conditions for a fixed goodness of fit in regression are deduced from the perspective of GE bound. They provide the unified theoretical framework for determining the filtering effectiveness and optimizing the size of removed samples. The optimal sample size has the adaptability to the environmental changes in the sample size, the noise ratio, and noise variance. It offers a choice of tuning the hyper-parameter and could prevent filters from overcleansing. Meanwhile, the OSS framework can be integrated with any noise estimator and produces a new filter. Then the covering interval is proposed to separate low-noise and high-noise samples, and the effectiveness is proved in regression. The covering distance is introduced as an unbiased estimator of high noises. Further, the CDF algorithm is designed by integrating the cover distance with the OSS framework. Finally, it is verified that the CDF not only recognizes noise labels correctly but also brings down the prediction errors on real apparent age data set. Experimental results on benchmark regression and ordinal classification data sets demonstrate that the CDF outperforms the state-of-the-art filters in terms of prediction ability, noise recognition, and efficiency.",Adaptability; Algorithm; CSS Framework; Classification; Regression; Selection; Supervised Learning; Unsupervised Learning,Regressions
19,Ranking and synchronization from pairwise measurements via SVD,"Alexandre d'Aspremont, Mihai Cucuringu, Hemant Tyagi","(19):1−63, 2021.",https://jmlr.org/papers/v22/19-542.html,https://jmlr.org/papers/volume22/19-542/19-542.pdf,https://jmlr.org/papers/v22/19-542.bib,,,,,"Given a measurement graph $G= (V,E)$ and an unknown signal $r \in \mathbb{R}^n$, we investigate algorithms for recovering $r$ from pairwise measurements of the form $r_i - r_j$; $\{i,j\} \in E$. This problem arises in a variety of applications, such as ranking teams in sports data and time synchronization of distributed networks. Framed in the context of ranking, the task is to  recover the ranking of $n$ teams (induced by $r$) given a small subset of noisy pairwise rank offsets. We propose a simple SVD-based algorithmic pipeline for both the problem of time synchronization and ranking. We provide a detailed theoretical analysis in terms of robustness against both sampling sparsity and noise perturbations with outliers, using results from matrix perturbation and random matrix theory. Our theoretical findings are complemented by a detailed set of numerical experiments on both synthetic and real data, showcasing the competitiveness of our proposed algorithms with other  state-of-the-art methods.",Algorithm; Analysis; Graph; Network; Outliers; Sampling; Sports,
20,Aggregated Hold-Out,"Guillaume Maillard, Sylvain Arlot, Matthieu Lerasle","(20):1−55, 2021.",https://jmlr.org/papers/v22/19-624.html,https://jmlr.org/papers/volume22/19-624/19-624.pdf,https://jmlr.org/papers/v22/19-624.bib,,,,,"Aggregated hold-out (agghoo) is a method which averages learning rules selected by hold-out (that is, cross-validation with a single split). We provide the first theoretical guarantees on agghoo, ensuring that it can be used safely: Agghoo performs at worst like the hold-out when the risk is convex. The same holds true in classification with the 0--1 risk, with an additional constant factor. For the hold-out, oracle inequalities are known for bounded losses, as in binary classification. We show that similar results can be proved, under appropriate assumptions, for other risk-minimization problems. In particular, we obtain an oracle inequality for regularized kernel regression with a Lipschitz loss, without requiring that the $Y$ variable or the regressors be bounded. Numerical experiments show that aggregation brings a significant improvement over the hold-out and that agghoo is competitive with cross-validation.",Classification; Cross Validation; Oracle; Regression; Variable,Regressions
21,A Fast Globally Linearly Convergent Algorithm for the Computation of Wasserstein Barycenters,"Lei Yang, Jia Li, Defeng Sun, Kim-Chuan Toh","(21):1−37, 2021.",https://jmlr.org/papers/v22/19-629.html,https://jmlr.org/papers/volume22/19-629/19-629.pdf,https://jmlr.org/papers/v22/19-629.bib,,,,,"We consider the problem of computing a Wasserstein barycenter for a set of discrete probability distributions with finite supports, which finds many applications in areas such as statistics, machine learning and image processing. When the support points of the barycenter are pre-specified, this problem can be modeled as a linear programming (LP) problem whose size can be extremely large. To handle this large-scale LP, we analyse the structure of its dual problem, which is conceivably more tractable and can be reformulated as a well-structured convex problem with 3 kinds of block variables and a coupling linear equality constraint. We then adapt a symmetric Gauss-Seidel based alternating direction method of multipliers (sGS-ADMM) to solve the resulting dual problem and establish its global convergence and global linear convergence rate. As a critical component for efficient computation, we also show how all the subproblems involved can be solved exactly and efficiently. This makes our method suitable for computing a Wasserstein barycenter on a large-scale data set, without introducing an entropy regularization term as is commonly practiced. In addition, our sGS-ADMM can be used as a subroutine in an alternating minimization method to compute a barycenter when its support points are not pre-specified. Numerical results on synthetic data sets and image data sets demonstrate that our method is highly competitive for solving large-scale Wasserstein barycenter problems, in comparison to two existing representative methods and the commercial software Gurobi.",Algorithm; Gurobi; Image Processing; Linear Programming; Machine Learning; Probability Distribution; R; Soft Computing; Statistics; Variable,R programming; Statistics
22,When random initializations help: a study of variational inference for community detection,"Purnamrita Sarkar, Y. X. Rachel Wang, Soumendu S. Mukherjee","(22):1−46, 2021.",https://jmlr.org/papers/v22/19-630.html,https://jmlr.org/papers/volume22/19-630/19-630.pdf,https://jmlr.org/papers/v22/19-630.bib,,,,,"Variational approximation has been widely used in large-scale Bayesian inference recently, the simplest kind of which involves imposing a mean field assumption to approximate complicated latent structures. Despite the computational scalability of mean field, theoretical studies of its loss function surface and the convergence behavior of iterative updates for optimizing the loss are far from complete. In this paper, we focus on the problem of community detection for a simple two-class Stochastic Blockmodel (SBM) with equal class sizes. Using batch co-ordinate ascent (BCAVI) for updates, we show different convergence behavior with respect to different initializations. When the parameters are known or estimated within a reasonable range and held fixed, we characterize conditions under which an initialization can converge to the ground truth. On the other hand, when the parameters need to be estimated iteratively, a random initialization will converge to an uninformative local optimum.",Approximation; Bayesian Inference,
23,A Two-Level Decomposition Framework Exploiting First and Second Order Information for SVM Training Problems,"Giulio Galvan, Matteo Lapucci, Chih-Jen Lin, Marco Sciandrone","(23):1−38, 2021.",https://jmlr.org/papers/v22/19-632.html,https://jmlr.org/papers/volume22/19-632/19-632.pdf,https://jmlr.org/papers/v22/19-632.bib,,,,,"In this work we present a novel way to solve the sub-problems that originate when using decomposition algorithms to train Support Vector Machines (SVMs). State-of-the-art Sequential Minimization Optimization (SMO) solvers reduce the original problem to a sequence of sub-problems of two variables for which the solution is analytical. Although considering more than two variables at a time usually results in a lower number of iterations needed to train an SVM model, solving the sub-problem becomes much harder and the overall computational gains are limited, if any. We propose to apply the two-variables decomposition method to solve the sub-problems themselves and experimentally show that it is a viable and efficient way to deal with sub-problems of up to 50 variables. As a second contribution we explore different ways to select the working set and its size, combining first-order and second-order working set selection rules together with a strategy for exploiting cached elements of the Hessian matrix. An extensive numerical comparison shows that the method performs considerably better than state-of-the-art software.",Algorithm; Analytical; Selection; Sequence; Support Vector Machine (SVM); Training; Variable,
24,Entangled Kernels - Beyond Separability,"Riikka Huusari, Hachem Kadri","(24):1−40, 2021.",https://jmlr.org/papers/v22/19-665.html,https://jmlr.org/papers/volume22/19-665/19-665.pdf,https://jmlr.org/papers/v22/19-665.bib,https://github.com/RiikkaHuu/EKL,,,,"We consider the problem of operator-valued kernel learning and investigate the possibility of going beyond the well-known separable kernels. Borrowing tools and concepts from the field of quantum computing, such as partial trace and entanglement, we propose a new view on operator-valued kernels and define a general family of kernels that encompasses previously known operator-valued kernels, including separable and transformable kernels. Within this framework, we introduce another novel class of operator-valued kernels called entangled kernels that are not separable. We propose an efficient two-step algorithm for this framework, where the entangled kernel is learned based on a novel extension of kernel alignment to operator-valued kernels. We illustrate our algorithm with an application to supervised dimensionality reduction, and demonstrate its effectiveness with both artificial and real data for multi-output regression.",Algorithm; Computing; Dimensionality Reduction; Regression,Regressions
