id,title,author,date,url,description,type,tags,skills,data_skills
121327,"Attention mechanism in Deep Learning, Explained",Nagesh Chauhan,2021-01-11,https://www.kdnuggets.com/2021/01/attention-mechanism-deep-learning-explained.html,Attention is a powerful mechanism developed to enhance the performance of the Encoder-Decoder architecture on neural network-based machine translation tasks. Learn more about how this process works and how to implement the approach into your work.,tutorials,"Attention, Deep Learning, Explained, LSTM, Machine Translation",Architecture; Deep Learning; Long Short-Term Memory (LSTM); Neural Network; Rule-based Machine Translation,Deep Learning
121344,5 Tools for Effortless Data Science,Nicole Janeway Bills,2021-01-11,https://www.kdnuggets.com/2021/01/5-tools-effortless-data-science.html,The sixth tool is coffee.,opinions,"Data Science, Data Science Tools, Keras, Machine Learning, MLflow, PyCaret, Python",Data Science Tool; Keras; MLFlow; Machine Learning; Python,Python Programming
121380,Cloud Data Warehouse is The Future of Data Storage,Nitin Kumar,2021-01-12,https://www.kdnuggets.com/2021/01/cloud-data-warehouse-future-data-storage.html,"Today, cloud data storage accounts for 45% of all enterprise data and by Q2 2021, that number could grow to 53%. Now is the time to embrace cloud than now.",tutorials,"Cloud, Data Warehouse, Data Warehousing",,
121389,Working With Sparse Features In Machine Learning Models,Arushi Prakash,2021-01-12,https://www.kdnuggets.com/2021/01/sparse-features-machine-learning-models.html,"Sparse features can cause problems like overfitting and suboptimal results in learning models, and understanding why this happens is crucial when developing models. Multiple methods, including dimensionality reduction, are available to overcome issues due to sparse features.",tutorials,"Data Preparation, Feature Engineering, Machine Learning, Overfitting, Sparse data",Data Preparation; Dimensionality Reduction; Feature Engineering; Machine Learning; Overfitting,Data Cleansing / Preparation
121411,Creating Good Meaningful Plots: Some Principles,Vikrant Dogra,2021-01-12,https://www.kdnuggets.com/2021/01/creating-good-meaningful-plots-principles.html,Hera are some thought starters to help you create meaningful plots.,tutorials,"Charts, Data Visualization, Python, R",Chart; Data Visualization; Python; R; Visualization,Python Programming; R programming; Visualizations
121405,The Best Tool for Data Blending is KNIME,Dennis Ganzaroli,2021-01-13,https://www.kdnuggets.com/2021/01/best-tool-data-blending-knime.html,"These are the lessons and best practices I learned in many years of experience in data blending, and the software that became my most important tool in my day-to-day work.",opinions,"Data Exploration, Data Management, ETL, Knime",Data Management; Extract Transform Load (ETL); Knime,ETL
121434,The Four Jobs of the Data Scientist,Roger Peng,2021-01-13,https://www.kdnuggets.com/2021/01/four-jobs-data-scientist.html,"So, what do you do for a living? Sometimes, the answer to that question can feel like, ""everything!"" Well, for the Data Scientist, an extreme sense of being a ""jack of all trades"" is common. In fact, four such trades can be defined that a top-quality Data Scientist will iterate through during any one project.",opinions,"Data Science, Data Science Skills, Data Scientist, Statistician",Data Science; Trade,
121444,My Data Science Learning Journey So Far,Arnuld on Data,2021-01-13,https://www.kdnuggets.com/2021/01/data-science-learning-journey.html,"These are some obstacles the author faced in their data science learning journey in the past year, including how much time it took to overcome each obstacle and what it has taught the author.",opinions,"Career Advice, Challenges, Data Science, Data Science Education",Data Science,
121465,Unsupervised Learning for Predictive Maintenance using Auto-Encoders,Kundaliya & Aggarwal,2021-01-14,https://www.kdnuggets.com/2021/01/unsupervised-learning-predictive-maintenance-auto-encoders.html,"This article outlines a machine learning approach to detect and diagnose anomalies in the context of machine maintenance, along with a number of introductory concepts, including: Introduction to machine maintenance; What is predictive maintenance?; ​​​​Approaches for machine diagnosis; Machine diagnosis using machine learning",tutorials,"Autoencoder, Predictive Analytics, Predictive Maintenance, Unsupervised Learning",Autoencoder; Azure Machine Learning; Predictive Analytics; Supervised Learning; Unsupervised Learning,
121479,Data Cleaning and Wrangling in SQL,Antonio Badia,2021-01-14,https://www.kdnuggets.com/2021/01/data-cleaning-wrangling-sql.html,"SQL is a foundational skill for data analysts but its application is sometimes limited within the data pipeline. However, SQL can be successfully used for many pre-processing tasks, such as data cleaning and wrangling, as demonstrated here by example.",tutorials,"Data Cleaning, Data Preparation, SQL",Data Analysis; Data Cleansing; Data Pipeline; Data Preparation; Processing; Structured Query Language (SQL),Data Cleansing / Preparation; Data Cleansing / Preparation; SQL
121490,8 New Tools I Learned as a Data Scientist in 2020,Ben Weber,2021-01-14,https://www.kdnuggets.com/2021/01/8-new-tools-learned-data-scientist-2020.html,The author shares the data science tools learned while making the move from Docker to Live Deployments.,opinions,"Data Science, Data Science Tools, Data Scientist, Deployment, Docker, Kubernetes, MLflow, NoSQL",Data Science Tool; Docker; Kubernetes; MLFlow; NoSQL,NoSQL
121320,Essential Math for Data Science: Information Theory,Hadrien Jean,2021-01-15,https://www.kdnuggets.com/2021/01/essential-math-data-science-information-theory.html,"In the context of machine learning, some of the concepts of information theory are used to characterize or compare probability distributions. Read up on the underlying math to gain a solid understanding of relevant aspects of information theory.",tutorials,"Data Science, Mathematics",Data Science; Machine Learning; Mathematics; Probability Distribution,
121515,Cleaner Data Analysis with Pandas Using Pipes,Soner Yildirim,2021-01-15,https://www.kdnuggets.com/2021/01/cleaner-data-analysis-pandas-pipes.html,Check out this practical guide on Pandas pipes.,tutorials,"Data Analysis, Data Cleaning, Pandas, Pipeline, Python",Data Analysis; Data Cleansing; Pandas; Python,Data Cleansing / Preparation; Python Programming
121525,"K-Means 8x faster, 27x lower error than Scikit-learn in 25 lines",Jakub Adamczyk,2021-01-15,https://www.kdnuggets.com/2021/01/k-means-faster-lower-error-scikit-learn.html,"K-means clustering is a powerful algorithm for similarity searches, and Facebook AI Research's faiss library is turning out to be a speed champion. With only a handful of lines of code shared in this demonstration, faiss outperforms the implementation in scikit-learn in speed and accuracy.",tutorials,"Algorithms, K-means, Machine Learning, scikit-learn",Accuracy; Algorithm; Artificial Intelligence (AI); Facebook; Machine Learning; Scikit-learn; k-means Clustering,AI
121560,Microsoft Uses Transformer Networks to Answer Questions About Images With Minimum Training,Jesus Rodriguez,2021-01-18,https://www.kdnuggets.com/2021/01/microsoft-transformer-networks-answer-questions-minimum-training.html,Unified VLP can understand concepts about scenic images by using pretrained models.,tutorials,"Image Processing, Microsoft, Question answering, Training, Transformer",Image Processing; Microsoft; Network; Question Answering; Training; Transformer,
121575,Comprehensive Guide to the Normal Distribution,Nicole Janeway Bills,2021-01-18,https://www.kdnuggets.com/2021/01/comprehensive-guide-normal-distribution.html,Drop in for some tips on how this fundamental statistics concept can improve your data science.,tutorials,"Distribution, Normal Distribution, Python, SciPy, Statistics",Data Science; Log-Normal Distribution; Python; SciPy; Statistics,Python Programming; Statistics
121622,Can Data Science Be Agile? Implementing Best Agile Practices to Your Data Science Process,Jerzy Kowalski,2021-01-18,https://www.kdnuggets.com/2021/01/data-science-agile-best-practices.html,"Agile is not reserved for software developers only -- that's a myth. While these effective strategies are not commonly used by data scientists today and some aspects of data science make Agile a bit tricky, the methodology offers plenty of benefits to data science projects that can increase the effectiveness of your process and bring more success to your outcomes.",opinions,"Agile, Best Practices, Data Science, Development",Agile; Data Science; Methodology; Xplenty,
121585,How I Got 4 Data Science Offers and Doubled my Income 2 Months After Being Laid Off,Emma Ding,2021-01-19,https://www.kdnuggets.com/2021/01/data-science-offers-doubled-income-2-months.html,"In this blog, I shared my story on getting 4 data science job offers including Airbnb, Lyft and Twitter after being laid off. Any data scientist who was laid off due to the pandemic or who is actively looking for a data science position can find something here to which they can relate.",opinions,"Career Advice, Data Science, Data Scientist, Interview",Blogging; Data Science; Twitter,
121603,Graph Representation Learning: The Free eBook,Matthew Mayo,2021-01-19,https://www.kdnuggets.com/2021/01/graph-representation-learning-book-free-ebook.html,"This free eBook can show you what you need to know to leverage graph representation in data science, machine learning, and neural network models.",tutorials,"Data Science, Free ebook, Graph, Neural Networks, Representation",Data Science; Graph; Machine Learning; Neural Network; Presentation,Presentation Skill
121695,Build a Data Science Portfolio that Stands Out Using These Platforms,Benjamin Obi Tayo,2021-01-19,https://www.kdnuggets.com/2021/01/build-data-science-portfolio.html,Making your big break into the data science profession means standing out to potential employers in a crowd of tough competition. An important way to showcase your skills and experience is through the presentation of a portfolio. Following these recommendations for developing your portfolio will help you network effectively and stay on top of an ever-changing field.,tutorials,"Career Advice, Data Science, GitHub, Kaggle, LinkedIn, Portfolio",Competition; Data Science; Github; LinkedIn; Network; Platform; Presentation,Github; Presentation Skill
121593,Loglet Analysis: Revisiting COVID-19 Projections,Dennis Ganzaroli,2021-01-20,https://www.kdnuggets.com/2021/01/loglet-analysis-revisiting-covid-19-projections.html,"We will show that the decomposition of growth into S-shaped logistic components also known as Loglet analysis, is more accurate as it takes into account the evolution of multiple covid waves.",tutorials,"COVID-19, Data Analysis, Python",Data Analysis; Logistics; Python,Python Programming
121714,Mastering TensorFlow Variables in 5 Easy Steps,Orhan G. Yalçın,2021-01-20,https://www.kdnuggets.com/2021/01/mastering-tensorflow-variables-5-easy-steps.html,"Learn how to use TensorFlow Variables, their differences from plain Tensor objects, and when they are preferred over these Tensor objects | Deep Learning with TensorFlow 2.x.",tutorials,"Neural Networks, Python, TensorFlow",Deep Learning; Neural Network; Python; TensorFlow; Variable,Deep Learning; Python Programming
121737,Popular Machine Learning Interview Questions,Mo Daoud,2021-01-20,https://www.kdnuggets.com/2021/01/popular-machine-learning-interview-questions.html,Get ready for your next job interview requiring domain knowledge in machine learning with answers to these eleven common questions.,tutorials,"Bias, Confusion Matrix, Interview Questions, Machine Learning, Overfitting, Variance",Machine Learning; Overfitting,
121766,Top 5 Artificial Intelligence (AI) Trends for 2021,Kevin Vu,2021-01-21,https://www.kdnuggets.com/2021/01/top-5-artificial-intelligence-trends-2021.html,"From voice and language driven AI to healthcare, cybersecurity and beyond, these are some of the key AI trends for 2021.",opinions,"2021 Predictions, AI, Cloud Computing, GPT-3, Speech Recognition, Trends",Artificial Intelligence (AI); Cybersecurity; Healthcare; IBM Cloud Computing; Speech Recognition,AI
121780,Going Beyond the Repo: GitHub for Career Growth in AI &  Machine Learning,Martin Isaksson,2021-01-21,https://www.kdnuggets.com/2021/01/github-career-growth-ai-machine-learning.html,Many online tools and platforms exist to help you establish a clear and persuasive online profile for potential employers to review. Have you considered how your go-to online code repository could also help you land your next job?,opinions,"AI, Career Advice, GitHub, Machine Learning",Artificial Intelligence (AI); Github; Golang; Machine Learning; Platform,AI; Github
121798,How to Use MLOps for an Effective AI Strategy,Sigmoid,2021-01-21,https://www.kdnuggets.com/2021/01/mlops-effective-ai-strategy.html,"The need to deal with the challenges and other smaller nuances of deploying machine learning models has given rise to the relatively new concept of MLOps. – a set of best practices aimed at automating the ML lifecycle, bringing together the ML system development and ML system operations.",tutorials,"AI, DevOps, Machine Learning, MLOps, Strategy",Artificial Intelligence (AI); Automation; DevOps; MLOps; Machine Learning,AI
121819,"Cloud Computing, Data Science and ML Trends in 2020–2022: The battle of giants",George Vyshnya,2021-01-22,https://www.kdnuggets.com/2021/01/cloud-computing-data-science-ml-trends-2020-2022-battle-giants.html,"Kaggle’s survey of ‘State of Data Science and Machine Learning 2020’ covers a lot of diverse topics. In this post, we are going to look at the popularity of cloud computing platforms and products among the data science and ML professionals participated in the survey.",tutorials,"AWS, Cloud Computing, Data Science, Google Cloud, Kaggle, Machine Learning, Microsoft Azure, Trends",Amazon Web Service (AWS); Cloud Computing; Computing Platform; Data Science; Google Cloud Platform (GCP); Machine Learning; Microsoft Azure,
121828,"Data Engineering — the Cousin of Data Science, is Troublesome",Lissie Mei,2021-01-22,https://www.kdnuggets.com/2021/01/data-engineering-troublesome.html,"A Data Scientist must be a jack of many, many trades. Especially when working in broader teams, understanding the roles of others, such as data engineering, can help you validate progress and be aware of potential pitfalls. So, how can you convince your analysts to realize the importance of expanding their toolkit? Examples from real life often provide great insight.",opinions,"Data Analyst, Data Engineer, Data Engineering, Data Scientist",Data Engineering; Data Science; Trade,
121837,Building a Deep Learning Based Reverse Image Search,Vegard Flovik,2021-01-22,https://www.kdnuggets.com/2021/01/deep-learning-based-reverse-image-search.html,Following the journey from unstructured data to content based image retrieval.,tutorials,"Deep Learning, Image Recognition, Search",Deep Learning; Image Retrieval; Image Search,Deep Learning
121855,Six Times Bigger than GPT-3: Inside Google’s TRILLION Parameter Switch Transformer Model,Jesus Rodriguez,2021-01-25,https://www.kdnuggets.com/2021/01/google-trillion-parameter-switch-transformer-model.html,Google’s Switch Transformer model could be the next breakthrough in this area of deep learning.,tutorials,"Google, GPT-3, NLP, Transformer",Deep Learning; Natural Language Processing (NLP); Transformer,Deep Learning; NLP
121866,Null Hypothesis Significance Testing is Still Useful,Nicole Janeway Bills,2021-01-25,https://www.kdnuggets.com/2021/01/null-hypothesis-significance-testing-useful.html,"Even in the aftermath of the replication crisis, statistical significance lingers as an important concept for Data Scientists to understand.",opinions,"Hypothesis Testing, P-value, Statistical Significance, Statistics",Hypothesis Testing; Significance Test; Statistics; TestNG,Statistics
121893,The Ultimate Scikit-Learn Machine Learning Cheatsheet,Andre Ye,2021-01-25,https://www.kdnuggets.com/2021/01/ultimate-scikit-learn-machine-learning-cheatsheet.html,"With the power and popularity of the scikit-learn for machine learning in Python, this library is a foundation to any practitioner's toolset. Preview its core methods with this review of predictive modelling, clustering, dimensionality reduction, feature importance, and data transformation.",tutorials,"Cheat Sheet, Machine Learning, scikit-learn",Clustering; Dimensionality Reduction; Machine Learning; Predictive Model; Predictive Modelling; Python; Scikit-learn,Python Programming
121881,What to Learn to Become a Data Scientist in 2021,Andrea Laura,2021-01-26,https://www.kdnuggets.com/2021/01/learn-become-data-scientist-2021.html,"As data becomes the new ‘Gold’ for businesses, data scientists are set to find their value in this gold. This write-up clearly defines the job requirements and company expectations that this phenomenally evolving role entails.",opinions,"Career Advice, Data Science, Data Scientist",Data Science,
121922,Deep Learning Pioneer Geoff Hinton on his Latest Research and the Future of AI,Craig Smith,2021-01-26,https://www.kdnuggets.com/2021/01/deep-learning-pioneer-geoff-hinton-research-future-ai.html,Geoff Hinton has lived at the outer reaches of machine learning research since an aborted attempt at a carpentry career a half century ago. He spoke to Craig Smith about his work In 2020 and what he sees on the horizon for AI.,opinions,"AI, Capsule Networks, Deep Learning, Geoff Hinton, Neural Networks, Research",Artificial Intelligence (AI); Carpentry; Deep Learning; Machine Learning; Neural Network; Research; Router,AI; Deep Learning
121939,Want to Be a Data Scientist? Don’t Start With Machine Learning,Terence Shin,2021-01-26,https://www.kdnuggets.com/2021/01/data-scientist-dont-start-machine-learning.html,"Machine learning may appear like the go-to topic to start learning for the aspiring data scientist. But. thinking these techniques are the key aspects of the role is the biggest misconception. So much more goes into becoming a successful data scientist, and machine learning is only one component of broader skills around processing, managing, and understanding the science behind the data.",opinions,"Career Advice, Data Scientist, Machine Learning, Statistics",Golang; Machine Learning; Processing; Statistics,Statistics
121976,Support Vector Machine for Hand Written Alphabet Recognition in R,Mohan Rai,2021-01-27,https://www.kdnuggets.com/2021/01/support-vector-machine-hand-written-alphabet-r.html,We attempt to break down a problem of hand written alphabet image recognition into a simple process rather than using heavy packages. This is an attempt to create the data and then build a model using Support Vector Machines for Classification.,tutorials,"Classification, Image Recognition, Machine Learning, R, Support Vector Machines",Classification; Image; Machine Learning; R; Support Vector Machine (SVM),R programming
121990,How to Get a Job as a Data Scientist,Devin Partida,2021-01-27,https://www.kdnuggets.com/2021/01/get-job-data-scientist.html,Here’s a step-by-step guide to starting your career in data science.,opinions,"Career Advice, Data Science, Data Scientist",Data Science,
122004,"Popular Machine Learning Interview Questions, part 2",Mo Daoud,2021-01-27,https://www.kdnuggets.com/2021/01/popular-machine-learning-interview-questions-part2.html,Get ready for your next job interview requiring domain knowledge in machine learning with answers to these thirteen common questions.,tutorials,"Convolutional Neural Networks, Interview Questions, Linear Regression, Logistic Regression, Machine Learning, Regularization, Transfer Learning, Unbalanced",Convolutional Neural Network (CNN); Convolutional Neural Network (ConvNet); Linear Regression; Logistic Regression; Logistics; Machine Learning; Nonlinear Regression; Regression,Regressions
122020,Working With The Lambda Layer in Keras,Ahmed Gad,2021-01-28,https://www.kdnuggets.com/2021/01/working-lambda-layer-keras.html,"In this tutorial we'll cover how to use the Lambda layer in Keras to build, save, and load models which perform custom operations on your data.",tutorials,"Architecture, Keras, Neural Networks, Python",Data Architecture; Keras; Neural Network; Python,Python Programming
122031,Machine learning is going real-time,Chip Huyen,2021-01-28,https://www.kdnuggets.com/2021/01/machine-learning-real-time.html,"Extracting immediate predictions from machine learning algorithms on the spot based on brand-new data can offer a next level of interaction and potential value to its consumers. The infrastructure and tech stack required to implement such real-time systems is also next level, and many organizations -- especially in the US -- seem to be resisting. But, what even is real-time ML, and how can it deliver a better experience?",opinions,"China, Machine Learning, MLOps, Real-time, Stream Processing",MLOps; Machine Learning Algorithm; Stream Processing,
122050,Top 5 Reasons Why Machine Learning Projects Fail,Sudeep Srivastava,2021-01-28,https://www.kdnuggets.com/2021/01/top-5-reasons-why-machine-learning-projects-fail.html,"The rise in machine learning project implementation is coming, as is the the number of failures, due to several implementation and maintenance challenges. The first step of closing this gap lies in understanding the reasons for the failure.",tutorials,"Data Preparation, Data Science, Failure, Implementation, Machine Learning",Closing; Data Preparation; Data Science; Machine Learning,Data Cleansing / Preparation
122067,"What is Graph Theory, and Why Should You Care?",Vegard Flovik,2021-01-29,https://www.kdnuggets.com/2021/01/graph-theory-why-care.html,Go from graph theory to path optimization.,tutorials,"Graph, Graph Theory",Golang; Graph Theory,Graph Theory
122077,Machine learning adversarial attacks are a ticking time bomb,Ben Dickson,2021-01-29,https://www.kdnuggets.com/2021/01/machine-learning-adversarial-attacks.html,"Software developers and cyber security experts have long fought the good fight against vulnerabilities in code to defend against hackers. A new, subtle approach to maliciously targeting machine learning models has been a recent hot topic in research, but its statistical nature makes it difficult to find and patch these so-called adversarial attacks. Such threats in the real-world are becoming imminent as the adoption of machine learning spreads, and a systematic defense must be implemented.",opinions,"Adversarial, Generative Adversarial Network, Machine Learning",Dual Generative Adversarial Network (DualGAN); Generative Adversarial Network (GAN); Machine Learning; Research; Security,
122087,Baidu Research: 10 Technology Trends in 2021,Baidu Research,2021-01-29,https://www.kdnuggets.com/2021/01/top-10-technology-trends-2021.html,Understanding future technology trends may never have been as important as it is today. Check out the prediction of the 10 technology trends in 2021 from Baidu Research.,tutorials,"2021 Predictions, Baidu, Research, Trends",Research,
122105,Beyond the Nash Equilibrium: DeepMind Clever Strategy to Solve Asymmetric Games,Jesus Rodriguez,2021-02-01,https://www.kdnuggets.com/2021/02/beyond-nash-equilibrium-deepmind-solve-asymmetric-games.html,The method expands the concept of a Nash equilibrium by decomposing an asymmetric game into multiple symmetric games.,tutorials,"DeepMind, Game Theory, Google",Game Theory,
122122,One question to make your data project 10x more valuable,Brittany Davis,2021-02-01,https://www.kdnuggets.com/2021/02/one-question-data-project-10x-valuable.html,"If you are the ""data person"" for your organization, then providing meaningful results to stakeholder data requests can sometimes feel like shots in the dark. However, you can make sure your data analysis is actionable by asking one magic question before getting started.",opinions,"Advice, Business, Data Analysis, Data Mining, Data Science, Deployment, Problem Definition",Data Analysis; Data Mining; Data Science,
122133,3 Ways Understanding Bayes Theorem Will Improve Your Data Science,Nicole Janeway Bills,2021-02-01,https://www.kdnuggets.com/2021/02/3-ways-understanding-bayes-theorem-improve-data-science.html,Mastery of the mathematics and applications of this intuitive statistical concept will advance your credibility as a decision maker.,tutorials,"Bayes Rule, Bayes Theorem, Data Science",Data Science; Mathematics,
122178,Vision Transformers: Natural Language Processing (NLP) Increases Efficiency and Model Generality,Kevin Vu,2021-02-02,https://www.kdnuggets.com/2021/02/vision-transformers-nlp-efficiency-model-generality.html,Why do we hear so little about transformer models applied to computer vision tasks? What about attention in computer vision networks?,tutorials,"Attention, Efficiency, Modeling, NLP, Transformer",Computer Vision; Modelling; Natural Language Processing (NLP); Transformer,Computer Vision; NLP
122191,Does Data Science Make You Happy?,Yulia Lukashina,2021-02-02,https://www.kdnuggets.com/2021/02/data-science-make-you-happy.html,"Maybe you are embarking on a new learning journey into the world of data and its analysis, or you already launched your career in the field. But, how can you make sure that data science is your calling? Indeed, if you feel good in your job, then you are likely on the right path.",opinions,"Career Advice, Data Science",Analysis; Data Science,
122201,Adversarial generation of extreme samples,Lucy Smith,2021-02-02,https://www.kdnuggets.com/2021/02/adversarial-generation-extreme-samples.html,"In order to mitigate risks when modelling extreme events, it is vital to be able to generate a wide range of extreme, and realistic, scenarios. Researchers from the National University of Singapore and IIT Bombay have developed an approach to do just that.",tutorials,"AI, GANs, Generative Adversarial Network, Generative Models, Sampling",Artificial Intelligence (AI); Dual Generative Adversarial Network (DualGAN); Generative Adversarial Network (GAN); Modelling; Sampling,AI
113913,Getting Started with 5 Essential Natural Language Processing Libraries,Matthew Mayo,2021-02-03,https://www.kdnuggets.com/2021/02/getting-started-5-essential-nlp-libraries.html,"This article is an overview of how to get started with 5 popular Python NLP libraries, from those for linguistic data visualization, to data preprocessing, to multi-task functionality, to state of the art language modeling, and beyond.",tutorials,"Data Preparation, Data Preprocessing, Data Visualization, Hugging Face, NLP, Python, spaCy, Text Analytics, Transformer",Analytical; Data Preparation; Data Visualization; Linguistics; Modelling; Natural Language Processing (NLP); Python; Transformer; Visualization,Data Cleansing / Preparation; NLP; Python Programming; Visualizations
