id,title,url,published_date,updated_date,content,author,skills
1.23e+18,3 traps companies should avoid in their AI journeys | VentureBeat,https://venturebeat.com/2021/09/09/three-traps-companies-should-avoid-in-their-ai-journeys/,2021-09-09 17:26:15+00:00,2021-09-09 17:26:15+00:00,"On the hiring side, companies should look for talent beyond the typical <b>data science</b> degree and look at adjacent degrees such as physics,&nbsp;...",,Artificial Intelligence (AI); Augmented Reality (AR); Automation; Autoregressive (AR) Model; Bayesian Statistics; Big Data; Business Intelligence (BI); Computer Science; Computer Vision; Cookies; Customer Experience; Data Science; Deep Learning; Facebook; Golang; Image; Information Technology (IT); Investment; Machine Learning Algorithm; Market; Marketing; Media; Microsoft Access; Mobile Security; Natural Language Processing (NLP); Networking; News; Newsletters; Objective-C; Physics; Privacy; Robotics; Sales; Shiny; Shortage; Sports; Statistical Analysis; Systems Theory; Team Building; Training; Transformer; Transportation; Video; Virtual Reality (VR); eCommerce
2.44e+18,USGS <b>Data Science</b> on Twitter: &quot;The water footprint of #Hurricane #Ida. Ida made landfall in ...,https://twitter.com/USGS_DataSci/status/1435312569074454534,2021-09-09 17:37:14+00:00,2021-09-09 17:37:14+00:00,USGS <b>Data Science</b> &middot; @USGS_DataSci. Featuring @USGS #datascience and #dataviz &middot; usgs.gov/water-data-sci… Joined August 2015&nbsp;...,,Cookies; JavaScript; Privacy; Twitter
1.14e+19,Featurespace&#39;s ARIC Risk Hub™ v3.19 delivers enhanced real-time defense against Fraud ...,https://www.businesswire.com/news/home/20210909005952/en/Featurespace%25E2%2580%2599s-ARIC-Risk-Hub%25E2%2584%25A2-v3.19-delivers-enhanced-real-time-defense-against-Fraud-and-Money-Laundering,2021-09-09 17:37:30+00:00,2021-09-09 17:37:30+00:00,"“Our <b>machine learning</b> models are proven to be the best in the world, and we continually invest in new technologies to analyze the entire payment&nbsp;...",,Analytical; Anti Money Laundering; Artificial Intelligence (AI); Asset Management; Azure Machine Learning; Blogging; Box; Communication; Compiler; Cookies; Image; Incident Management; Innovation; Internet Explorer; Investment; Journalism; LinkedIn; Media; Microsoft Excel; Network; News; Platform; Privacy; Public Relations (PR); Safari; Security; Twitter
9.85e+18,<b>Machine Learning</b> augmented docking studies of aminothioureas at the SARS-CoV-2-ACE2 ...,https://www.docwirenews.com/abstracts/machine-learning-augmented-docking-studies-of-aminothioureas-at-the-sars-cov-2-ace2-interface/,2021-09-09 17:48:45+00:00,2021-09-09 17:48:45+00:00,... with the main ones being docking and structure-activity relationship modeling either by classical linear QSAR or <b>Machine Learning</b> techniques.,,Advertising; C; Cardiology; Computational Chemistry; Email; Facebook; Internal Medicine; LinkedIn; Machine Learning; Management; Modelling; Neurology; News; Oncology; Ophthalmology; Population; Privacy; Protocol; Random Forest; Therapy; Training; Twitter; Video; Zoom
7.33e+18,Biobest Makes Investment in Robotics and <b>Artificial Intelligence</b> - Greenhouse Grower,https://www.greenhousegrower.com/production/biobest-makes-investment-in-robotics-and-artificial-intelligence/,2021-09-09 17:51:50+00:00,2021-09-09 17:51:50+00:00,"Biobest, a global leader in biocontrol and pollination, has expanded its partnership with ecoation, a pioneer in robotics and <b>artificial</b>&nbsp;...",,Agriculture; Annual Report; Apache Spark; Array; Artificial Intelligence (AI); Biology; Collaboration; Computer Vision; Golang; Horticulture; Investment; Marketing; Media; Network; Newsletters; Nutrition; Platform; Privacy; Robotics; Sustainability; Technology Management
9.68e+18,Descartes Labs to Host GEOINT 2021 Training Workshop on Creating <b>Machine</b> ... - GISuser.com,https://gisuser.com/2021/09/descartes-labs-to-host-geoint-2021-training-workshop-on-creating-machine-learning-based-computer-vision-models-for-planetary-scale-data-analysis/,2021-09-09 17:53:10+00:00,2021-09-09 17:53:10+00:00,Descartes Labs to Host GEOINT 2021 Training Workshop on Creating <b>Machine Learning</b>-Based Computer Vision Models for Planetary Scale Data Analysis.,,Agriculture; Algorithm; Android; Application Programming Interface (API); Artificial Intelligence (AI); Asset Management; Big Data Analysis; Big Data Analytics; Blogging; C; Cartography; Chart; Classification; Cloud Computing; Commodity; Competition; Computer Vision; Data Science; Data Visualization; Division; Economics; Editor; Educational Psychology; Engineering; Entertainment; Facebook; Finance; Forecasting; Geographic Information System (GIS); Hardware; Human Resource (HR); Image; Infographics; Information Security; Innovation; Instagram; Investment; Keynote; LinkedIn; Linux; Machine Learning; Mapping; Marketing; Microsoft; Mining; Modelling; Music; Networking; News; Newsletters; Nursing; Object Detection; Outsourcing; Photography; Platform; Politics; Privacy; Public Relations (PR); Real Estate; Remote Sensing; Research; Robotics; Secure Socket Layer (SSL); Selection; Social Media; Social Network; Software as a Service (SaaS); Sports; Subject Matter Expert (SME); Table; Time Series; Training; Twitter; Venture Capiral; Venture Capital (VC); Video; Virtualization; Visualization; Web Development; Windows; WordPress; iOS; iland
3.14e+18,Update on <b>Artificial Intelligence</b>: Court Rules that AI Cannot Qualify... - National Law Review,https://www.natlawreview.com/article/update-artificial-intelligence-court-rules-ai-cannot-qualify-inventor,2021-09-09 17:54:17+00:00,2021-09-09 17:54:17+00:00,"Striking a blow to patent applicants seeking to assert inventorship by <b>artificial intelligence</b> (“AI”) systems, the U.S. District Court for the&nbsp;...",,Accuracy; Administration; Advertising; Analysis; Artificial Intelligence (AI); Banking; Blogging; Box; Budget; C; Communication; Competition; Construction; Cybersecurity; Database; Design; Electronics; Email; Finance; Forth; Innovation; Insurance; Intellectual Property (IP); Intellectual Property Law; Internet; Interpreter; Law Practice; Leadership; Lexis; Life Science; Links; Marketing; Media; Microsoft Access; Negotiation; News; Pharmaceutics; Privacy; Public Relations (PR); Publishing; Real Estate; Reinforcement Learning; Research; Sales; Scheduling; Securities; Security; Selection; Sentry; Spring; Testing; Transportation; Trust Law; Video; Writing
1.19e+19,Department of Energy Invests $16 Million in Data-Intensive Scientific <b>Machine Learning</b> ...,https://www.newswise.com/articles/department-of-energy-invests-16-million-in-data-intensive-scientific-machine-learning-research-and-analysis,2021-09-09 18:11:14+00:00,2021-09-09 18:11:14+00:00,“These projects explore potentially high-impact approaches in AI and <b>machine learning</b> to assist and automate scientific discovery and data&nbsp;...,,Agriculture; Algorithm; Alternative Medicine; Anthropology; Archaeology; Architecture; Artificial Intelligence (AI); Arts; Audio; Automation; Automotive; Aviation; Biology; Blogging; Budget; Business Ethics; C; Calendar; Chemistry; Coding; Competition Law; Cosmology; Cybersecurity; Data Analysis; Economics; Electronics; Email; Engineering; Entertainment; Entrepreneurship; Forensic Science; German; Golang; Healthcare; Image; Innovation; Korean; Machine Learning; Materials Science; Mathematics; Microsoft Access; Modelling; Nanotechnology; Neurology; News; Nuclear Physics; Nuclear Technology; Nutrition; Optics; Platform; Privacy; Psychology; Research; Robot; Scientific Computing; Security; Social Media; Sports; Spring; Statistics; Uncertainty; Video; Writing; jQuery
9.17e+18,Ethical <b>Artificial Intelligence</b> is Focus of New Robotics Program | Mirage News,https://www.miragenews.com/ethical-artificial-intelligence-is-focus-of-new-629367/,2021-09-09 18:11:15+00:00,2021-09-09 18:11:15+00:00,"Ethical <b>Artificial Intelligence</b> is Focus of New Robotics Program. AUSTIN, Texas – Ethics will be at the forefront of robotics education&nbsp;...",,Architectural Engineering; Architecture; Artificial Intelligence (AI); Collaboration; Computer Science; Economics; Ethics; Internet; Investment; Korean; Management; Media; Microsoft Access; News; Privacy; Property; Public Health; Reporting; Research; Responsive Design; Robot; Robotics; Sports; Training; Writing
1.12e+19,Ethical <b>Artificial Intelligence</b> is Focus of New Robotics Program - UT News,https://news.utexas.edu/2021/09/09/ethical-artificial-intelligence-is-focus-of-new-robotics-program/,2021-09-09 18:11:15+00:00,2021-09-09 18:11:15+00:00,Ethical <b>Artificial Intelligence</b> is Focus of New Robotics Program. Two color orange horizontal divider. clone tag: -1628373369639100918.,,Architectural Engineering; Architecture; Artificial Intelligence (AI); Arts; Collaboration; Computer Science; Economics; Email; Ethics; Facebook; Humanities; Instagram; Law; Leadership; LinkedIn; Media; News; Newsletters; Platform; Privacy; Research; Responsive Design; Robot; Robotics; Training; Twitter; Writing
9.66e+18,DOE Funds $16M for Scientific ML Research - insideHPC,https://insidehpc.com/2021/09/doe-funds-16m-for-scientific-ml-research/,2021-09-09 18:11:15+00:00,2021-09-09 18:11:15+00:00,"... (AI) and <b>machine learning</b> (ML) algorithms for enabling scientific insights and discoveries from data generated by computational simulations,&nbsp;...",,Algorithm; Analytical; Architecture; Artificial Intelligence (AI); Automation; Big Data; Budget; C++; Calendar; Cloud Platform; Collaboration; Complexity; Cosmology; Data Analysis; Email; Graphics Processing Unit (GPU); Hardware; Innovation; Investment; Links; Machine Learning; Manufacturing; Modelling; Network; News; Newsletters; Parallel Programming; Physics; Privacy; Research; Scientific Computing; Security; System Administration; Systems Management; Training; Uncertainty; Video; Visualization; WordPress
9.42e+18,TulsaLabs to Develop Personalized Health Analytics Utilizing <b>Artificial Intelligence</b> | Benzinga,https://www.benzinga.com/pressreleases/21/09/g22873343/tulsalabs-to-develop-personalized-health-analytics-utilizing-artificial-intelligence,2021-09-09 18:11:15+00:00,2021-09-09 18:11:15+00:00,&quot;We are very excited at the idea of utilizing <b>artificial intelligence</b> and wearable data to help people live better and even possibly longer lives.,,Agile Software Development; Application Programming Interface (API); Artificial Intelligence (AI); Blockchain; Blogging; Bond; Business Management; Calendar; Cryptocurrency; Data Analytics; Database Development; Dataset; Economics; Electronics; Email; Facebook; Finance; Instagram; Investment; Lead Generation; Lean Software Development; Market; Media; Mergers and Acquisitions (M&A); Microsoft Outlook; News; Platform; Predictive Analytics; Privacy; Publishing; Real Estate; Research; Retail; Sales; Search Engine Optimization (SEO); Securities; Temporal Difference (TD) Learning; Trade; Twitter; Video; Youtube
1.5e+19,NCI expands AI work with Centers for Medicare &amp; Medicaid Services - Washington Technology,https://washingtontechnology.com/blogs/editors-notebook/2021/09/nci-medicare-win.aspx,2021-09-09 18:45:00+00:00,2021-09-09 18:45:00+00:00,The extension allows NCI to expand the use of its <b>artificial intelligence</b> solutions including robotic process automation and machine learning for&nbsp;...,,Aerospace; Artificial Intelligence (AI); Automation; Blogging; C; Coding; Content Management System (CMS); Customer Service; Cybersecurity; Email; French; German; Indonesian; Information System; Korean; Machine Learning; Media; Newsletters; Password; Privacy; R; Reporting; Robotics; Russian; Sales; Security; Selection; Software Development; Sustainability; Testing; Vector Autoregression (VAR); iland
1.39e+19,NCI expands AI work with Centers for Medicare &amp; Medicaid Services - Washington Technology,https://washingtontechnology.com/blogs/editors-notebook/2021/09/nci-medicare-win.aspx,2021-09-09 18:45:00+00:00,2021-09-09 18:45:00+00:00,The extension allows NCI to expand the use of its artificial intelligence solutions including robotic process automation and <b>machine learning</b> for&nbsp;...,,Aerospace; Artificial Intelligence (AI); Automation; Blogging; C; Coding; Content Management System (CMS); Customer Service; Cybersecurity; Email; French; German; Indonesian; Information System; Korean; Machine Learning; Media; Newsletters; Password; Privacy; R; Reporting; Robotics; Russian; Sales; Security; Selection; Software Development; Sustainability; Testing; Vector Autoregression (VAR); iland
1.49e+19,Senate Pro Tem Atkins Appoints Councilman Elo-Rivera to Student Data Board - Times of San Diego,https://timesofsandiego.com/politics/2021/09/09/senate-pro-tem-atkins-appoints-councilman-elo-rivera-to-student-data-board/,2021-09-09 19:07:19+00:00,2021-09-09 19:07:19+00:00,"... Meredith Lee — who currently serves as chief technical advisor for computing, <b>data science</b>, and society at University of California, Berkeley.",,Advertising; Arts; Computing; Cookies; Data Science; Database; Email; Facebook; Instagram; Korean; Links; Media; News; Newsletters; Politics; Privacy; Processing; Public Policy; Research; Scheme; Selection; Sports; Twitter
1.61e+19,Gartner: AI is moving fast and will be ready for prime time sooner than you think - TechRepublic,https://www.techrepublic.com/article/gartner-ai-is-moving-fast-and-will-be-ready-for-prime-time-sooner-than-you-think/,2021-09-09 19:18:45+00:00,2021-09-09 19:18:45+00:00,"Users want more than <b>artificial intelligence</b> can provide at the moment but those capabilities are changing fast, according to Gartner&#39;s Hype Cycle&nbsp;...",,Aerospace; Algorithm; Artificial Intelligence (AI); Artificial Neural Network (ANN); Audio; Audit; Automation; Automotive; Autonomous Vehicle; Big Data Analysis; Big Data Analytics; Bionics; Business Strategy; Chatbot; Cloud Service; Coding; Computer Vision; Cybersecurity; Data Acquisition; Data Management; Data Science; Database; Deep Learning; DevOps; Editing; Email; Entertainment; Ethics; Grails; Graph; Healthcare; Image; Information Technology (IT); Innovation; Internet of Things (IoT); LeSS; Life Science; Linux; MLOps; Machine Learning; Malware; Manufacturing; Market; Materials Science; Media; Microsoft Excel; News; Newsletters; Phising; Platform; Privacy; Property; Python; Risk Management; Robotics; Ruby on Rails; Salesforce; Security; Systems Engineering; Target Audience; Template; Training; Transformer; Video; Windows; Writing
4.26e+18,Socure Announces Promotion of Pablo Abreu to Chief Product &amp; Analytics Officer | Business ...,https://www.valdostadailytimes.com/news/business/socure-announces-promotion-of-pablo-abreu-to-chief-product-analytics-officer/article_3ad02c70-dfbb-54d8-ab0b-bb6ba4010299.html,2021-09-09 19:18:45+00:00,2021-09-09 19:18:45+00:00,His main focus is on building and delivering highly scalable <b>machine learning</b>/artificial intelligence solutions that challenge the status quo&nbsp;...,,Analytical; Artificial Intelligence (AI); Azure Machine Learning; Calendar; Coding; Commodity; Communication; Content Management System (CMS); Customer Service; Data Management; Data Science; Editor; Email; Ethics; Facebook; Finance; Financial Market; Financial Services; Healthcare; History; Image; Innovation; Instagram; Intellectual Property (IP); Internet Protocol (IP); Law; LeSS; Leadership; Machine Learning Algorithm; Marketing; Metals; Natural Language Processing (NLP); News; Newsletters; Newspapers; Online Media; Platform; Predictive Analytics; Predictive Model; Privacy; React; Real Estate; Recreation; Security; Sports; Twitter; Variable; Velocity; Video; Youtube; eCommerce
1.22e+19,"Commerce Department Launches AI Board, Seeks Candidates - PYMNTS.com",https://www.pymnts.com/artificial-intelligence-2/2021/commerce-department-launches-ai-board-seeks-candidates/,2021-09-09 19:18:45+00:00,2021-09-09 19:18:45+00:00,The U.S. Commerce Department is forming an <b>artificial intelligence</b> (AI) committee that will work alongside the National AI Initiative Office&nbsp;...,,Analytical; Artificial Intelligence (AI); Automation; Banking; Blockchain; Collaboration; Communication; Cryptocurrency; Design; Economics; Email; Equity; Ethics; Golang; Healthcare; Inflation; Innovation; Market; Media; Microsoft Access; News; Part-of-speech (POS) Tagging; Perceptron; Pharmacy; Point of Sale (POS) Software; Privacy; Research; Retail; Sales; Security; eCommerce
2.6e+18,Socure Announces Promotion of Pablo Abreu to Chief Product &amp; Analytics Officer - KULR-8,https://www.kulr8.com/news/money/socure-announces-promotion-of-pablo-abreu-to-chief-product-analytics-officer/article_f68e0184-70c5-5178-8f1e-4541cfa74b6a.html,2021-09-09 19:18:45+00:00,2021-09-09 19:18:45+00:00,"He is responsible for the strategy and direction of Socure&#39;s product and <b>data science</b> efforts, driving Socure to further establish its category&nbsp;...",,Analytical; Artificial Intelligence (AI); Azure Machine Learning; Calendar; Coding; Communication; Construction; Content Management System (CMS); Customer Service; Dashboard; Data Management; Data Science; Email; Ethics; Facebook; Finance; Financial Services; Healthcare; Innovation; Instagram; Intellectual Property (IP); Internet Protocol (IP); Investment; LeSS; Leadership; Machine Learning Algorithm; Market; Marketing; Mining; Natural Language Processing (NLP); Network; News; Newsletters; Nursing; Platform; Predictive Analytics; Predictive Model; Privacy; Public Health; React; Real Estate; Reinforcement Learning; Sales; Security; Selection; Sports; Table; Twitter; Velocity; Video; Youtube; eCommerce
1.62e+19,Socure Announces Promotion of Pablo Abreu to Chief Product &amp; Analytics Officer - The Joplin Globe,https://www.joplinglobe.com/region/national_business/socure-announces-promotion-of-pablo-abreu-to-chief-product-analytics-officer/article_6a361c77-9b19-5460-8b16-c4c9888a9730.html,2021-09-09 19:18:45+00:00,2021-09-09 19:18:45+00:00,... patents and intellectual property related to its use of <b>data science</b> and machine learning for identity verification and fraud mitigation.,,Analytical; Artificial Intelligence (AI); Azure Machine Learning; Coding; Communication; Content Management System (CMS); Customer Service; Data Management; Data Science; Digital Image; Editor; Email; Ethics; Facebook; Finance; Financial Market; Financial Services; Healthcare; History; Innovation; Instagram; Intellectual Property (IP); Internet Protocol (IP); Journalism; Law; LeSS; Leadership; Machine Learning Algorithm; Marketing; Microsoft Publisher; Music; Natural Language Processing (NLP); News; Newsletters; Newspapers; Platform; Predictive Analytics; Predictive Model; Privacy; Real Estate; Reporting; Router; Security; Sports; Table; Twitter; Velocity; Video; Youtube; eCommerce
6.14e+18,"Learn How Students Used <b>Data Science</b> to Explore Health, Wealth, and Education in the Bronx",https://neighbors.columbia.edu/news/learn-how-students-used-data-science-explore-health-wealth-and-education-bronx,2021-09-09 19:18:45+00:00,2021-09-09 19:18:45+00:00,"Over the summer, the undergraduates applied their <b>data science</b> skills to projects that focus on the need to address quality of life issues for New&nbsp;...",,Computer Science; Construction; Correlation; Data Science Tool; Data Visualization; Database; Dataset; Facebook; Golang; History; Instagram; LeSS; Microsoft Access; Network; News; Public Good; Public Health; Research; Statistics; Training; Twitter; Visualization; Zoom
1.35e+19,What is Apache Hadoop? Understanding Hadoop Ecosystem &amp; Architecture - IT Business Edge,https://www.itbusinessedge.com/database/apache-hadoop/,2021-09-09 19:41:15+00:00,2021-09-09 19:41:15+00:00,"As <b>data science</b> utilizes both structured and unstructured data, the data used for analysis can be obtained from an array of application domains and&nbsp;...",,Algorithm; Analytical; Apache Hadoop; Apache Hbase; Apache Hive; Apache Oozie; Apache Pig; Apache Spark; Apache Sqoop; Apache Zookeeper; Application Layer; Architecture; Array; Artificial Intelligence (AI); Big Data; Blockchain; Business Intelligence (BI); Classification; Closing; Cloud Application; Clustering; Communication; Computing; Creatio; Dashboard; Data Analysis; Data Management; Data Science Tool; Database Development; Email; Equity; Facebook; Free Hand; Golang; Graph; HBase; Hadoop Common; Hadoop Distributed File System (HDFS); Hadoop Ozone; Hardware; Human Resource Management; Image Processing; Information Technology (IT); Journalism; LinkedIn; Machine Learning; MapReduce; Mapping; Network Security; Networking; News; Node.js; Oracle NoSQL Database; Password; Platform; Predictive Model; Privacy; Programming Model; Red Hat; Scala; Scheduling; Software Design; Software Development Kit (SDK); Sorting; Statistics; Structured Query Language (SQL); Twitter; Visualization; jQuery; vSphere
8.95e+18,ASU geography professor wins NSF mid-career award | ASU News,https://news.asu.edu/20210909-asu-geography-professor-wins-nsf-mid-career-award,2021-09-09 19:41:15+00:00,2021-09-09 19:41:15+00:00,“This award focuses exactly on career advancement in polar <b>data science</b>; it offers an exciting opportunity for me to build a large collaboration&nbsp;...,,Analysis; Artificial Intelligence (AI); Arts; Collaboration; Communication; Competition; Creativity; Dance; Data Science; Dataset; Design; Electrical Engineering; Electronic Engineering; Electronics; Entrepreneurship; Facebook; Formatting; Geography; Golang; Hydrology; Image; Innovation; Investment; Leadership; LinkedIn; Mapping; Marketing; Media; Microsoft Azure; Music; Network; Networking; News; Opera; Outreach; Platform; Play; Privacy; Problem Solving; Radio; Rally; Recruiting; Research; Searching; Soft Computing; Sports Law; Storytelling; Sustainability; Systems Engineering; Theatre; Training; Urban Engineering; Urban Planning; Video
