name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
SM INVESTMENTS CORPORATION,26.304 Billion USD,699,26.304 Billion USD,699,Philippines,,https://www.sminvestments.com/,Conglomerate; Investments; Retail,157288,Year ending December-2020,Year ending December-2020,,,"SM Investments Corporation is Conglomerate company with presence in Retail, Real Estate, Banking and Equity Investments. Headquarters in Philippines.
As on December 2019, SM INVESTMENTS CORPORATION has 157,288 employees."
PT TELEKOMUNIKASI INDONESIA TBK,23.081 Billion USD,799,23.081 Billion USD,799,Indonesia,,https://www.telkom.co.id,Communication Services; Telecom; Mobile Services,24272,Year ending December-2019,Year ending December-2019,NYSE; Frankfurt,Indonesia ADRs,"Telecom company with headquarters in Jakarta, Indonesia providing mobile network services, fixedline services, internet providing services, television services."
WILMAR INTERNATIONAL,22.223 Billion USD,828,22.223 Billion USD,828,Singapore,,https://www.wilmar-international.com/,Consumer Defensive; Agriculture Products; FMCG,90000,42640 Million USD,1293 Million USD,Singapore; Frankfurt,Singapore ADRs,"Agriculture related business with headquarters in Singapore with over 90000 Employees. Palm Oil Trees Cultivation, Edible Oils Processing, Fertilizers, Oil Seeds, Sugar, BioDiesel are couple of agriculture products from this company.
"
PT BANK MANDIRI (PERSERO) TBK,21.820 Billion USD,847,21.820 Billion USD,847,Indonesia,,https://www.bankmandiri.co.id/,Financial Services; Banking Services,39000,Year ending December-2020,Year ending December-2020,Jakarta,,"PT BANK MANDIRI (PERSERO) TBK is Banking and Financial services company with headquarters in Indonesia.
BANK MANDIRI has 2,714 branches and 13,217 ATMs as on 2020.
 "
PT UNILEVER INDONESIA TBK,20.530 Billion USD,891,20.530 Billion USD,891,Indonesia,,https://www.unilever.co.id/,Consumer Defensive; FMCG; Consumer Goods,5400,Year ending December-2020,Year ending December-2020,Jakarta,,"FMCG sector which manufacture and markets like soaps, shampos, detergents, healthcare products, food products. Headquarters is in Jakarta, Indonesia."
DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY,20.208 Billion USD,900,20.208 Billion USD,900,Thailand,,https://www.deltathailand.com/en/,Industries; Electronics; Electrical Products,15250,Year ending December-2020,Year ending December-2020,Frankfurt,,"Delta Electronics (Thailand) Public Company Limited manufacturing electronic components, i.e. cooling fan, electromagnetic interference filter (EMI) and solenoid. Their current power management products include power systems for information technology, automotive, telecommunications, industrial applications, office automation, medical industries, EV chargers, DC-DC converters and adapters."
PT ASTRA INTERNATIONAL TBK,18.160 Billion USD,1003,18.160 Billion USD,1003,Indonesia,,https://www.astra.co.id/,Consumer Cyclical; Automobile; Automobile Parts,226105,Year ending December-2020,Year ending December-2020,Jakarta,,"Astra International manufactures and sells auto parts. Apart from that it sells bikes, cars, mining equipment, construction equipment of various companies. It also sells used cars. It has business in infrastructure like laying toll roads."
AYALA CORPORATION,17.688 Billion USD,1015,17.688 Billion USD,1015,Philippines,,https://www.ayala.com.ph/,Industries; Conglomerate; Real Estate,64373,,,PSE,Philippines ADRs,"Ayala Corporation is the oldest and one of the largest conglomerates in the Philippines with core interests in real estate, banking, telecommunications, and power. It also has portfolio investments in various industries including water, industrial technologies, infrastructure, health, and education. Headquarters in Philippines."
ADVANCED INFO SERVICE PUBLIC COMPANY,17.448 Billion USD,1034,17.448 Billion USD,1034,Thailand,,http://investor.ais.co.th/,Communication Services; Telecom; Mobile Services,12701,Year ending December-2020,Year ending December-2020,Frankfurt,Thailand ADRs,"AIS is telecom company with headquarters in Thailand. They provide telecom services like mobile networking operation services, broadband internet services, digital services."
CP ALL PUBLIC COMPANY,17.442 Billion USD,1035,17.442 Billion USD,1035,Thailand,,https://www.cpall.co.th/en/home/,Consumer Defensive; Retail; Convenience Stores,62556,Year ending December-2020,Year ending December-2020,Thailand,Thailand ADRs,"CP All operates chain of convenience stores across Thailand. Headquarters is in Bangkok, Thailand.
The Company is the sole operator of 7-Eleven convenience stores in Thailand, which has been granted an exclusive right from 7-Eleven, Inc., USA.
In 2019, there were a total of 18,240 convenience stores in the ‘‘Chain Store’’ category."
SIAM CEMENT PUBLIC COMPANY,15.120 Billion USD,1181,15.120 Billion USD,1181,Thailand,,https://www.scg.com/en/01corporate_profile/,Basic Materials; Cement; Construction Materials,53728,Year ending December-2020,Year ending December-2020,Thailand,,"Siam Cement Company is cement manufacturing company with headquarters in Thailand. Other business of this company include Chemicals Business, Packaging Business and Investments Business."
THAI BEVERAGE,13.968 Billion USD,1262,13.968 Billion USD,1262,Thailand,,http://www.thaibev.com/,Consumer Defensive; Alcoholic Beverages; Beverages,,Year ending September-2020,Year ending September-2020,Singapore,,Thai Beverage is alcoholic beverages company with headquarters in Thailand.
GULF ENERGY DEVELOPMENT PUBLIC COMPANY,13.395 Billion USD,1322,13.395 Billion USD,1322,Thailand,,https://www.gulf.co.th/en/,Utilities; Power Generation; Electricity Generation,832,Year ending December-2020,Year ending December-2020,Thailand,,"Gulf Energy Development Public company is a Energy Producers company. It's portfolio of electricity, steam and chilled water generating projects and other related business. It operate and develop a total gross installed power capacity of 11,910 MW. The company sell electricity to the electricity generating authority of Thailand and industrial users in industrial estates through independent power producer and small power producers programs and sell electricity to the provincial electricity authority through very small power producers program."
PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY,12.882 Billion USD,1358,12.882 Billion USD,1358,Thailand,,https://www.pttep.com/,Energy; Oil and Gas; Natural Gas Generation,4496,Year ending December-2020,Year ending December-2020,Thailand,Thailand ADRs,"PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY is a national petroleum exploration and production company. The company operates three business segments: Oil and gas exploration and production, overseas pipelines and investment in projects strategically connected to the energy business. It is a subsidiary of the state owned PTT public company limited. The headquarters is in Thailand."
GRAB,,1383,,1383,Singapore,,https://www.grab.com/sg/,Technology; Rent / Lease Services; Digital Payment Solution Services,6000,1.1 Billion USD,,,,GRAB provides Cabs rental services like UBER and OLA CABS. Provides online payment solution services like AliPay and PayTM. Headquarters is in Singapore. GRAB company annual revenues for 2018 is 1.1 Billion USD.
PT HANJAYA MANDALA SAMPOERNA TBK,12.610 Billion USD,1384,12.610 Billion USD,1384,Indonesia,,https://www.sampoerna.com/,Consumer Defensive; Tobacco and Cigarette; Tobacco Products,28000,Year ending December-2020,Year ending December-2020,Jakarta,,"PT HANJAYA MANDALA SAMPOERNA TBK is engaged in the manufacture and trading of clove cigarettes. The company produces both hand-rolled kretek and machine -rolled kretek, utilizing its manufacturing. It also produces the Marlboro white cigarettes. Main product of the company is cigarettes. The headquarters is in Indonesia."
CAPITALAND,12.539 Billion USD,1393,12.539 Billion USD,1393,Singapore,,https://www.capitaland.com,Real Estate; Investments; Property Investments,8500,,,Singapore,,"Real estate investment trust and property development and property management company. Headquarters in Singapore.
"
PT. CHANDRA ASRI PETROCHEMICAL TBK,11.508 Billion USD,1508,11.508 Billion USD,1508,Indonesia,,,Basic Materials; Chemicals; Petrochemicals,,Year ending December-2020,Year ending December-2020,Jakarta,,"PT Chandra Asri Petrochemical Tbk is an integrated petrochemical producer. The Company produces ethylene, propylene, mixed C4, pyrolysis gasoline, polyethylene, polypropylene, and styrene monomer. The Company also has a tank and jetty rental business. The headquarters is in Indonesia."
GO-JEK,,1523,,1523,Indonesia,,https://www.gojek.com/,Consumer Services; Ride Sharing; Rent / Lease Services,3000,,,,,"Gojek’s journey began in 2010 as a motorcycle ride-hailing call center in Indonesia. The homegrown app was then launched in 2015 with only three services: GoRide, GoSend, and GoMart.
Since then, the app has evolved into a Super App, a multi-services platform with more than 20 services today.
Through just one platform, Gojek’s users can access over 20 services ranging from transportation to food delivery, massages, e-money, and even a loyalty program.
 "
BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY,11.018 Billion USD,1570,11.018 Billion USD,1570,Thailand,,https://www.bdms.co.th/,Healthcare; Hospitals; Healthcare Service,,Year ending December-2020,Year ending December-2020,Thailand,Thailand ADRs,"BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY is engaged in private health care group. The hospital specializes in cardiovascular, lung, neurological, eye and genitourinary cancer, as well as physical therapy and medical imaging. The headquarters is in Thailand. "
CAPITALAND COMMERCIAL TRUST,10.930 Billion USD,1579,10.930 Billion USD,1579,Singapore,,https://www.cct.com.sg/,Real Estate; Property Investments; Commercial Properties,,,,Singapore,,CapitaLand Commercial Trust is a Commercial Real Estate Investment Trust company. It market capitalization of S$7.7 billion as at 31 December 2019. The headquarters is in Singapore.
CAPITALAND MALL TRUST,10.576 Billion USD,1615,10.576 Billion USD,1615,Singapore,,https://www.cmt.com.sg/,Real Estate; Property Investments; Commercial Properties,,,,Singapore,,"CapitaLand Mall Trust is a Real Estate Investment Trust company. It is also the retail REIT by market capitalization approximately S$9.1 billion. The company distribution income is S$441.6 million, distribution per unit is 11.97 cents, market capitalization is S$9.1 billion and annual shopper traffic is 342.8 million. The headquarters is in Singapore."
SIAM COMMERCIAL BANK PUBLIC COMPANY,9.914 Billion USD,1690,9.914 Billion USD,1690,Thailand,,https://www.scb.co.th,Financial Services; Banking Services,24000,Year ending December-2020,Year ending December-2020,Thailand,Thailand ADRs,"SIAM COMMERCIAL BANK PUBLIC COMPANY limited provides a full range of banking and financial services. Its products and services cover investment banking  and corporate management, commercial banking solutions, retail banking and small and medium enterprise solutions, wealth products mortgage products. The headquarters is in Thailand.
As of December 31, 2020 the Bank had, on a consolidated basis, Baht 3,278 billion in total assets, Baht 2,420 billion in deposits and Baht 2,255 billion in loans."
BDO UNIBANK,9.747 Billion USD,1713,9.747 Billion USD,1713,Philippines,,https://www.bdo.com.ph,Financial Services; Banking Services,38510,,,PSE,Philippines ADRs,"BDO Unibank provides banking and financial services. The bank offers saving accounts, investment, credit and debit cards, insurance, loans, remittance, trade financing services, treasury, trust, and corporate cash management. The bank operates through five segments: commercial banking, trade financing and cash management, investment banking, and private banking. The headquarters is in Philippines.
BDO Unibank has 1400 branches and 4,400 ATMs as on 2019."
SINGAPORE AIRLINES,9.602 Billion USD,1736,9.602 Billion USD,1736,Singapore,,https://www.singaporeair.com/,Industries; Airlines; Aviation,14729,,,Singapore,Singapore ADRs,"Airlines company with headquarters in Singapore.
"
ASCENDAS REAL ESTATE INVESTMENT TRUST,9.066 Billion USD,1818,9.066 Billion USD,1818,Singapore,,https://www.ascendas-reit.com/,Real Estate; Property Investments; Investments,,,,Singapore,,Ascendas Real Estate Investment Trust is a Real Estate Market company. The headquarters is in Singapore.
FLEX,9.011 Billion USD,1830,9.011 Billion USD,1830,Singapore,,https://flex.com/,Technology; Electronics; Electrical Products,160000,,,Nasdaq,Singapore ADRs,"Flex is a Multinational Electronics Contract Manufacturer company. The service are provide to the company which are working in the sector of automotive, energy, consumer devices, healthcare, 5G for an intelligent edge, cloud, lifestyle and communications. The headquarters is in Singapore."
SINGAPORE TECHNOLOGIES ENGINEERING LTD,9.005 Billion USD,1832,9.005 Billion USD,1832,Singapore,,https://www.stengg.com/,Industries; Engineering Products; Engineering Services,22000,,,Singapore,,"Singapore Technologies Engineering Ltd is a Engineering company. It is a technology, defence and engineering group specializing in the aerospace, electronics, land systems and marine sectors. The company create people centric, multi disciplinary, smart engineering solutions for customers in the defense, government and commercial segment in more than 100 countries. It create game changing solutions in domains such as smart cities, robotics, data analytics, cyber security and autonomous solutions. The headquarters is in Singapore."
KASIKORNBANK PUBLIC COMPANY,8.834 Billion USD,1857,8.834 Billion USD,1857,Thailand,,https://kasikornbank.com,Financial Services; Banking Services,20681,Year ending December-2020,Year ending December-2020,Thailand,Thailand ADRs,"KASIKORNBANK PUBLIC COMPANY is banking and financial services company with headquarters in Thailand.
KASIKORNBANK PUBLIC COMPANY has 887 branches and 8,184 ATMs.
 "
PTT GLOBAL CHEMICAL PUBLIC COMPANY,8.749 Billion USD,1872,8.749 Billion USD,1872,Thailand,,https://www.pttgcgroup.com/en,Basic Materials; Chemicals; Petrochemicals,,Year ending December-2020,Year ending December-2020,Thailand,,"PTT Global Chemical Public Company is a Petrochemical company. It is comprised of diversified and comprehensive petrochemical businesses including manufacturing and distribution of upstream, intermediate and downstream petrochemical products. The company products are can be converted into other chemical products and serve as basic feedstock for downstream industries such as packaging, apparel, communications and electronic equipment, electrical appliances, vehicles, construction materials, engineering based plastics, agricultural equipment and much more."
PT BANK NEGARA INDONESIA (PERSERO) TBK,8.700 Billion USD,1885,8.700 Billion USD,1885,Indonesia,,http://www.bni.co.id/,Financial Services; Banking Services,27211,Year ending December-2020,Year ending December-2020,Jakarta,,PT Bank Negara Indonesia Tbk is an Indonesian State Owned Bank company. The headquarters is in Indonesia.
GENTING SINGAPORE,7.759 Billion USD,2062,7.759 Billion USD,2062,Singapore,,http://www.gentingsingapore.com/,Consumer Cyclical; Casinos; Resorts,,,,Singapore,,"Genting Singapore develops and operates resorts and casions. Headquarters is in Singapore. Genting Singapore had multiple resorts in Australia, the Bahamas, Malaysia, the Philippines and Singapore."
TOKOPEDIA,,2069,,2069,Indonesia,,https://www.tokopedia.com/,eCommerce; Technology; Internet or Mobile App Based Business,4700,,,,,TOKOPEDIA is eCommerce and online shopping services providing company with headquarters in Indonesia.
BANK OF AYUDHYA PUBLIC COMPANY,7.662 Billion USD,2080,7.662 Billion USD,2080,Thailand,,https://www.krungsri.com/,Financial Services; Banking Services,,,,Frankfurt,Thailand ADRs,"Bank of Ayudhya Public Company is a Banking Holding company. The Bank is currently the fifth largest bank in Thailand in terms of loans and deposits. It provides a full range of banking services to both commercial and individual customers. The headquarters is in Thailand.
Bank of Ayudhya Public Company has more than 550 branches as on 2019."
BANGKOK BANK PUBLIC COMPANY,7.540 Billion USD,2116,7.540 Billion USD,2116,Thailand,,https://www.bangkokbank.com/,Financial Services; Banking Services,,,,Frankfurt,,"Bangkok Bank Public Company is a Commercial Banking company. It is a regional banks with total assets of 3,216,743 million baht, with approximately 240 business centers and business desks and also have the countries largest retail customer base of more than 17 million accounts. The headquarters is in Thailand.
Bangkok Bank Public Company has 1,165 branches and 9,300 ATMs as on 2019."
SINGAPORE EXCHANGE,7.506 Billion USD,2125,7.506 Billion USD,2125,Singapore,,https://www2.sgx.com/,"Financial Services; Stock Markets, Trading, Capital Markets",846,,,Frankfurt,Singapore ADRs,"Singapore Exchange is a stock exchange company and related to trading of instruments like Securities, Fixed Income, Derivatives. Headquarters is in Singapore."
KEPPEL CORPORATION,7.399 Billion USD,2148,7.399 Billion USD,2148,Singapore,,http://www.kepcorp.com/en/,Industries; Infrastructure,18297,,,Singapore,,"Keppel Corporation is a Infrastructure company. It provide solutions for sustainable urbanization, focusing on four key areas comprising energy and environment, urban development, connectivity and asset management. The company is a innovating and leveraging new technologies such as Artificial Intelligence and Industrial Internet of Things to develop advanced, robust and smart solutions fit for the future. The headquarters is in Singapore."
PT BARITO PACIFIC TBK,7.304 Billion USD,2168,7.304 Billion USD,2168,Indonesia,,https://barito-pacific.com/,Basic Materials; Chemicals; Petrochemicals,3400,Year ending December-2020,Year ending December-2020,Jakarta,,"PT Barito Pacific Tbk is a Joint Venture company. It is engaged in the investment and development of commercial and industrial properties that support petrochemical and power assets. The company has integrated petrochemical company in Indonesia with current total production capacity of 3,458 KTPA. The headquarters is in Indonesia."
GREAT EASTERN HOLDINGS,7.162 Billion USD,2197,7.162 Billion USD,2197,Singapore,,https://www.greateasternlife.com/,Financial Services; Insurance,4227,,,Singapore,,"Great Eastern Holdings is a Insurance company. It has over $90 billion in assets and over 8 million policyholders including 5 million from government schemes, it provides insurance solutions to customers through three successful distribution channels a tied agency force, bancassurance and financial advisory firm and great eastern financial advisers. The headquarters is in Singapore."
CHAROEN POKPHAND FOODS PUBLIC COMPANY,7.122 Billion USD,2208,7.122 Billion USD,2208,Thailand,,https://www.cpfworldwide.com/,Consumer Defensive; Food Products; Meat / Poultry / Fish / Chicken,,,,Thailand,,"Charoen Pokphand Foods Public Company is a Animal Aquaculture company. It operates integrated agro industrial and food business including livestock and aquaculture such as swine, broiler, layer, duck, shrimp and fish. The company businesses are categorized into 3 categories they are namely Feed, Farm and Food. The headquarters is in Thailand."
CENTRAL PATTANA PUBLIC COMPANY,7.116 Billion USD,2210,7.116 Billion USD,2210,Thailand,,https://www.cpn.co.th/en,Real Estate; Property Investments; Construction,,,,Thailand,,"Central Pattana Public Company is a Property Developer company. The Company owns and manages 32 premium shopping centers, 7 office buildings, 2 Hotels and 4 residential buildings, with a total leasable area exceeding 1.7 million sq.m. The headquarters is in Thailand."
GLOBAL POWER SYNERGY PUBLIC COMPANY,6.932 Billion USD,2269,6.932 Billion USD,2269,Thailand,,https://www.gpscgroup.com/en,Utilities; Electric Utilities; Power Generation,,,,Thailand,,"Global Power Synergy Public Company is a Electric Power Generation company. It is the total current generating capacity according to equity MW is around 5,026 MW of electricity. The headquarters is in Thailand."
INDORAMA VENTURES PUBLIC COMPANY,6.925 Billion USD,2273,6.925 Billion USD,2273,Thailand,,https://www.indoramaventures.com/en,Basic Materials; Chemicals; Petrochemicals,,,,Thailand,,"Indorama Ventures Public Company is a Petrochemical company. It is having 24,000 professional employees, consolidated revenue 11.4 billion USD and has 121 manufacturing facilities present across 33 countries as per year 2019. The headquarters is in Thailand."
PT UNITED TRACTORS TBK,6.900 Billion USD,2281,6.900 Billion USD,2281,Indonesia,,http://www.unitedtractors.com/,Industries; Construction Equipment; Mining,33139,Year ending December-2020,Year ending December-2020,Jakarta,Indonesia ADRs,"PT United Tractors Tbk is a Mining company. The Company is a key player in various sectors and industries in the country through its five business pillars they are namely construction machinery, mining contracting, mining, construction industry and energy. The headquarters is in Indonesia."
MANILA ELECTRIC COMPANY,6.851 Billion USD,2287,6.851 Billion USD,2287,Philippines,,https://www.meralco.com.ph/,Utilities; Electric Utilities,5700,,,PSE,Philippines ADRs,"Meralco also knows as Manila Electric Company is a Electric Power Distribution company. It is the private sector electric distribution utility company in the Philippines covering 36 cities and 75 municipalities and franchise area of over 9,685 km2 includes the country industrial, commercial and population centers. The headquarters is in Philippines."
SIAM MAKRO PUBLIC COMPANY,6.320 Billion USD,2451,6.320 Billion USD,2451,Thailand,,https://www.siammakro.co.th/,Consumer Cyclical; Retail,,,,Thailand,,"Retail sector company with a chain of stores and which sells food items and non food items. Headquarters is in Bangkok, Thailand."
MAPLETREE LOGISTICS TRUST,6.285 Billion USD,2461,6.285 Billion USD,2461,Singapore,,https://www.mapletreelogisticstrust.com/,Real Estate; Investments,253,,,Singapore,,"Mapletree Logistics Trust (“MLT”) is Singapore’s first Asia Pacific focused logistics real estate investment trust. The headquarters is in Singapore.
MLT invests in a diversified portfolio of quality, well-located income-producing logistics real estate in Singapore, Hong Kong SAR, Japan, China, Australia, South Korea, Malaysia and Vietnam."
PT ELANG MAHKOTA TEKNOLOGI TBK,6.180 Billion USD,2495,6.180 Billion USD,2495,Indonesia,,http://www.emtek.co.id/,Communication Services; Broadcasting,5139,Year ending December-2019,Year ending December-2019,Jakarta,,"PT Elang Makita Technology Tab is a Broadcasting and Media company. The company solutions division provides a range of infrastructure and information, communication and technology solutions for the telecommunication, banking and retail payment industries. The headquarters is in Indonesia."
ENERGY ABSOLUTE PUBLIC COMPANY,6.123 Billion USD,2508,6.123 Billion USD,2508,Thailand,,https://www.energyabsolute.co.th/,Utilities; Renewable Energy; Electric Utilities,,,,Thailand,,Energy Absolute Public Company generates solar power and wind power. Headquarters is in Thailand.
PLDT,6.027 Billion USD,2534,6.027 Billion USD,2534,Philippines,,http://www.pldt.com/,Communication Services; Telecom; Utilities,18784,,,NYSE; Frankfurt,Philippines ADRs,"PLDT is the Philippines' largest and only integrated telecom company. Through its principal business groups — from fixed line to wireless — PLDT offers a wide range of telecommunications and digital services across the Philippines’ most extensive fiber optic backbone, and fixed line and cellular networks.  Headquarters is in Philippines."
INTOUCH HOLDINGS PUBLIC COMPANY,6.012 Billion USD,2538,6.012 Billion USD,2538,Thailand,,https://www.intouchcompany.com/,Communication Services; Telecom; Technology,,,,Thailand,,"Intouch Holdings Public Company is a Telecommunications company. The company principle business units are currently divided into three main areas they are wireless telecommunication business, satellite and international businesses and other businesses. It paid up capital is 3,206,509,426 baht including 3,206,509,426 common shares and registered capital is 5,000,000,000 baht. The headquarters is in Thailand."
HOME PRODUCT CENTER PUBLIC COMPANY,6.006 Billion USD,2540,6.006 Billion USD,2540,Thailand,,https://www.homepro.co.th/,Consumer Cyclical; Retail; Home Improvement,,,,Thailand,,"Home Product Center Public Company is a Home Improvement Retail company. It products rang cover 40,000 items, operate 94 store nationwide and retailer of products and provider of services relating to construction, extension, renovation and improvement of buildings, houses and residence as one stop shopping. The headquarters is in Thailand."
BOC AVIATION,5.997 Billion USD,2542,5.997 Billion USD,2542,Singapore,,https://www.bocaviation.com/,Industries; Aviation,176,,,HKeX,,"BOC Aviation Provides aircrafts on lease and it is state-owned company. Headquarters is in Singapore.
As on Dec-2019, they own and lease 553 aircrafts and they have 87 airlines as clients.
As on June-2020, BOC Aviation has Total Assets of 22.6 Billion USD.
BOC Aviation is listed on the Hong Kong Stock Exchange (HKEx code: 2588) and has its headquarters in Singapore with offices in Dublin, London, New York and Tianjin."
PT BANK PERMATA TBK,5.990 Billion USD,2546,5.990 Billion USD,2546,Indonesia,,https://www.permatabank.com/,Financial Services; Banking Services,7806,Year ending December-2020,Year ending December-2020,Jakarta,,PT BANK PERMATA TBK is banking and financial services providing company with headquarters in Indonesia.
LAZADA GROUP,,2707,,2707,Singapore,,https://www.lazada.com/en/,Internet or Mobile App Based Business; eCommerce,8000,,,,,"Founded in 2012, Lazada Group is Southeast Asia’s leading eCommerce platform. With a presence in six countries – Indonesia, Malaysia, the Philippines, Singapore, Thailand and Vietnam – they connect this vast and diverse region through our technology, logistics and payments capabilities. Today, they have the largest selection of brands and sellers, and by 2030, they aim to serve 300 million customers. In 2016, Lazada became the regional flagship of the Alibaba Group, and is backed by Alibaba’s best-in-class technology infrastructure."
CITY DEVELOPMENTS,5.469 Billion USD,2735,5.469 Billion USD,2735,Singapore,,https://www.cdl.com.sg/,Real Estate; Investments; Construction,,,,Singapore,Singapore ADRs,"City Developments is a Real Estate Development company. It's network spanning across 106 locations in 29 countries and regions, has developed over 46,000 homes and owns over 24 million square feet of gross floor area in residential, commercial and hospitality assets globally as on 2020. The company diversified global land bank offers 3.4 million square feet of land area and has 152 hotels and 44,000 rooms worldwide. The headquarters is in Singapore."
MAPLETREE COMMERCIAL TRUST,5.343 Billion USD,2783,5.343 Billion USD,2783,Singapore,,https://www.mapletreecommercialtrust.com/,Real Estate; Property Investments; Commercial Properties,,,,Singapore,,"Mapletree Commercial Trust is a Real Estate Investment Trust company. It's portfolio has a total net lettable area of 5.0 million square feet, valued at S$8,717 million. The company features modern office specifications such as large and efficient columnfree rectangular floor plates of approximately 46,000 square feet and integrated suspended ceiling and raised floors. The headquarters is in Singapore."
TOTAL ACCESS COMMUNICATION PUBLIC COMPANY,5.308 Billion USD,2795,5.308 Billion USD,2795,Thailand,,http://www.dtac.co.th/,Communication Services; Mobile Services; Telecom,,,,Thailand,,Total Access Communication Public Company is a Mobile Phone Operator company. The headquarters is in Thailand.
PT SINAR MAS MULTIARTHA TBK,5.240 Billion USD,2817,5.240 Billion USD,2817,Indonesia,,http://www.smma.co.id/,Financial Services; Banking Services; Insurance,7354,,,Jakarta,,PT Sinar Mas Multiartha Tbk is a Financial Services and Insurance Holding company. The headquarters is in Indonesia.
PT SEMEN INDONESIA (PERSERO) TBK,5.240 Billion USD,2818,5.240 Billion USD,2818,Indonesia,,http://semenindonesia.com/,Basic Materials; Cement; Construction Materials,7769,,,Jakarta,,Cement manufacturing company with headquarters in Indonesia.
