id,title,channel,url,published_date,description,relevance,data_skills,skills
-T_l8TjAzXk,WHY LEARN TABLEAU? | Is Tableau worth learning?  | 5 Reasons to learn Tableau | Abhishek Agarwal,Abhishek Agarrwal,https://youtube.com/watch?v=-T_l8TjAzXk,2020-10-27T12:03:20Z,Many people who are a beginner and aspiring to learn a new business intelligence tool is wondering whether tableau is a good choice for them whether they ...,36.0,Tableau,Business Intelligence (BI); Business Intelligence Tool; Data Visualization; LinkedIn; Tableau; Twitter; Video; Visualization; Youtube
-VnSzxnd71o,Microsoft Power BI in Just 40 minutes - Excel User Should Know - Complete Power BI Tutorial Hindi,mybigguide,https://youtube.com/watch?v=-VnSzxnd71o,2020-07-10T14:02:13Z,Join MS Office Full Course at 90% Discount - https://bit.ly/2QNZRDO - Microsoft Power BI - Beginners Tutorial - Power BI Tips And Tricks 2020 - Every Excel User ...,26.0,Power BI,Android; Business Intelligence (BI); Facebook; Hindi; Internet; Microsoft Access; Microsoft Excel; Microsoft Power BI; Networking; Play; Twitter; Video; Windows; Youtube
-_DJPRrFQXI,What Is Power BI? | Introduction To Power BI | Power BI Tutorial For Beginners | Simplilearn,Simplilearn,https://youtube.com/watch?v=-_DJPRrFQXI,2020-02-04T14:30:00Z,"This video on what is Power BI will help you learn why Power BI is important, the various features of Power BI, and the components of Power BI. Then, you will ...",18.0,Power BI,.NET Framework; Android; Business Intelligence (BI); Dashboard; Data Visualization; Facebook; LinkedIn; Microsoft Access; Microsoft Power BI; Training; Twitter; Video; Visualization; Web Architecture; Youtube; iOS
-daMfdwpmAg,Reinforcement Learning | Reinforcement Learning In Python | Machine Learning Tutorial | Simplilearn,Simplilearn,https://youtube.com/watch?v=-daMfdwpmAg,2021-01-15T15:30:01Z,This video on Reinforcement Learning will help you understand the basics of reinforcement learning. You will learn the concepts like reward and states. You will ...,17.0,Reinforcement,Amazon Web Service (AWS); Android; Artificial Intelligence (AI); Collaboration; Deep Learning; Facebook; Graphics Processing Unit (GPU); LinkedIn; Machine Learning; Microsoft Access; Natural Language Processing (NLP); Network; Python; Reinforcement Learning; Statistics; Twitter; Video; iOS
-fY3g-DUtks,Is Java Still Worth Learning in 2021?,Keep On Coding,https://youtube.com/watch?v=-fY3g-DUtks,2021-06-03T15:00:01Z,Get your free 1st month of JetBrains Academy: https://jb.gg/academy/keep_on_coding Complete the 1st stage of your project to receive your 2nd month free!,15.0,Java,Java
-mhEqZtAKdc,Turbo Prep - Data Cleansing | RapidMiner,"RapidMiner, Inc.",https://youtube.com/watch?v=-mhEqZtAKdc,2018-09-04T13:22:31Z,"In this tutorial, we take a look at the best ways to clean up your data using Turbo Prep in RapidMiner studio. Learn more about RapidMiner and Machine ...",11.0,Data Cleansing,Data Cleansing; Machine Learning; RStudio; RapidMiner
-o3AxdVcUtQ,Exploratory Data Analysis (EDA) Using Python | Python Data Analysis | Python Training | Edureka,edureka!,https://youtube.com/watch?v=-o3AxdVcUtQ,2020-04-29T06:00:00Z,Edureka Python Certification Training: https://www.edureka.co/data-science-python-certification-course This Edureka video on the 'Exploratory Data Analysis ...,40.0,Data Preparation; Visualizations,.NET Framework; Artificial Intelligence (AI); Azure Machine Learning; Blogging; Business Analysis; Classification; Clustering; Cross Validation; Data Analytics; Data Manipulation; Data Science; Debugger; Debugging; Decision Tree; Design; Encoding; Exploratory Data Analysis; Facebook; Finance; Golang; Gradle; IP Addressing; Instagram; Investigational New Drug (IND); Java; LinkedIn; Linux; Machine Learning Algorithm; Matplotlib; Media; Naïve Bayes; NumPy; Oil and Gas; Pandas; Physics; Predictive Analytics; Predictive Model; Predictive Modelling; Python; Random Forest; Regression; Reinforcement Learning; Scientific Computing; Scikit-learn; Sequence; Signal Processing; Statistics; Support Vector Machine (SVM); Syntax; Technical Support; Telegram; Training; Twitter; Unix; Video; Virtual Machine; Windows; Writing
-qwgwzeHAkM,Apache Web Server - tutorial for beginners,Duomly,https://youtube.com/watch?v=-qwgwzeHAkM,2020-07-25T08:00:11Z,This video is an Apache Web Server tutorial for beginners. The older brother of NGINX is Apache Web Server. It's one of the most popular ones and a very old ...,13.0,APACHE,Apache Hbase; Apache Tomcat; Blogging; Communication; Configuration; Facebook; Hypertext Transfer Protocol (HTTP); Instagram; LinkedIn; Programming; Twitter; Video; Web Server
-ul1dAHteZQ,Statistics 101 - SPSS in 5 min,Cognitive Class,https://youtube.com/watch?v=-ul1dAHteZQ,2017-06-21T21:32:12Z,Enroll in the Statistics course for free at: https://cognitiveclass.ai/courses/statistics-101/ Take this course and you won't fail statistics. Welcome to the Statistics 101 ...,40.0,Statistics,Artificial Intelligence (AI); Chart; Cognitive; Correlation; Data Visualization; Descriptive Statistics; Facebook; Graph; LinkedIn; Media; Probability; SPSS; Transformer; Twitter; Variable; Visualization
-uvHespIbQk,Introduction to DBMS (Database Management System),QuickCS,https://youtube.com/watch?v=-uvHespIbQk,2019-09-29T11:06:52Z,"DBMS:Introduction to Database Management Systems. We will look at the definition of Data, Information, Database and DBMS(Database Management System) ...",20.0,Database Management System (DBMS),Cipher; Construction; Database Management System; Database System; Software System; Video; Youtube
-vHQub0NXI4,Get started with using TensorFlow to solve for regression problems (Coding TensorFlow),TensorFlow,https://youtube.com/watch?v=-vHQub0NXI4,2019-03-01T23:46:42Z,"You often have to solve for regression problems when training your machine learning models. In this episode of Coding TensorFlow, Developer Advocate ...",19.0,Regressions,Coding; Dataset; Keras; Machine Learning; Regression; TensorFlow; Training; Youtube
-xS7QJhVbcM,Harvard i-lab | Data Visualization for Non-Programmers,Harvard Innovation Labs,https://youtube.com/watch?v=-xS7QJhVbcM,2015-04-10T17:28:24Z,"Are you an entrepreneur looking to share data with your investors, stakeholders, or consumers - but you don't know where to start? Visual presentation of ...",7.0,Visualizations,Analysis; Budget; Communication; Data Visualization; Facebook; Innovation; Presentation; Twitter; Visualization
-xy-pfbCgbQ,Statistics | Statistics Class 10 | Class 10 Maths Chapter Number 14 | Full/Exercises/Questions/CBSE,Dear Sir,https://youtube.com/watch?v=-xy-pfbCgbQ,2021-01-18T02:30:00Z,"GET DEAR SIR TEST SERIES NOW http://bit.ly/38TvqkX Hi, In this video, we are going to learn the most interesting chapter of CBSE Class 10 Statistics. We will ...",49.0,Statistics,Analysis; English; Statistics; Video
-yR7dkU4wzY,Visualizations - How to Win a Data Science Competition: Learn from Top Kagglers,Mạc Hòa Bình,https://youtube.com/watch?v=-yR7dkU4wzY,2020-11-06T20:54:42Z,Link to this course: ...,44.0,Visualizations,Algorithm; Azure Machine Learning; Boosting; Competition; Computer Vision; Cross Validation; Data Modelling; Data Science; Dataframe; Encoding; Ensemble; Exploratory Data Analysis; Feature Engineering; Feature Extraction; Forecasting; Image; Information Threat; Insurance; Marketing; Matplotlib; Natural Language Processing (NLP); Neural Network; News; Overfitting; Pandas; Predictive Model; Predictive Modelling; Python; Rally; Random Forest; Reporting; Research; Sales; Scikit-learn; Testing; Video; Visualization
01sAkU_NvOY,Advanced Computer Vision with Python - Full Course,freeCodeCamp.org,https://youtube.com/watch?v=01sAkU_NvOY,2021-05-27T13:50:46Z,Learn advanced computer vision using Python in this full course. You will learn state of the art computer vision techniques by building five projects with libraries ...,2.0,Computer Vision,Artificial Intelligence (AI); Computer Vision; Free Hand; News; OpenCV; Programming; Python; Video; Youtube
041NNWErNrQ,Lesson 1.5: Performing A/B tests,Google AdSense,https://youtube.com/watch?v=041NNWErNrQ,2014-05-20T18:08:53Z,Learn what's an A/B test and how to conduct one using AdSense experiments.,29.0,AB Testing,Performing Art
05ONoGfmKvA,Natural Language Processing (NLP) &amp; Text Mining Tutorial Using NLTK | NLP Training | Edureka,edureka!,https://youtube.com/watch?v=05ONoGfmKvA,2018-10-08T05:58:34Z,NLP Using Python: - https://www.edureka.co/python-natural-language-processing-course ** This Edureka video will provide you with a comprehensive and ...,13.0,Natural Language Processing (NLP),Algorithm; Analytical; Artificial Intelligence (AI); Business Analysis; Chatbot; Classification; Communication; Design; Email; Facebook; Golang; Gradle; Information Threat; Instagram; Investigational New Drug (IND); Lemmatization; LinkedIn; Machine Learning; Natural Language Processing (NLP); Natural Language Processing Toolkit (NLTK); Newspapers; Predictive Model; Programming Language Theory; Programming Tool; Python; Semantic Analysis; Semantics; Sentiment Analysis; Social Media; Stemming; Technical Support; Text Mining; Training; Twitter; Video; Virtual Assistant
09_LlHjoEiY,Algorithms Course - Graph Theory Tutorial from a Google Engineer,freeCodeCamp.org,https://youtube.com/watch?v=09_LlHjoEiY,2019-10-09T15:52:04Z,This full course provides a complete introduction to Graph Theory algorithms in computer science. Knowledge of how to create and design excellent algorithms ...,1.0,Graph Theory,Ad Design; Computer Science; Free Hand; Github; Graph Theory; Java; Network; News; Programming; Search Algorithm; Sorting Algorithm; Tree Algorithm; Video; Youtube
0B9TSBkRFHg,Bigdata - hadoop in tamil (2019),BigDatapedia ML & DS,https://youtube.com/watch?v=0B9TSBkRFHg,2019-08-10T13:32:41Z,Bigdata - hadoop in tamil (2019) ***~ BigDatapedia Forum ~*** *WhatsApp Link: https://chat.whatsapp.com/H9OLahJangC8OlUcgW1rus *Telegram Link: ...,44.0,Hadoop,Analytical; Apache Hadoop; Apache Hive; Apache Kafka; Apache Spark; Apache Sqoop; Cloudera; Data Science; English; HBase; Linux; Machine Learning; PySpark; Scala; Stream Processing; Streaming; Tamil; Telegram; Training
0BDKg97gGNs,Machine Learning is Easy: Let&#39;s make some fun with Supervised Machine Learning,CS Passionate,https://youtube.com/watch?v=0BDKg97gGNs,2019-11-08T06:38:34Z,"In this video, we learn supervised machine learning in a simple way with its types in brief. Supervised Machine Learning is work on input as well as output data ...",22.0,Supervised Machine Learning,Classification; Facebook; Regression; Semi-supervised Machine Learning; Supervised Learning; Supervised Machine Learning; Twitter; Unsupervised Learning; Unsupervised Machine Learning; Video
0E3RAUIx1Ms,How to play Apache by The Shadows - Guitar Lesson Tutorial,Heanor School Of Music,https://youtube.com/watch?v=0E3RAUIx1Ms,2015-07-19T12:28:54Z,"How to play Apache by The Shadows In this guitar lesson tutorial, we look at how to play the lead guitar part of the instrumental Apache as performed by Hank ...",2.0,APACHE,Apache; Facebook; Music; Play; Twitter; Youtube
0HNchgWZ2_c,What Can We Learn From Bees? | Ever Wondered | Spark,Spark,https://youtube.com/watch?v=0HNchgWZ2_c,2020-02-26T22:00:01Z,"What we can learn from the humble honey bee? Well it appears a lot more than you'd expect, bees may help us get closer to understanding genetic links to ...",29.0,SPARK,Apache Spark; Engineering; Facebook; Instagram; Links; Play; Video
0KeR6i1_56g,Week 10 – Lecture: Self-supervised learning (SSL) in computer vision (CV),Alfredo Canziani,https://youtube.com/watch?v=0KeR6i1_56g,2020-06-22T22:00:21Z,Course website: http://bit.ly/pDL-home Playlist: http://bit.ly/pDL-YouTube Speaker: Ishan Misra Week 10: http://bit.ly/pDL-en-10 0:00:00 – Week 10 – Lecture ...,30.0,Computer Vision,Clustering; Computer Vision; Image; Natural Language Processing (NLP); Presentation; Secure Socket Layer (SSL); Supervised Learning; Unsupervised Learning; Video; Youtube
0MNVhXEX9to,Reinforcement Learning: Machine Learning Meets Control Theory,Steve Brunton,https://youtube.com/watch?v=0MNVhXEX9to,2021-02-12T11:00:00Z,"Reinforcement learning is a powerful technique at the intersection of machine learning and control theory, and it is inspired by how biological systems learn to ...",9.0,Reinforcement,Algorithm; Decision Process; Machine Learning; Mathematics; Reinforcement Learning; Twitter; Video
0QaLwS1aS9Q,Data Cleansing #2 Video,Dave Henderson,https://youtube.com/watch?v=0QaLwS1aS9Q,2020-04-04T11:35:17Z,Recorded with https://screencast-o-matic.com.,42.0,Data Cleansing,Data Cleansing; Video
0X43QfCfyk0,Why NoSQL Databases,MongoDB,https://youtube.com/watch?v=0X43QfCfyk0,2020-11-30T15:17:57Z,"NoSQL databases were created in response to the limitations of traditional relational database technology. When compared to relational databases, NoSQL ...",33.0,NOSQL,Cloud Computing; Facebook; Instagram; LinkedIn; MongoDB; NoSQL; Relational Database; TikTok; Twitter
0ZA0oJo00uQ,Why is It Important to Learn JavaScript?,edutechional,https://youtube.com/watch?v=0ZA0oJo00uQ,2018-07-24T00:41:58Z,This guide walks through the key reasons why it's important to learn the JavaScript programming language. Including: 1. It's the only language to work in the ...,33.0,JavaScript,Facebook; Grails; JavaScript; Programming Language; Ruby on Rails; Twitter; Web Application
0aYx-9HrQxU,Learn Supervised Learning (Time Series Data) | Complete Machine Learning and Data Science 2021,ComputerScience Geek,https://youtube.com/watch?v=0aYx-9HrQxU,2020-11-07T08:15:31Z,Complete Machine Learning and Data Science Zero to Mastery Playlist: https://www.youtube.com/playlist?list=PLNY_2xNVFNltO6DdUfk4TmmEyCwhfySd2 ...,31.0,Supervised Machine Learning,Azure Machine Learning; Data Science; Feature Engineering; Supervised Learning; Time Series; Unsupervised Learning; Youtube
0buKQHokLK8,How do NoSQL databases work? Simply Explained!,Simply Explained,https://youtube.com/watch?v=0buKQHokLK8,2020-12-08T20:35:56Z,"NoSQL databases power some of the biggest sites. They're fast and super scalable but how do they work? Behind-the-scenes, they use a keyspace to distribute ...",2.0,NOSQL,Amazon Web Service (AWS); Apache Cassandra; Blogging; CouchDB; Database; DynamoDB; Facebook; Google Cloud Platform (GCP); Microsoft Azure; MongoDB; Newsletters; NoSQL; Twitter; Video; Youtube
0fKg7e37bQE,Github Tutorial For Beginners - Github Basics for Mac or Windows &amp; Source Control Basics,LearnCode.academy,https://youtube.com/watch?v=0fKg7e37bQE,2014-01-16T20:05:27Z,"Github Tutorial For Beginners - learn Github for Mac or Github for windows If you've been wanting to learn Github, now's the perfect time! Github is seen as a big ...",5.0,Github,Github; Responsive Design; Source Control; Video; Windows; Youtube; jQuery
0h6p996FQRk,learning to code in R in 3 hours,PaigeY,https://youtube.com/watch?v=0h6p996FQRk,2021-01-29T16:00:01Z,R is an open source programming language designed for statistical computing. Here's my efforts at learning the basics (I have an exam in R this April sooo better ...,5.0,R,Computing; Consulting; Instagram; Insurance; Links; Programming Language; R; Youtube
0jn7rydiF5k,Should I Learn SQL or NoSQL?,Techy Help,https://youtube.com/watch?v=0jn7rydiF5k,2014-03-31T23:10:59Z,"Should I learn SQL or NoSQL? Yes or no, that is the question. NoSQL stands for not only SQL, not ""no SQL"". I know that. You'll understand NoSQL better if you ...",24.0,NOSQL,Agile; Database; HBase; MongoDB; MySQL; NoSQL; Oracle; Sales; Structured Query Language (SQL)
0lbw6OBerhA,Java vs Javascript : Which Is Better? | Difference Between Java And JavaScript | Simplilearn,Simplilearn,https://youtube.com/watch?v=0lbw6OBerhA,2020-10-22T06:30:01Z,This video is based on Java vs Javascript programming languages and which is better amongst both. The video discusses some major differences between ...,46.0,Java,Android; Array; Cascading Style Sheet (CSS); Coding; Computing Platform; Engineering; Facebook; HyperText Markup Language (HTML); Information Technology (IT); JUnit; Java; JavaScript; Lean Software Development; LinkedIn; Microsoft Access; Mobile Application Development; Object Oriented CSS; Programming Language; Spring Framework; Training; Twitter; Video; Web Application Development; Web Design; iOS
0lpQludiI-0,R and OpenNLP for Natural Language Processing NLP - Part 2,Melvin L,https://youtube.com/watch?v=0lpQludiI-0,2016-04-30T15:08:43Z,Part 2 of the OpenNLP and R series focusing on Entity Extraction and Named Entity Recognition. Overview and demo of using Apache OpenNLP library in R to ...,40.0,Natural Language Processing (NLP),Apache; Coding; Natural Language Processing (NLP); Part-of-speech (POS) Tagging; Point of Sale (POS) Software; R
0n3_2Ry4EQU,Python Tutorial : Unsupervised Learning in Python,DataCamp,https://youtube.com/watch?v=0n3_2Ry4EQU,2020-04-19T04:07:41Z,"Want to learn more? Take the full course at https://learn.datacamp.com/courses/unsupervised-learning-in-python at your own pace. More than a video, you'll ...",33.0,Unsupervised Machine Learning,Array; Coding; Correlation; Dataset; Machine Learning; NumPy; Python; Scatter Plot; Scikit-learn; Searching; Supervised Learning; Unsupervised Learning; Video; k-means Clustering
0oc49DyA3hU,"Hypothesis Testing and The Null Hypothesis, Clearly Explained!!!",StatQuest with Josh Starmer,https://youtube.com/watch?v=0oc49DyA3hU,2020-07-06T04:00:01Z,One of the most basic concepts in statistics is hypothesis testing and something called The Null Hypothesis. This video breaks these concepts down into easy to ...,31.0,AB Testing,Artificial Intelligence (AI); Coding; Documentation; Editor; Golang; Hypothesis Testing; Interpreter; Research; Statistics; Twitter; Video; Youtube
0pLMxUxYRAE,7. Talend Data Preparation – Self-service Data Profiling,Talend,https://youtube.com/watch?v=0pLMxUxYRAE,2020-10-01T21:02:43Z,"In Talend Data Preparation, we have enhanced data profiling capabilities! giving you an extra boost of efficiency when cleansing and managing your data.",40.0,Data Preparation,Data Preparation; Profiling
0qoY8En53FY,Learn MATLAB Episode #4: Functions &amp; Constants,Joseph Delgadillo,https://youtube.com/watch?v=0qoY8En53FY,2016-12-02T20:35:33Z,Get The Complete MATLAB Course Bundle for 1 on 1 help! https://josephdelgadillo.com/product/matlab-course-bundle/ Enroll in the FREE course!,39.0,Matlab,MATLAB
0tdlR1rBwkM,Excel Tutorial for Beginners | Excel Made Easy,Leila Gharani,https://youtube.com/watch?v=0tdlR1rBwkM,2021-02-04T10:00:02Z,"Learn the basics of using Microsoft Excel. How a spreadsheet is setup, and how you can enter data in Excel. Learn useful Excel shortcuts. Understand how the ...",8.0,Excel,.NET Framework; Anatomy; Audio; C; Formatting; Instagram; LinkedIn; Links; Microsoft Excel; Twitter; Video; Youtube; Zoom
0uHqkQuqY1Y,Top 3 Creative Computer Vision Projects built by the CV Community,Murtaza's Workshop - Robotics and AI,https://youtube.com/watch?v=0uHqkQuqY1Y,2021-07-05T14:21:14Z,In this video we will look at the 3 Top Computer vision Projects build by the CV zone community. Share your projects in our new Facebook Group: ...,48.0,Computer Vision,Budget; Computer Vision; Facebook; Github; Instagram; Links; OpenCV; Programming; Video
0v-wQGMgXxQ,5 Productivity Tips for Efficient Data Cleansing,Lee Baker,https://youtube.com/watch?v=0v-wQGMgXxQ,2019-05-30T14:28:00Z,"In this video I'm going to give you my top 5 productivity tips for efficient data cleansing in Excel. In fact, you can get these tips – and loads more – in my FREE ...",47.0,Data Cleansing,Analysis; Apache Hive; Blogging; Data Cleansing; Data Manipulation; Facebook; LinkedIn; Machine Learning; Microsoft Excel; Reporting; Statistics; Twitter; Version Control; Video; Youtube
0vkXauA1T5M,Getting Started: Signup Forms A B Testing,Klaviyo Success,https://youtube.com/watch?v=0vkXauA1T5M,2020-10-23T15:26:46Z,"Signup form AB testing is an often overlooked feature that is incredibly powerful. Your tests don't have to be complicated, try changing the color of a button, ...",37.0,AB Testing,A/B Testing; Facebook; Instagram; QA Testing; Twitter; Video
0xVqLJe9_CY,The Best Way to Prepare a Dataset Easily,Siraj Raval,https://youtube.com/watch?v=0xVqLJe9_CY,2016-12-16T21:41:07Z,"In this video, I go over the 3 steps you need to prepare a dataset to be fed into a machine learning model. (selecting the data, processing it, and transforming it).",16.0,Data Preparation,Azure Machine Learning; Dataset; Golang; Model Selection; Processing; Video
0yCJMt9Mx9c,How does artificial intelligence learn? - Briana Brownell,TED-Ed,https://youtube.com/watch?v=0yCJMt9Mx9c,2021-03-11T16:01:36Z,"Explore the three major methods of machine learning, which allows computers to write their own rules to problem solve and process data. -- Today, artificial ...",20.0,Artificial Intelligence (AI),Array; Artificial Intelligence (AI); Deep Learning; Facebook; Instagram; Machine Learning; Music; Newsletters; Rapid-Application Development (RAD); Twitter; Video
10kPDVZ1Z6U,Let&#39;s Learn Algorithms - Graph Theory - Trees are also graphs,Jon Calhoun,https://youtube.com/watch?v=10kPDVZ1Z6U,2017-04-17T18:48:56Z,"Learn how trees are a special type of graph that we will be using in our early algorithm studies to help simplify things. For example, the lack of cycles due to the ...",31.0,Graph Theory,Algorithm; Coding; Email; Graph Theory; Tree; Video; Writing
11c9cs6WpJU,Correlation Coefficient,The Organic Chemistry Tutor,https://youtube.com/watch?v=11c9cs6WpJU,2020-06-25T12:00:00Z,This video explains how to find the correlation coefficient which describes the strength of the linear relationship between two variables x and y. My Website: ...,34.0,Regressions,.NET Framework; Correlation; Variable; Video
13YZPndRJdE,Learning Visual Importance for Graphic Designs and Data Visualizations,Zoya Bylinskii,https://youtube.com/watch?v=13YZPndRJdE,2017-08-01T18:19:22Z,"Zoya Bylinskii, Nam Wook Kim, Peter O'Donovan, Sami Alsheikh, Spandan Madan, Hanspeter Pfister, Fredo Durand, Bryan Russell, Aaron Hertzmann [UIST'17]",20.0,Visualizations,Data Visualization; Graphic Design; Visualization
15Qj8UhiCN8,"Learn MATLAB Episode #6: For Loops, While Loops, If/Else Statements",Joseph Delgadillo,https://youtube.com/watch?v=15Qj8UhiCN8,2016-12-08T21:25:24Z,Get The Complete MATLAB Course Bundle for 1 on 1 help! https://josephdelgadillo.com/product/matlab-course-bundle/ Enroll in the FREE course!,26.0,Matlab,MATLAB
16Ov74J7ucE,Hadoop Administration Training | Hadoop Admin Tutorial for Beginners | Learn Hadoop Admin,ZaranTech,https://youtube.com/watch?v=16Ov74J7ucE,2015-07-07T08:47:59Z,Big Data Hadoop Admin Training & Certification provided Online from USA industry expert trainers with real time project experience. This video is a Video ...,38.0,Hadoop,Administration; Apache Hadoop; Big Data; Email; Facebook; Instagram; LinkedIn; Presentation; Training; Video; Youtube
1BMO7YkwR6Y,"Types Of Cloud Computing - Public, Private &amp; Hybrid | Cloud Computing Services | Simplilearn",Simplilearn,https://youtube.com/watch?v=1BMO7YkwR6Y,2020-12-30T13:30:00Z,"This Cloud Computing tutorial will help you understand why Cloud Computing has become so popular, what is Cloud Computing and the types of Cloud ...",35.0,Cloud Technologies,Amazon Web Service (AWS); Android; Collaboration; Design; Facebook; Google Cloud Platform (GCP); IBM Cloud Computing; Infrastructure as a Service (IaaS); Internet; LinkedIn; Market; Microsoft Azure; Network; Platform as a Service (PaaS); Security; Software as a Service (SaaS); Training; Twitter; Video; iOS
1BoEfX6fHKc,C++ Full Course | C++ Full Tutorial | C++ Tutorial For Beginners | C++ Course | Simplilearn,Simplilearn,https://youtube.com/watch?v=1BoEfX6fHKc,2021-07-25T16:38:06Z,"In this C++ full course tutorial for beginners video, you will learn about the essential C++ topics and concepts that will help you understand C++ in a better way.",20.0,C++,C++; Video
