name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
BANGKOK LAND PUBLIC COMPANY,0.677 Billion USD,9705,0.677 Billion USD,9705,Thailand,,http://www.bangkokland.co.th/,Real Estate,,,,Thailand,,
MEGA LIFESCIENCES PUBLIC COMPANY,1.039 Billion USD,7788,1.039 Billion USD,7788,Thailand,,https://www.megawecare.com/,Healthcare; Pharmaceutical,,,,Thailand,,
VIBHAVADI MEDICAL CENTER PUBLIC COMPANY,0.665 Billion USD,9794,0.665 Billion USD,9794,Thailand,,,Healthcare,,,,Thailand,,
THONBURI HEALTHCARE GROUP PUBLIC COMPANY,0.724 Billion USD,9382,0.724 Billion USD,9382,Thailand,,https://www.thg.co.th/en,Healthcare,,,,Thailand,,
MAJOR CINEPLEX GROUP PUBLIC COMPANY,0.546 Billion USD,10755,0.546 Billion USD,10755,Thailand,,http://www.majorcineplex.com/,Communication Services; Entertainment,,,,Thailand,,
SINO-THAI ENGINEERING AND CONSTRUCTION PUBLIC COMPANY,0.633 Billion USD,10012,0.633 Billion USD,10012,Thailand,,http://www.stecon.co.th/,Industries; Engineering Products; Engineering Services,,,,Thailand,,
THAI VEGETABLE OIL PUBLIC COMPANY,0.910 Billion USD,8340,0.910 Billion USD,8340,Thailand,,https://www.tvothai.com/en/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
SAMUI AIRPORT PROPERTY FUND,0.405 Billion USD,12196,0.405 Billion USD,12196,Thailand,,,Real Estate,,,,Thailand,,
RATCHTHANI LEASING PUBLIC COMPANY,0.785 Billion USD,9002,0.785 Billion USD,9002,Thailand,,https://www.ratchthani.com/,Financial Services,,,,Thailand,,
AMATA CORPORATION PUBLIC COMPANY,0.625 Billion USD,10091,0.625 Billion USD,10091,Thailand,,https://www.amata.com/,Real Estate,,,,Thailand,,
WHA UTILITIES AND POWER PUBLIC COMPANY,0.536 Billion USD,10819,0.536 Billion USD,10819,Thailand,,https://www.wha-up.com/en/,Utilities; Water Utilities,,,,Thailand,,
TQM CORPORATION PUBLIC COMPANY,1.345 Billion USD,6774,1.345 Billion USD,6774,Thailand,,https://www.tqm.co.th/,Financial Services; Insurance,,,,Thailand,,
BANGKOK AVIATION FUEL SERVICES PUBLIC COMPANY,0.506 Billion USD,11097,0.506 Billion USD,11097,Thailand,,https://www.bafsthai.com/,Industries,,,,Thailand,,
GOLDEN LAND PROPERTY DEVELOPMENT PUBLIC COMPANY,,,,,Thailand,,,Real Estate,,,,Frankfurt,,
JMT NETWORK SERVICES PUBLIC COMPANY,1.171 Billion USD,7318,1.171 Billion USD,7318,Thailand,,,Financial Services,,,,Thailand,,
OISHI GROUP PUBLIC COMPANY,0.494 Billion USD,11210,0.494 Billion USD,11210,Thailand,,https://www.oishigroup.com/,Consumer Cyclical; Restaurants,,,,,,
CIMB THAI BANK PUBLIC COMPANY,0.696 Billion USD,9560,0.696 Billion USD,9560,Thailand,,https://www.cimb.com/en/,Financial Services; Banking Services,,,,Thailand,,
SPCG PUBLIC COMPANY,0.653 Billion USD,9879,0.653 Billion USD,9879,Thailand,,https://www.spcg.co.th/en,Utilities; Electric Utilities,,,,Thailand,,
EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PUBLIC COMPANY,0.516 Billion USD,10996,0.516 Billion USD,10996,Thailand,,https://www.eastwater.com/en/,Utilities; Water Utilities,,,,Thailand,,
SIAMGAS AND PETROCHEMICALS PUBLIC COMPANY,0.613 Billion USD,10197,0.613 Billion USD,10197,Thailand,,,Energy; Petrochemicals; Oil and Gas,,,,Thailand,,
SAHA PATHANAPIBUL PUBLIC COMPANY,0.706 Billion USD,9493,0.706 Billion USD,9493,Thailand,,https://www.sahapat.co.th/en/,Consumer Defensive; Food Chains / Distributor,,,,Thailand,,
DOHOME PUBLIC COMPANY,,,,,Thailand,,,Consumer Cyclical,,,,Thailand,,
PRIMA MARINE PUBLIC COMPANY,0.663 Billion USD,9816,0.663 Billion USD,9816,Thailand,,https://www.primamarine.co.th/en,Energy; Oil and Gas,,,,Thailand,,
SINGHA ESTATE PUBLIC COMPANY,0.366 Billion USD,12753,0.366 Billion USD,12753,Thailand,,https://www.singhaestate.co.th/en,Real Estate,,,,Thailand,,
EASTERN POLYMER GROUP PUBLIC COMPANY,0.663 Billion USD,9814,0.663 Billion USD,9814,Thailand,,http://www.epg.co.th/,Basic Materials; Chemicals,,,,Thailand,,
SRISAWAD FINANCE PUBLIC COMPANY,0.542 Billion USD,10780,0.542 Billion USD,10780,Thailand,,http://www.bfit.co.th/,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
ORIGIN PROPERTY PUBLIC COMPANY,0.617 Billion USD,10156,0.617 Billion USD,10156,Thailand,,https://en.origin.co.th/,Real Estate,,,,Thailand,,
PRINCIPAL CAPITAL PUBLIC COMPANY,0.462 Billion USD,11542,0.462 Billion USD,11542,Thailand,,https://www.principalcapital.co.th/,Real Estate,,,,Thailand,,
GRAND CANAL LAND PUBLIC COMPANY,0.472 Billion USD,11433,0.472 Billion USD,11433,Thailand,,http://www.grandcanalland.com/,Real Estate,,,,Thailand,,
SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY,1.357 Billion USD,6744,1.357 Billion USD,6744,Thailand,,https://www.sritranggroup.com/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY,0.371 Billion USD,12681,0.371 Billion USD,12681,Thailand,,https://www.ktisgroup.com/,Consumer Defensive; Sugar; Chocolate & Confectionery,,,,Thailand,,
SANSIRI PUBLIC COMPANY,0.401 Billion USD,12251,0.401 Billion USD,12251,Thailand,,https://www.sansiri.com/en/,Real Estate,,,,Thailand,,
GFPT PUBLIC COMPANY,0.593 Billion USD,10355,0.593 Billion USD,10355,Thailand,,https://www.gfpt.co.th/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY,0.438 Billion USD,11800,0.438 Billion USD,11800,Thailand,,http://www.ayud.co.th/,Financial Services; Insurance,,,,Thailand,,
THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY,0.227 Billion USD,14977,0.227 Billion USD,14977,Thailand,,,Industries; Airlines; Aviation,,,,Thailand,,
SUPER ENERGY CORPORATION PUBLIC COMPANY,0.875 Billion USD,8509,0.875 Billion USD,8509,Thailand,,http://www.supercorp.co.th/,Utilities; Electric Utilities,,,,Thailand,,
DHIPAYA INSURANCE PUBLIC COMPANY,0.535 Billion USD,10831,0.535 Billion USD,10831,Thailand,,https://www.dhipaya.co.th/,Financial Services; Insurance,,,,Thailand,,
ERAWAN GROUP PUBLIC COMPANY,0.302 Billion USD,13659,0.302 Billion USD,13659,Thailand,,https://www.theerawan.com/en/,Consumer Cyclical,,,,Thailand,,
TAOKAENOI FOOD & MARKETING PUBLIC COMPANY,0.478 Billion USD,11369,0.478 Billion USD,11369,Thailand,,https://www.taokaenoi.co.th/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
BANGKOK AIRWAYS PUBLIC COMPANY,0.430 Billion USD,11900,0.430 Billion USD,11900,Thailand,,http://www.bangkokair.com/,Aviation; Airlines,,,,Thailand,,
THAI STANLEY ELECTRIC PUBLIC COMPANY,0.429 Billion USD,11900,0.429 Billion USD,11900,Thailand,,http://www.thaistanley.com/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
GLOBAL GREEN CHEMICALS PUBLIC COMPANY,0.321 Billion USD,13363,0.321 Billion USD,13363,Thailand,,http://www.ggcplc.com/,Basic Materials; Chemicals,,,,Thailand,,
DYNASTY CERAMIC PUBLIC COMPANY,0.601 Billion USD,10293,0.601 Billion USD,10293,Thailand,,https://www.dynastyceramic.com/,Industries,,,,Thailand,,
GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.350 Billion USD,12954,0.350 Billion USD,12954,Thailand,,,Real Estate,,,,Thailand,,
POLYPLEX (THAILAND) PUBLIC COMPANY,0.678 Billion USD,9700,0.678 Billion USD,9700,Thailand,,https://www.polyplexthailand.com/,Basic Materials; Chemicals,,,,Thailand,,
SAHA-UNION PUBLIC COMPANY,0.333 Billion USD,13185,0.333 Billion USD,13185,Thailand,,http://www.sahaunion.co.th/,Industries,,,,Thailand,,
UNIVENTURES PUBLIC COMPANY,0.185 Billion USD,15822,0.185 Billion USD,15822,Thailand,,http://www.univentures.co.th/,Real Estate,,,,,,
THAI CENTRAL CHEMICAL PUBLIC COMPANY,0.528 Billion USD,10894,0.528 Billion USD,10894,Thailand,,https://www.tcccthai.com/en,Basic Materials; Chemicals,,,,Thailand,,
BEC WORLD PUBLIC COMPANY,0.537 Billion USD,10817,0.537 Billion USD,10817,Thailand,,https://www.becworld.com/en/,Communication Services; Broadcasting,,,,Thailand,Thailand ADRs,
COL PUBLIC COMPANY,0.401 Billion USD,12262,0.401 Billion USD,12262,Thailand,,https://www.col.co.th/,Industries,,,,Thailand,,
RS PUBLIC COMPANY,0.552 Billion USD,10711,0.552 Billion USD,10711,Thailand,,https://www.rs.co.th/,Communication Services; Entertainment,,,,Thailand,,
BIRLA CARBON (THAILAND) PUBLIC COMPANY,0.420 Billion USD,12022,0.420 Billion USD,12022,Thailand,,https://www.birlacarbon.com/,Basic Materials; Chemicals,,,,Thailand,,"Birla Carbon Thailand Public Co. Ltd. (BCT) is a leading manufacturer of Carbon Black in Thailand with a capacity of 275,000 tonnes per annum. It also has the capability of producing customized Carbon Black grades as per requirement. Headquarters is in Thailand.
BCT has the unique distinction of supplying Carbon Black to all the six continents from a single location. It meets over 50% of Japan’s total Carbon Black imports and also supplies to other global markets including Indonesia, Philippines, Malaysia, China, Korea, Taiwan and Australia."
SIAM FUTURE DEVELOPMENT PUBLIC COMPANY,0.884 Billion USD,8452,0.884 Billion USD,8452,Thailand,,https://www.siamfuture.com/en/,Real Estate,,,,Thailand,,
S HOTELS AND RESORTS PUBLIC COMPANY,0.295 Billion USD,13766,0.295 Billion USD,13766,Thailand,,https://www.shotelsresorts.com/,Consumer Cyclical,,,,Thailand,,
PRECIOUS SHIPPING PUBLIC COMPANY,0.391 Billion USD,12395,0.391 Billion USD,12395,Thailand,,https://www.preciousshipping.com/en/,Industries; Shipping,,,,Thailand,,
PLATINUM GROUP PUBLIC COMPANY,0.233 Billion USD,14837,0.233 Billion USD,14837,Thailand,,http://theplatinumgroup.co.th/,Real Estate,,,,Thailand,,
I.C.C. INTERNATIONAL PUBLIC COMPANY,0.269 Billion USD,14192,0.269 Billion USD,14192,Thailand,,http://www.icc.co.th/,Consumer Cyclical; Retail,,,,Thailand,,
STP&I PUBLIC COMPANY,0.074 Billion USD,19345,0.074 Billion USD,19345,Thailand,,,Industries; Metal Fabrication Products,,,,Thailand,,
L.P.N. DEVELOPMENT PUBLIC COMPANY,0.223 Billion USD,15043,0.223 Billion USD,15043,Thailand,,https://www.lpn.co.th/en/,Real Estate,,,,,,
ASIA AVIATION PUBLIC COMPANY,0.382 Billion USD,12528,0.382 Billion USD,12528,Thailand,,https://www.aavplc.com/en/,Industries; Airlines; Aviation,,,,Thailand,,
QUALITY HOUSES PROPERTY FUND,0.260 Billion USD,14324,0.260 Billion USD,14324,Thailand,,,Real Estate,,,,Thailand,,
LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.179 Billion USD,15967,0.179 Billion USD,15967,Thailand,,,Real Estate,,,,Thailand,,
ROJANA INDUSTRIAL PARK PUBLIC COMPANY,0.207 Billion USD,15346,0.207 Billion USD,15346,Thailand,,http://www.rojana.com/,Utilities,,,,Thailand,,
SIKARIN PUBLIC COMPANY,0.426 Billion USD,11946,0.426 Billion USD,11946,Thailand,,https://www.sikarin.com/en/,Healthcare,,,,Thailand,,
U CITY PUBLIC COMPANY,0.259 Billion USD,14343,0.259 Billion USD,14343,Thailand,,https://www.ucity.co.th/en,Real Estate,,,,Thailand,,
KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY,0.061 Billion USD,20017,0.061 Billion USD,20017,Thailand,,,Consumer Defensive; Sugar; Chocolate & Confectionery,,,,Thailand,,
SC ASSET CORPORATION PUBLIC COMPANY,0.383 Billion USD,12509,0.383 Billion USD,12509,Thailand,,https://www.scasset.com/en/,Real Estate,,,,,,
BG CONTAINER GLASS PUBLIC COMPANY,0.233 Billion USD,14846,0.233 Billion USD,14846,Thailand,,http://www.bgc.co.th/,Consumer Cyclical; Packaging,,,,Thailand,,
P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY,0.229 Billion USD,14931,0.229 Billion USD,14931,Thailand,,http://www.pcsgh.com/en/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
ASIA SERMKIJ LEASING PUBLIC COMPANY,0.260 Billion USD,14317,0.260 Billion USD,14317,Thailand,,http://www.ask.co.th/,Financial Services,,,,Thailand,,
SCG CERAMICS PUBLIC COMPANY,0.330 Billion USD,13226,0.330 Billion USD,13226,Thailand,,https://scgceramics.com/,Industries,,,,Thailand,,
SISB PUBLIC COMPANY,0.279 Billion USD,14029,0.279 Billion USD,14029,Thailand,,https://www.sisb.ac.th/,Consumer Defensive,,,,Thailand,,
KGI SECURITIES (THAILAND) PUBLIC COMPANY,0.252 Billion USD,14480,0.252 Billion USD,14480,Thailand,,https://www.kgieworld.co.th/,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
ANANDA DEVELOPMENT PUBLIC COMPANY,0.211 Billion USD,15263,0.211 Billion USD,15263,Thailand,,https://www.ananda.co.th/,Real Estate,,,,Thailand,,
LH SHOPPING CENTERS LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.185 Billion USD,15835,0.185 Billion USD,15835,Thailand,,,Real Estate,,,,Thailand,,
SHANGRI-LA HOTEL PUBLIC COMPANY,0.238 Billion USD,14753,0.238 Billion USD,14753,Thailand,,https://www.shangri-la.com/,Consumer Cyclical,,,,Thailand,,
SIAM WELLNESS GROUP PUBLIC COMPANY,0.199 Billion USD,15520,0.199 Billion USD,15520,Thailand,,http://www.siamwellnessgroup.com/,Consumer Cyclical,,,,Thailand,,
THAILAND PRIME PROPERTY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.230 Billion USD,14921,0.230 Billion USD,14921,Thailand,,,Real Estate,,,,Thailand,,
R&B FOOD SUPPLY PUBLIC COMPANY,0.620 Billion USD,10127,0.620 Billion USD,10127,Thailand,,https://www.rbfoodsupply.co.th/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
GMM GRAMMY PUBLIC COMPANY,0.249 Billion USD,14532,0.249 Billion USD,14532,Thailand,,http://www.gmmgrammy.com/,Communication Services; Entertainment,,,,Thailand,,
BHIRAJ OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.273 Billion USD,14122,0.273 Billion USD,14122,Thailand,,,Real Estate,,,,Thailand,,
AFTER YOU PUBLIC COMPANY,0.285 Billion USD,13926,0.285 Billion USD,13926,Thailand,,https://www.afteryoudessertcafe.com/,Consumer Cyclical; Restaurants,,,,Thailand,,
SERMSUK PUBLIC COMPANY,0.304 Billion USD,13624,0.304 Billion USD,13624,Thailand,,http://www.sermsukplc.com/en,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,
SABINA PUBLIC COMPANY,0.235 Billion USD,14801,0.235 Billion USD,14801,Thailand,,http://www.sabina.co.th/,Consumer Cyclical; Apparels and Accessories,,,,Thailand,,
CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY,0.235 Billion USD,14810,0.235 Billion USD,14810,Thailand,,http://www.lanna-hospital.com/,Healthcare,,,,Thailand,,
THORESEN THAI AGENCIES PUBLIC COMPANY,0.336 Billion USD,13146,0.336 Billion USD,13146,Thailand,,http://www.thoresen.com/,Industries,,,,Thailand,,
DUSIT THANI PUBLIC COMPANY,0.218 Billion USD,15141,0.218 Billion USD,15141,Thailand,,https://www.dusit.com/,Consumer Cyclical,,,,Thailand,,
THAITHEPAROS PUBLIC COMPANY,0.303 Billion USD,13649,0.303 Billion USD,13649,Thailand,,https://thaitheparos.com/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
JWD INFOLOGISTICS PUBLIC COMPANY,0.284 Billion USD,13953,0.284 Billion USD,13953,Thailand,,https://jwd-group.com/en/,Industries; Logistics,,,,Thailand,,
UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY,0.166 Billion USD,16261,0.166 Billion USD,16261,Thailand,,http://www.unique.co.th/,Industries; Engineering Products; Engineering Services,,,,Thailand,,
ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY,0.079 Billion USD,19096,0.079 Billion USD,19096,Thailand,,,Industries; Construction,,,,Thailand,,
NONTHAVEJ HOSPITAL PUBLIC COMPANY,0.225 Billion USD,15006,0.225 Billion USD,15006,Thailand,,https://www.nonthavej.co.th/,Healthcare,,,,Thailand,,
JAY MART PUBLIC COMPANY,0.614 Billion USD,10182,0.614 Billion USD,10182,Thailand,,https://www.jaymart.co.th/,Consumer Cyclical; Retail,,,,Thailand,,
DO DAY DREAM PUBLIC COMPANY,0.192 Billion USD,15663,0.192 Billion USD,15663,Thailand,,https://www.dodaydream.com/,Consumer Defensive; Personal Care Products; FMCG,,,,Thailand,,
RAJTHANEE HOSPITAL PUBLIC COMPANY,0.240 Billion USD,14706,0.240 Billion USD,14706,Thailand,,http://www.rajthanee.com/,Healthcare,,,,Thailand,,
SVI PUBLIC COMPANY,0.494 Billion USD,11213,0.494 Billion USD,11213,Thailand,,https://www.svi-hq.com/,Technology; Electronics; Capital Goods,,,,Thailand,,
SKY ICT PUBLIC COMPANY,0.247 Billion USD,14576,0.247 Billion USD,14576,Thailand,,https://www.skyict.co.th/en,Technology; Software and IT,,,,Thailand,,
COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY,0.168 Billion USD,16190,0.168 Billion USD,16190,Thailand,,https://www.cgd.co.th/en,Real Estate,,,,Thailand,,
S&P SYNDICATE PUBLIC COMPANY,0.209 Billion USD,15307,0.209 Billion USD,15307,Thailand,,http://www.snpfood.com/,Consumer Cyclical; Restaurants,,,,Thailand,,
AIRA CAPITAL PUBLIC COMPANY,0.217 Billion USD,15148,0.217 Billion USD,15148,Thailand,,https://www.airacapital.co.th/,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
NOBLE DEVELOPMENT PUBLIC COMPANY,0.375 Billion USD,12633,0.375 Billion USD,12633,Thailand,,http://www.noblehome.com/,Real Estate,,,,Thailand,,
PATUM RICE MILL AND GRANARY PUBLIC COMPANY,0.216 Billion USD,15172,0.216 Billion USD,15172,Thailand,,http://www.patumrice.co.th/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
INDEX LIVING MALL PUBLIC COMPANY,0.214 Billion USD,15201,0.214 Billion USD,15201,Thailand,,http://www.indexlivingmall.com/,Consumer Cyclical,,,,Thailand,,
PROPERTY PERFECT PUBLIC COMPANY,0.117 Billion USD,17606,0.117 Billion USD,17606,Thailand,,http://www.pf.co.th/,Real Estate,,,,Thailand,,
SAMART CORPORATION PUBLIC COMPANY,0.183 Billion USD,15869,0.183 Billion USD,15869,Thailand,,https://www.samartcorp.com/,Communication Services,,,,Thailand,,
MCOT PUBLIC COMPANY,0.099 Billion USD,18212,0.099 Billion USD,18212,Thailand,,http://www.mcot.net/,Communication Services; Broadcasting,,,,Thailand,,
LAGUNA RESORTS & HOTELS PUBLIC COMPANY,0.149 Billion USD,16637,0.149 Billion USD,16637,Thailand,,http://www.lagunaresorts.com/,Consumer Cyclical,,,,Thailand,,
SERMSANG POWER CORPORATION PUBLIC COMPANY,0.357 Billion USD,12857,0.357 Billion USD,12857,Thailand,,https://www.sermsang.com/,Utilities; Electric Utilities,,,,Thailand,,
SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY,0.232 Billion USD,14866,0.232 Billion USD,14866,Thailand,,http://www.satpcl.co.th/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
ALUCON PUBLIC COMPANY,0.245 Billion USD,14608,0.245 Billion USD,14608,Thailand,,http://www.alucon.th.com/,Basic Materials; Aluminum,,,,Thailand,,
ICHITAN GROUP PUBLIC COMPANY,0.388 Billion USD,12441,0.388 Billion USD,12441,Thailand,,http://www.ichitangroup.com/,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,
NETBAY PUBLIC COMPANY,0.182 Billion USD,15906,0.182 Billion USD,15906,Thailand,,http://www.netbaythailand.com/,Technology; Software and IT,,,,Thailand,,
GLAND OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,,,,,Thailand,,,Real Estate,,,,Thailand,,
MC GROUP PUBLIC COMPANY,0.256 Billion USD,14405,0.256 Billion USD,14405,Thailand,,https://www.mcgroupnet.com/,Consumer Cyclical; Apparels and Accessories,,,,Thailand,,
GROUP LEASE PUBLIC COMPANY,,,,,Thailand,,,Financial Services,,,,Thailand,,
NOK AIRLINES PUBLIC COMPANY,0.143 Billion USD,16816,0.143 Billion USD,16816,Thailand,,https://www.nokair.com/,Industries; Airlines; Aviation,,,,Thailand,,
PRARAM 9 HOSPITAL PUBLIC COMPANY,0.236 Billion USD,14779,0.236 Billion USD,14779,Thailand,,http://www.praram9.com/,Healthcare,,,,Thailand,,
WORKPOINT ENTERTAINMENT PUBLIC COMPANY,0.231 Billion USD,14899,0.231 Billion USD,14899,Thailand,,https://www.workpoint.co.th/,Communication Services; Broadcasting,,,,Thailand,,
UNITED PAPER PUBLIC COMPANY,0.281 Billion USD,13981,0.281 Billion USD,13981,Thailand,,https://www.unitedpaper.co.th/,Basic Materials; Paper and Pulp,,,,Thailand,,
HEMARAJ LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.214 Billion USD,15221,0.214 Billion USD,15221,Thailand,,,Real Estate,,,,Thailand,,
SYNNEX (THAILAND) PUBLIC COMPANY,0.424 Billion USD,11976,0.424 Billion USD,11976,Thailand,,https://www.synnex.co.th/,Technology,,,,Thailand,,
THAI SOLAR ENERGY PUBLIC COMPANY,0.174 Billion USD,16057,0.174 Billion USD,16057,Thailand,,http://www.thaisolarenergy.com/,Utilities; Electric Utilities,,,,Thailand,,
THAI RAYON PUBLIC COMPANY,0.205 Billion USD,15402,0.205 Billion USD,15402,Thailand,,https://www.thairayon.com/,Consumer Cyclical; Textile,,,,Thailand,,
MASTER AD PUBLIC COMPANY,0.052 Billion USD,20534,0.052 Billion USD,20534,Thailand,,,Communication Services; Advertising,,,,Thailand,,
BEAUTY COMMUNITY PUBLIC COMPANY,0.158 Billion USD,16423,0.158 Billion USD,16423,Thailand,,http://www.beautycommunity.co.th/,Consumer Defensive; Retail,,,,Thailand,,Retail sector company related to cosmetics. Headquarters is in Thailand.
AREEYA PROPERTY PUBLIC COMPANY,0.163 Billion USD,16313,0.163 Billion USD,16313,Thailand,,http://www.areeya.co.th/,Real Estate,,,,Thailand,,
OHTL PUBLIC COMPANY,,,,,Thailand,,,Consumer Cyclical,,,,Thailand,,
SYN MUN KONG INSURANCE PUBLIC COMPANY,0.257 Billion USD,14386,0.257 Billion USD,14386,Thailand,,http://www.smk.co.th/,Financial Services; Insurance,,,,Thailand,,
DIAMOND BUILDING PRODUCTS PUBLIC COMPANY,0.165 Billion USD,16269,0.165 Billion USD,16269,Thailand,,http://www.dbp.co.th/,Industries,,,,Thailand,,
THAI NAKARIN HOSPITAL PUBLIC COMPANY,0.195 Billion USD,15607,0.195 Billion USD,15607,Thailand,,http://www.thainakarin.co.th/,Healthcare,,,,Thailand,,
SAPPE PUBLIC COMPANY,0.196 Billion USD,15582,0.196 Billion USD,15582,Thailand,,http://www.sappe.com/,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,
S PRIME GROWTH LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.131 Billion USD,17161,0.131 Billion USD,17161,Thailand,,,Real Estate,,,,Thailand,,
AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,0.185 Billion USD,15808,0.185 Billion USD,15808,Thailand,,,Real Estate,,,,Thailand,,
THAI WACOAL PUBLIC COMPANY,0.181 Billion USD,15917,0.181 Billion USD,15917,Thailand,,http://www.wacoal.co.th/,Consumer Cyclical; Apparels and Accessories,,,,Thailand,,
HUMANICA PUBLIC COMPANY,0.203 Billion USD,15440,0.203 Billion USD,15440,Thailand,,https://www.humanica.com/,Technology; Software and IT,,,,Thailand,,
FORTH CORPORATION PUBLIC COMPANY,0.190 Billion USD,15712,0.190 Billion USD,15712,Thailand,,https://www.forth.co.th/,Technology; Electronics; Capital Goods,,,,Thailand,,
CAPITAL NOMURA SECURITIES PUBLIC COMPANY,,,,,Thailand,,,Financial Services,,,,Thailand,,
TPC POWER HOLDING PUBLIC COMPANY,0.162 Billion USD,16331,0.162 Billion USD,16331,Thailand,,https://www.tpcpower.co.th/,Utilities; Electric Utilities,,,,Thailand,,
MUANG THAI INSURANCE PUBLIC COMPANY,0.171 Billion USD,16116,0.171 Billion USD,16116,Thailand,,https://www.muangthai.co.th/en,Financial Services; Insurance,,,,Thailand,,
THITIKORN PUBLIC COMPANY,0.131 Billion USD,17160,0.131 Billion USD,17160,Thailand,,http://www.tk.co.th/,Financial Services,,,,Thailand,,
KANG YONG ELECTRIC PUBLIC COMPANY,0.237 Billion USD,14774,0.237 Billion USD,14774,Thailand,,http://www.mitsubishi-kye.com/,Technology; Electronics,,,,Thailand,,
SAMART TELCOMS PUBLIC COMPANY,0.103 Billion USD,18051,0.103 Billion USD,18051,Thailand,,http://www.samtel.com/,Communication Services,,,,Thailand,,
UNIVANICH PALM OIL PUBLIC COMPANY,0.186 Billion USD,15790,0.186 Billion USD,15790,Thailand,,https://www.univanich.com/,Consumer Defensive; Cooking Oil; Food Products,,,,Thailand,Thailand ADRs,
FORTH SMART SERVICE PUBLIC COMPANY,0.175 Billion USD,16029,0.175 Billion USD,16029,Thailand,,http://www.boonterm.com/,Communication Services,,,,Thailand,,
AAPICO HITECH PUBLIC COMPANY,0.185 Billion USD,15834,0.185 Billion USD,15834,Thailand,,https://www.aapico.com/,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
LALIN PROPERTY PUBLIC COMPANY,0.227 Billion USD,14970,0.227 Billion USD,14970,Thailand,,https://www.lalinproperty.com/,Real Estate,,,,Thailand,,
NAMYONG TERMINAL PUBLIC COMPANY,0.133 Billion USD,17104,0.133 Billion USD,17104,Thailand,,http://www.namyongterminal.com/,Industries; Logistics,,,,Thailand,,
MERMAID MARITIME PUBLIC COMPANY,0.070 Billion USD,19488,0.070 Billion USD,19488,Thailand,,,Energy; Oil and Gas,,,,Frankfurt,,
SEAFCO PUBLIC COMPANY,0.108 Billion USD,17901,0.108 Billion USD,17901,Thailand,,https://www.seafco.co.th/,Industries; Construction,,,,Thailand,,
M.C.S. STEEL PUBLIC COMPANY,0.413 Billion USD,12117,0.413 Billion USD,12117,Thailand,,http://www.mcssteel.com/,Basic Materials; Iron and Steel; Metals,,,,Thailand,,
PREMIER MARKETING PUBLIC COMPANY,0.148 Billion USD,16678,0.148 Billion USD,16678,Thailand,,https://www.premier-marketing.co.th/,Consumer Defensive; Food Chains / Distributor,,,,Thailand,,
NAVA NAKORN PUBLIC COMPANY,0.150 Billion USD,16613,0.150 Billion USD,16613,Thailand,,https://www.navanakorn.co.th/en,Industries,,,,Thailand,,
HAAD THIP PUBLIC COMPANY,0.214 Billion USD,15200,0.214 Billion USD,15200,Thailand,,http://www.haadthip.com/,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,
