name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
PT BARITO PACIFIC TBK,7.304 Billion USD,2168,7.304 Billion USD,2168,Indonesia,,https://barito-pacific.com/,Basic Materials; Chemicals; Petrochemicals,3400.0,Year ending December-2020,Year ending December-2020,Jakarta,,"PT Barito Pacific Tbk is a Joint Venture company. It is engaged in the investment and development of commercial and industrial properties that support petrochemical and power assets. The company has integrated petrochemical company in Indonesia with current total production capacity of 3,458 KTPA. The headquarters is in Indonesia."
PT INDOFOOD CBP SUKSES MAKMUR TBK,,,,,Indonesia,,http://www.indofoodcbp.com/,Consumer Defensive; Food Products; FMCG,,,,Jakarta,,"PT Indofood Sukses Makmur Tbk is a Food Industry company. It is engaged in diverse business categories including noodles, dairy, snack foods, food seasonings, nutrition and special foods and beverages. It business operations are supported by more than 60 plants located in key areas across Indonesia. The company operates a packaging business, producing both flexible and corrugated packaging to support main businesses. The headquarters is in Indonesia."
PT CHAROEN POKPHAND INDONESIA TBK,,,,,Indonesia,,https://cp.co.id/,Consumer Defensive; Meat / Poultry / Fish / Chicken; Food Products,,,,Jakarta,,"PT Charoen Pokphand Indonesia Tbk is a Poultry Processing company. It is engaged in animal feed, breeding and cultivation of broilers along with processing, processed food, preservation of chicken and beef including cold storage units, sales of poultry feed, chicken and beef and materials from animal sources in within the territory of the republic of Indonesia and abroad to the extent permitted by the law that has been determined. The headquarters is in Indonesia."
PT GUDANG GARAM TBK,,26587,,26587,Indonesia,,https://www.gudanggaramtbk.com/,Consumer Defensive; Tobacco Products; Tobacco and Cigarette,,,,Frankfurt,,Gudang Garam is a Cigarette Industry company. It provide an irreplaceable experience in enjoying kretek which is made from selected high quality ingredients. It has been supported by human resources reaching more than 14 thousand people spread across 12 regional representative offices and more than 180 regional representative offices in Indonesia. The headquarters is in Indonesia.
TOKOPEDIA,,2069,,2069,Indonesia,,https://www.tokopedia.com/,eCommerce; Technology; Internet or Mobile App Based Business,4700.0,,,,,TOKOPEDIA is eCommerce and online shopping services providing company with headquarters in Indonesia.
PT SINAR MAS MULTIARTHA TBK,5.240 Billion USD,2817,5.240 Billion USD,2817,Indonesia,,http://www.smma.co.id/,Financial Services; Banking Services; Insurance,7354.0,,,Jakarta,,PT Sinar Mas Multiartha Tbk is a Financial Services and Insurance Holding company. The headquarters is in Indonesia.
PT POLLUX PROPERTI INDONESIA TBK,2.640 Billion USD,4647,2.640 Billion USD,4647,Indonesia,,http://pollux.co.id/,Real Estate; Construction; Commercial Properties,349.0,,,Jakarta,,"Real estate and construction company that builds both residential projects and commercial projects. Headquarters is in Jakarta, Indonesia."
PT UNITED TRACTORS TBK,6.900 Billion USD,2281,6.900 Billion USD,2281,Indonesia,,http://www.unitedtractors.com/,Industries; Construction Equipment; Mining,33139.0,Year ending December-2020,Year ending December-2020,Jakarta,Indonesia ADRs,"PT United Tractors Tbk is a Mining company. The Company is a key player in various sectors and industries in the country through its five business pillars they are namely construction machinery, mining contracting, mining, construction industry and energy. The headquarters is in Indonesia."
PT KALBE FARMA,4.801 Billion USD,3030,4.801 Billion USD,3030,Indonesia,,https://www.kalbe.co.id/,Healthcare; Pharmaceutical,16628.0,,,Jakarta,,"PT Kalbe Farma is a Pharmaceutical company. It provider of an integrated healthcare solution through its 4 business divisions they are the prescription pharmaceutical division, consumer health division, nutritionals division and distribution and logistics division. The company has 16,628 employees as on 2019. The headquarters is in Indonesia."
PT SEMEN INDONESIA (PERSERO) TBK,5.240 Billion USD,2818,5.240 Billion USD,2818,Indonesia,,http://semenindonesia.com/,Basic Materials; Cement; Construction Materials,7769.0,,,Jakarta,,Cement manufacturing company with headquarters in Indonesia.
PT INDOFOOD SUKSES MAKMUR TBK,4.280 Billion USD,3326,4.280 Billion USD,3326,Indonesia,,https://www.indofood.com/,Consumer Defensive; Food and Beverage; Food Products,88704.0,,,Jakarta,,"Food and Beverages company with headquarters in Jakarta, Indonesia."
PT INDOCEMENT TUNGGAL PRAKARSA TBK,3.789 Billion USD,3649,3.789 Billion USD,3649,Indonesia,,http://www.indocement.co.id/,Basic Materials; Cement; Construction Materials,5246.0,,,Jakarta,,PT Indocement Tunggal Prakarsa Tbk is a Cement Producers company. The headquarters is in Indonesia.
TRAVELOKA,,2920,,2920,Indonesia,,https://www.traveloka.com/,Internet or Mobile App Based Business; eCommerce; Consumer Services,2470.0,,,,,"TRAVELOKA offers online booking platform to book flight tickets,rental cars, train tickets, hotel accomodation, bus tickets. Headquarters is in Indonesia."
PT BANK MAYAPADA INTERNASIONAL TBK,3.790 Billion USD,3648,3.790 Billion USD,3648,Indonesia,,https://www.bankmayapada.com/,Financial Services; Banking Services,3506.0,,,Jakarta,,"PT Bank Mayapada Internasional Tbk is a Commercial Bank Services Holding company. It is having 3,506 employees as on 2019. The headquarters is in Indonesia."
PT BAYAN RESOURCES TBK,3.623 Billion USD,3788,3.623 Billion USD,3788,Indonesia,,https://www.bayan.com.sg/,Energy; Coal Mining; Mining,2748.0,,,Frankfurt,,PT Bayan Resources Tbk is a Coal Mining company. It has a rated capacity of 2.5 million tonnes per annum. The company quarterly revenue is 35.54 million USD as on 2020. The headquarters is in Indonesia.
PT PERUSAHAAN GAS NEGARA TBK,2.750 Billion USD,4520,2.750 Billion USD,4520,Indonesia,,https://www.pgn.co.id/,Utilities; Gas Utilities; Natural Gas Distribution,3119.0,,,,,"PT Perusahaan Gas Negara Tbk is a Natural Gas Distribution company. The company annual revenue is 3.848 billion USD, annual net income is 113 million USD, total assets is 7.373 billion USD and     3,119 employees as on 2019. The headquarters is in Indonesia."
PT ADARO ENERGY TBK,3.212 Billion USD,4103,3.212 Billion USD,4103,Indonesia,,http://www.adaro.com/,Energy; Coal Mining,23000.0,,,Frankfurt,Indonesia ADRs,"PT Adaro Energy Tbk is a Coal Mining, Energy and Water Logistics company. The company quarterly revenue is 580.3 million USD and 23,000 employee as on 2020. The headquarters is in Indonesia."
PT MAYORA INDAH TBK,4.560 Billion USD,3168,4.560 Billion USD,3168,Indonesia,,https://www.mayora.com/,Consumer Defensive; Food and Beverage; Food Products,12416.0,,,Jakarta,,"Food and beverages sector company with headquarters in Jakarta, Indonesia. They manufacture:
BISCUIT
BEVERAGES
CANDY
WAFER & CHOCOLATE
INSTANT FOOD
COFFEE
CEREAL
"
PT BANK MEGA TBK,3.520 Billion USD,3870,3.520 Billion USD,3870,Indonesia,,https://www.bankmega.com/en/,Financial Services; Banking Services,5052.0,,,Jakarta,,PT Bank Mega Tbk is a Financial Services company. The headquarters is in Indonesia.
PT INDORITEL MAKMUR INTERNASIONAL,3.460 Billion USD,3911,3.460 Billion USD,3911,Indonesia,,http://www.indoritel.co.id/,Communication Services,340.0,,,Jakarta,,"PT Indoritel Makmur Internasional is a private company focused primarily on the consumer and Retail and Food industries in Indonesia. It engage in internet related businesses, consisting of information technology consulting services relating to internet infrastructure networks and network security systems and management of an online business. The headquarters is in Indonesia."
PT INDAH KIAT PULP & PAPER TBK,4.056 Billion USD,3465,4.056 Billion USD,3465,Indonesia,,http://www.iktangerang.com/,Basic Materials; Paper and Pulp,12000.0,,,Jakarta,,"PT. Indah Kiat Pulp & Paper Tbk is the Technology Supplier for the Paper Making Process company. The company products are color paper and board, fancy color paper and board, stationery, art and hobby and religious book. The headquarters is in Indonesia."
OVO,,3958,,3958,Indonesia,,https://www.ovo.id/,Digital Payment Solution Services; Technology,1900.0,,,,,"OVO is technology company that provides digital payment solution services. Headquarters is in Jakarta, Indonesia."
PT SARANA MENARA NUSANTARA TBK,3.500 Billion USD,3882,3.500 Billion USD,3882,Indonesia,,https://www.ptsmn.co.id/,Communication Services,,,,Jakarta,,
PT BANK DANAMON INDONESIA TBK,2.250 Billion USD,5103,2.250 Billion USD,5103,Indonesia,,https://www.danamon.co.id/,Financial Services; Banking Services,28059.0,,,Jakarta,,
PT MITRA KELUARGA KARYASEHAT TBK,2.720 Billion USD,4551,2.720 Billion USD,4551,Indonesia,,https://mitrakeluarga.com/,Healthcare,7794.0,,,Jakarta,,
PT JASA MARGA (PERSERO) TBK,2.300 Billion USD,5037,2.300 Billion USD,5037,Indonesia,,https://www.jasamarga.com/,Industries; Construction,8311.0,,,Jakarta,,
PT SUMBER ALFARIA TRIJAYA TBK,2.290 Billion USD,5052,2.290 Billion USD,5052,Indonesia,,https://alfamartku.com/,Consumer Defensive; Retail; Convenience Stores,121953.0,,,Jakarta,,Operates over 10000 convenience stores and headquarters is in Indonesia.
PT VALE INDONESIA TBK,3.603 Billion USD,3805,3.603 Billion USD,3805,Indonesia,,http://www.vale.com/,Basic Materials; Copper; Mining,3044.0,,,Jakarta,,Copper mining company with headquarters in Indonesia.
PT BANK PERMATA TBK,5.990 Billion USD,2546,5.990 Billion USD,2546,Indonesia,,https://www.permatabank.com/,Financial Services; Banking Services,7806.0,Year ending December-2020,Year ending December-2020,Jakarta,,PT BANK PERMATA TBK is banking and financial services providing company with headquarters in Indonesia.
PT XL AXIATA TBK,2.090 Billion USD,5317,2.090 Billion USD,5317,Indonesia,,https://www.xl.co.id/,Communication Services; Telecom; Mobile Services,1606.0,,,Jakarta,Indonesia ADRs,"Telecom sector company related mobile network services provider and internet services provider. Headquarters is in Jakarta, Indonesia."
BUKALAPAK,,4472,,4472,Indonesia,,https://www.bukalapak.com/,Internet or Mobile App Based Business; eCommerce,2000.0,,,,,Bukalapak is eCommerce company with headquarters in Indonesia.
PT TRANSCOAL PACIFIC TBK,2.720 Billion USD,4550,2.720 Billion USD,4550,Indonesia,,http://www.transcoalpacific.com/,Industries; Marine Transportation; Transportation,104.0,,,Jakarta,,Marine transportation company related to energy sector. Headquarters is in Indonesia.
P.T. BANK PAN INDONESIA TBK,2.098 Billion USD,5310,2.098 Billion USD,5310,Indonesia,,https://www.panin.co.id/,Financial Services; Banking Services,8191.0,,,Jakarta,,
PT MULTI BINTANG INDONESIA TBK,1.441 Billion USD,6545,1.441 Billion USD,6545,Indonesia,,https://www.multibintang.co.id/,Consumer Defensive; Alcoholic Beverages; Beverages,468.0,,,Jakarta,,Beer and alcoholic beverages company with headquarters in Indonesia.
PT BANK TABUNGAN PENSIUNAN NASIONAL SYARIAH TBK,,,,,Indonesia,,https://www.btpnsyariah.com/,Financial Services; Banking Services,,,,Jakarta,,
PT ELANG MAHKOTA TEKNOLOGI TBK,6.180 Billion USD,2495,6.180 Billion USD,2495,Indonesia,,http://www.emtek.co.id/,Communication Services; Broadcasting,5139.0,Year ending December-2019,Year ending December-2019,Jakarta,,"PT Elang Makita Technology Tab is a Broadcasting and Media company. The company solutions division provides a range of infrastructure and information, communication and technology solutions for the telecommunication, banking and retail payment industries. The headquarters is in Indonesia."
PT PABRIK KERTAS TJIWI KIMIA TBK,2.062 Billion USD,5351,2.062 Billion USD,5351,Indonesia,,http://www.tjiwi.co.id/,Basic Materials; Paper and Pulp,6500.0,,,Jakarta,,
PT BUKIT ASAM TBK,2.207 Billion USD,5161,2.207 Billion USD,5161,Indonesia,,http://www.ptba.co.id/,Energy; Coal Mining,2199.0,,,Frankfurt,,
PT. MEDIA NUSANTARA CITRA TBK,1.160 Billion USD,7353,1.160 Billion USD,7353,Indonesia,,https://www.mnc.co.id/en,Communication Services; Entertainment,,,,Jakarta,,
PT SMARTFREN TELECOM TBK,1.216 Billion USD,7164,1.216 Billion USD,7164,Indonesia,,https://www.techinasia.com/companies/pt-smartfren-telecom-tbk,Communication Services,,,,Jakarta,,
PT ASTRA AGRO LESTARI TBK,1.798 Billion USD,5814,1.798 Billion USD,5814,Indonesia,,https://www.astra-agro.co.id/en/home-en/,Consumer Defensive; Food Products; Cooking Oil,38625.0,,,Jakarta,,Palm oil producing company with headquarters in Indonesia.
PT PAKUWON JATI TBK,1.786 Billion USD,5836,1.786 Billion USD,5836,Indonesia,,https://www.pakuwonjati.com/,Real Estate,2901.0,,,Jakarta,,
PT TOWER BERSAMA INFRASTRUCTURE TBK,2.523 Billion USD,4780,2.523 Billion USD,4780,Indonesia,,http://www.tower-bersama.com/,Communication Services; Infrastructure,680.0,,,Jakarta,,
PT ACE HARDWARE INDONESIA TBK,2.190 Billion USD,5189,2.190 Billion USD,5189,Indonesia,,https://www.acehardware.co.id/company,Consumer Cyclical; Retail,17872.0,,,Jakarta,,"ACE HARDWARE INDONESIA is retail sector company related to home appliances. Headquarters is in Indonesia.
As on 2019, it operates 129 retail stores in 34 cities."
PT BANK BTPN TBK,1.831 Billion USD,5761,1.831 Billion USD,5761,Indonesia,,https://www.btpn.com/,Financial Services; Banking Services,7740.0,,,Jakarta,,
PT ANEKA TAMBANG TBK,0.661 Billion USD,9826,0.661 Billion USD,9826,Indonesia,,https://www.antam.com/en,Basic Materials,,,,Jakarta,,
PT BUMI SERPONG DAMAI TBK,1.875 Billion USD,5676,1.875 Billion USD,5676,Indonesia,,http://www.bsdcity.com/,Real Estate,2172.0,,,Jakarta,,
PT BANK CIMB NIAGA TBK,1.840 Billion USD,5744,1.840 Billion USD,5744,Indonesia,,https://www.cimb.com/,Financial Services; Banking Services,12372.0,,,Jakarta,,
PT MERDEKA COPPER GOLD TBK,3.784 Billion USD,3652,3.784 Billion USD,3652,Indonesia,,https://www.merdekacoppergold.com/en/,Basic Materials; Mining; Copper,2653.0,,,Jakarta,,"PT Merdeka Copper Gold Tbk is a Holding company with operating subsidiaries engaging in mining business activities, encompassing the exploration and future production of gold, silver, copper and other related minerals and mining services company. It contains mineral resource of 2.3 million ounces of gold and 89.8 million ounces of silver and associated ore reserves as on 31 December 2019. The headquarters is in Indonesia."
PT CAPITAL FINANCIAL INDONESIA TBK,1.467 Billion USD,6483,1.467 Billion USD,6483,Indonesia,,http://www.capitalfinancial.co.id/,Financial Services,154.0,,,Jakarta,,
PT MAHA PROPERTI INDONESIA TBK,1.246 Billion USD,7067,1.246 Billion USD,7067,Indonesia,,https://thekahyangansolo.com/,Real Estate; Construction,,,,Jakarta,,
PT BANK TABUNGAN NEGARA (PERSERO) TBK,1.380 Billion USD,6690,1.380 Billion USD,6690,Indonesia,,https://www.btn.co.id/,Financial Services; Banking Services,11647.0,,,Jakarta,,
PT WASKITA KARYA (PERSERO) TBK,1.632 Billion USD,6123,1.632 Billion USD,6123,Indonesia,,https://www.waskita.co.id/?lang=id,Industries; Construction,1986.0,,,Jakarta,,
PT SURYA CITRA MEDIA TBK,2.475 Billion USD,4838,2.475 Billion USD,4838,Indonesia,,http://www.scm.co.id/,Communication Services; Broadcasting,3529.0,,,Jakarta,,
PT CIPUTRA DEVELOPMENT TBK,1.282 Billion USD,6956,1.282 Billion USD,6956,Indonesia,,https://ciputradevelopment.com/,Real Estate,,,,Frankfurt,,
P.T. FAJAR SURYA WISESA TBK,1.278 Billion USD,6968,1.278 Billion USD,6968,Indonesia,,http://www.fajarpaper.com/,Consumer Cyclical; Packaging,,,,Jakarta,,
PT BANK OCBC NISP TBK,1.396 Billion USD,6646,1.396 Billion USD,6646,Indonesia,,https://www.ocbcnisp.com/id/home,Financial Services; Banking Services,5784.0,,,Jakarta,,"OCBC Bank key markets are Singapore, Malaysia, Indonesia and Greater China. It has more than 540 branches and representative offices in 19 countries and regions. These include over 280 branches and offices in Indonesia under subsidiary Bank OCBC NISP, and over 80 branches and offices in Mainland China, Hong Kong SAR and Macau SAR under OCBC Wing Hang. Headquarters is in Indonesia."
PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK,1.704 Billion USD,5979,1.704 Billion USD,5979,Indonesia,,https://www.sidomuncul.co.id/,Healthcare; Pharmaceutical,4088.0,,,Jakarta,,
PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY,1.377 Billion USD,6695,1.377 Billion USD,6695,Indonesia,,https://www.ultrajaya.co.id/,Consumer Defensive; FMCG; Package Foods,1099.0,,,Jakarta,,
PT WIJAYA KARYA (PERSERO),1.388 Billion USD,6669,1.388 Billion USD,6669,Indonesia,,https://www.wika.co.id/,Industries; Construction,2767.0,,,Jakarta,,
PT MNC VISION NETWORKS TBK,0.811 Billion USD,8854,0.811 Billion USD,8854,Indonesia,,https://www.mncvisionnetworks.com/,Communication Services; Entertainment,,,,Jakarta,,
PT. MITRA ADIPERKASA TBK,0.971 Billion USD,8062,0.971 Billion USD,8062,Indonesia,,https://www.map.co.id/,Consumer Cyclical; Retail; Department Stores,,,,Jakarta,,
PT BANK MAYBANK INDONESIA TBK,2.415 Billion USD,4903,2.415 Billion USD,4903,Indonesia,,https://www.maybank.co.id/,Financial Services; Banking Services,,,,Jakarta,,
PT INDOSAT TBK,2.308 Billion USD,5029,2.308 Billion USD,5029,Indonesia,,https://indosatooredoo.com/,Communication Services; Telecom,3708.0,,,Jakarta,,
PT CIKARANG LISTRINDO TBK,0.856 Billion USD,8604,0.856 Billion USD,8604,Indonesia,,https://www.listrindo.com/,Utilities; Electric Utilities,,,,Jakarta,,
PT AKR CORPORINDO TBK,,,,,Indonesia,,,Energy; Oil and Gas,,,,Jakarta,,
PT METROPOLITAN KENTJANA TBK,,,,,Indonesia,,,Real Estate,,,,Jakarta,,
PT MEDCO ENERGI INTERNASIONAL TBK,,,,,Indonesia,,,Energy; Oil and Gas,,,,Jakarta,,
PT JAPFA COMFEED INDONESIA TBK,1.010 Billion USD,7912,1.010 Billion USD,7912,Indonesia,,https://www.japfacomfeed.co.id/,Consumer Defensive; Meat / Poultry / Fish / Chicken; Animal Feed,,,,Jakarta,,
PT MNC SKY VISION TBK,,,,,Indonesia,,,Communication Services; Entertainment,,,,Jakarta,,
PT SUMMARECON AGUNG TBK,0.816 Billion USD,8814,0.816 Billion USD,8814,Indonesia,,https://www.summarecon.com/,Real Estate,,,,Frankfurt,,
PT PURADELTA LESTARI TBK,,26673,,26673,Indonesia,,,Real Estate,,,,Jakarta,,
PT MAP AKTIF ADIPERKASA TBK,,,,,Indonesia,,,Consumer Cyclical; Retail,,,,Jakarta,,
PT ASURANSI JIWA SINARMAS MSIG,,,,,Indonesia,,,Financial Services; Insurance,,,,Jakarta,,
PT PELAYARAN TAMARIN SAMUDRA TBK,,,,,Indonesia,,,Industries; Shipping,,,,Jakarta,,
PT LIPPO KARAWACI TBK,,,,,Indonesia,,,Real Estate,,,,Jakarta,,
PT. GARUDA INDONESIA (PERSERO) TBK,,,,,Indonesia,,,Industries,,,,Jakarta,,
PT INDO TAMBANGRAYA MEGAH TBK,1.067 Billion USD,7682,1.067 Billion USD,7682,Indonesia,,,Energy; Coal Mining,,,,Frankfurt,,
PT BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,,,,,Indonesia,,,Financial Services; Banking Services,,,,Jakarta,,
PT BENTOEL INTERNASIONAL INVESTAMA TBK,,,,,Indonesia,,,Consumer Defensive; Tobacco Products; Tobacco and Cigarette,,,,Jakarta,,
PT SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK,,,,,Indonesia,,,Consumer Defensive,,,,Jakarta,,
PT BANK MESTIKA DHARMA TBK,,,,,Indonesia,,,Financial Services; Banking Services,,,,Jakarta,,
PT MATAHARI DEPARTMENT STORE TBK,,,,,Indonesia,,,Consumer Cyclical,,,,Jakarta,,
PT SILOAM INTERNATIONAL HOSPITALS TBK,,,,,Indonesia,,,Healthcare; Hospitals; Healthcare Service,,,,Jakarta,,
PT GARUDAFOOD PUTRA PUTRI JAYA TBK,,,,,Indonesia,,,Consumer Defensive; FMCG; Package Foods,,,,Jakarta,,
PT ASURANSI KRESNA MITRA TBK,,,,,Indonesia,,,Financial Services; Insurance,,,,Jakarta,,
PT DIAN SWASTATIKA SENTOSA TBK,,,,,Indonesia,,,Energy,,,,Jakarta,,
PT LINK NET TBK,,,,,Indonesia,,,Communication Services,,,,Jakarta,,
PT MEDIKALOKA HERMINA TBK,,,,,Indonesia,,,Healthcare,,,,Jakarta,,
PT MNC LAND TBK,,,,,Indonesia,,,Real Estate,,,,Jakarta,,
PT ADIRA DINAMIKA MULTI FINANCE TBK,,,,,Indonesia,,,Financial Services,,,,Jakarta,,
PT BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,0.717 Billion USD,9425,0.717 Billion USD,9425,Indonesia,,,Financial Services; Banking Services,,,,Frankfurt,,
PT PLAZA INDONESIA REALTY TBK,,,,,Indonesia,,,Real Estate,,,,Jakarta,,
PT SARATOGA INVESTAMA SEDAYA TBK,,,,,Indonesia,,,Financial Services; Asset Management,,,,Jakarta,,
PT PP (PERSERO) TBK,,,,,Indonesia,,,Industries; Construction,,,,Jakarta,,
PT PANIN FINANCIAL TBK,,,,,Indonesia,,,Financial Services; Insurance,,,,Jakarta,,
PT KAPUAS PRIMA COAL TBK,0.341 Billion USD,13082,0.341 Billion USD,13082,Indonesia,,https://www.kapuasprima.co.id/,Basic Materials,,,,Jakarta,,
PT BANK SINARMAS TBK,0.619 Billion USD,10139,0.619 Billion USD,10139,Indonesia,,https://www.banksinarmas.com/,Financial Services; Banking Services,,,,Frankfurt,,
PT PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA TBK,,,,,Indonesia,,,Consumer Defensive,,,,Jakarta,,
PT INDONESIAN PARADISE PROPERTY TBK,,,,,Indonesia,,,Consumer Cyclical,,,,Jakarta,,
PT DUTA PERTIWI TBK,,,,,Indonesia,,,Real Estate,,,,Frankfurt,,
PT SOLUSI BANGUN INDONESIA TBK,0.785 Billion USD,9008,0.785 Billion USD,9008,Indonesia,,https://solusibangunindonesia.com/,Basic Materials; Construction Materials,,,,Jakarta,,
PT KRESNA GRAHA INVESTAMA TBK,,,,,Indonesia,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Jakarta,,
PT CITRA PUTRA REALTY TBK,,,,,Indonesia,,,Consumer Cyclical,,,,Jakarta,,
PT NUSANTARA PROPERTI INTERNASIONAL TBK,,,,,Indonesia,,,Consumer Cyclical,,,,Jakarta,,
PT DMS PROPERTINDO TBK,,,,,Indonesia,,,Real Estate,,,,Jakarta,,
PT TOTALINDO EKA PERSADA TBK,,,,,Indonesia,,,Industries; Construction,,,,Jakarta,,
PT GAYA ABADI SEMPURNA TBK,,26822,,26822,Indonesia,,,Technology,,,,Jakarta,,
PT SELAMAT SEMPURNA TBK,,,,,Indonesia,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Jakarta,,
PT BFI FINANCE INDONESIA TBK,,,,,Indonesia,,,Financial Services,,,,Jakarta,,
PT JAYA KONSTRUKSI MANGGALA PRATAMA TBK,,,,,Indonesia,,,Industries,,,,Jakarta,,
PT PACIFIC STRATEGIC FINANCIAL TBK,,,,,Indonesia,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Jakarta,,
PT AYANA LAND INTERNATIONAL TBK,,,,,Indonesia,,,Real Estate,,,,Jakarta,,
PT JAYA REAL PROPERTY,,,,,Indonesia,,,Real Estate,,,,Jakarta,,
PT UNI-CHARM INDONESIA TBK,,,,,Indonesia,,,Consumer Defensive,,,,Jakarta,,
PT NIPPON INDOSARI CORPINDO TBK,,,,,Indonesia,,,Consumer Defensive; FMCG; Package Foods,,,,Jakarta,,
PT SAWIT SUMBERMAS SARANA,,,,,Indonesia,,,Consumer Defensive,,,,Jakarta,,
PT URBAN JAKARTA PROPERTINDO TBK,,26855,,26855,Indonesia,,,Real Estate,,,,Jakarta,,
PT WASKITA BETON PRECAST TBK,0.478 Billion USD,11370,0.478 Billion USD,11370,Indonesia,,https://web.waskitaprecast.co.id/,Basic Materials; Construction Materials,,,,Jakarta,,
PT RAMAYANA LESTARI SENTOSA TBK,,26615,,26615,Indonesia,,,Consumer Cyclical,,,,Jakarta,,
PT KIMIA FARMA (PERSERO) TBK,,,,,Indonesia,,,Healthcare; Pharmaceutical,,,,Jakarta,,
