Company,Contact Person,Address,Email,Telephone,Fax No.
Bumi Armada Berhad,,"Level 21, Menara Perak 24, Jalan Perak 50450 Kuala Lumpur Malaysia",,03 2171 9028,
Camdy Global Sdn Bhd,Susan K,"No 43A, Jalan TSB 10A, Taman Industri Sungai Buloh, 47000 Sungai Buloh, Selangor, Malaysia.",susan@camdy.com.my,603-27764836,
Cardas Research & Consulting Sdn Bhd,Norashikin,"A-15-10 & A-15-12 Menara A, Prima Avenue Jalan PJU 1/39, Dataran Prima 47301 Petaling Jaya Selangor",norashikin@crcg.com.my,03-7801 0688,03-7801 0699
CARGILL HOLDINGS SDN BHD,Ezza,"Level 22, Menara TM, Off Jalan Pantai Baru, 59200 Kuala Lumpur, Malaysia",,+603-22466537,+603-22463195
CCM Chemicals,Fatin Syazwani,"MENARA NAZA TTDI, LEVEL 16 & 17 NO. 11, JALAN JUDO 13/45, SECTION 13 40100 SHAH ALAM, SELANGOR",fatin-syazwani@ccmberhad.com,03 55166808,
Celcom Axiata Berhad,,"9, Jalan Stesen Sentral 5 Kuala Lumpur Sentral 50470 Kuala Lumpur",,03 2263 8888,
CHEMICAL COMPANY OF MALAYSIA BERHAD,,"13th Floor, Menara PNB 201-A, Jalan Tun Razak 50400 Kuala Lumpur",hr-ccmb@ccmberhad.com,03-2612 3888,
Chemopharm Sdn Bhd,Christine Lee,"No 20, Jalan SS2/66 47300 Petaling Jaya Selangor",chrischlee@chemopharm.com,+603-7872 6000,
CIMA,Naidatul Afiqah,,myelitepath@aicpa-cima.com,6019 206 0813,
CIMB GROUP,,Menara CIMB Jalan Stesen Sentral 2 Kuala Lumpur Sentral 50470 Kuala Lumpur,graduate.careers@cimb.com,+603-2261 8888,+603-2261 8806
CITIBANK MALAYSIA,,"Level 35,  Menara Citibank 165, Jalan Ampang 50450 Kuala Lumpur",,03 2383 0000,
City- Link Express (M) Sdn Bhd,safina,"Wisma City Link, No. 3A, Jalan Akitek U1/22, Seksyen U1, Hicom Glenmarie Industrial Park, 40150 Shah Alam, Selangor.",safina.hrd@citylinkexpress.com.my,016-2263850,03-55693583
Clarivate (Malaysia) Sdn Bhd,,/cdn-cgi/l/email-protection,,,
Codemasters Studios Sdn Bhd,,"13A, Block 1B Plaza Sentral, KL Sentral 50470 Kuala Lumpur",klrecruitment@codemasters.com,603-22799555,
Cognizant Technology Solutions Malaysia,"Ling Hong, Chen","C-11-01, iTech Tower, Jalan Impact, Cyber 6, 63000, Cyberjaya, Selangor Darul Ehsan, Malaysia",CampusAPAC@cognizant.com,03-83133600,03-083133800
Colgate-Palmolive Marketing Sdn.Bhd.,Kavitha Sundaresen,"Jalan Semangat/Jalan Bersatu, Section 13, 46200, Petaling Jaya, Selangor, Malaysia",career_my@colpal.com,03-79654488,
Comcorde Medical M Sdn Bhd,Maggie Soh,"No. 1, Jalan 11/32B, TSI Business Industrial Park, Batu 6.5 Off Jala Kepong, 52000 Kuala Lumpur",hr@comcorde.com.my,0362433245,0362433246
Conext Solution Sdn Bhd,,"Suite: 33-01, 33rd Floor,Menara Keck Seng 203 Jalan Bukit Bintang, Kuala Lumpur, Federal Territory of Kuala Lumpur 55100, MY",recruitment@conextsolution.com,017 2797942,
CONTINENTAL TYRE PJ SDN BHD,Human Relations Recruiting,"No 4, Jalan Tandang 46050 Petaling Jaya Selangor",staffing.pj@conti.my,03 7787 8888 / Ext 974,03 7783 5216
Coway Malaysia,COWAY HR,"Level 20, Menara Ilham, No. 8 Jalan Binjai, 50450 Kuala Lumpur",,03-20590000,
CPA Australia,,"Suite 10.01, Level 10 The Gardens South Tower Mid Valley City 59200 Kuala Lumpur",kl@cpaaustralia.com.au,+603-2267 3388,
Credit Guarantee Corporation Malaysia Berhad,,"Bangunan CGC, Kelana Business Centre 97, Jalan SS7/2, 47301 Petaling Jaya Selangor Darul Ehsan.",recruitment@cgc.com.my,03-7806 2300,
CRS Corporate Services Sdn Bhd,,"Suite 29-5 & 29-6, Level 29, Menara Oval Damansara, 685 Jalan Damansara, 60000 Kuala Lumpur",careers@crsadvisory.com.my,03-77336882,
Crystal International Group Limited,Associate Programme,Crystal Industrial Building 71 How Ming Street Kwun Tong Kowloon Hong Kong,associate@crystalgroup.com,(852) 2261 8888,
CTOS,Sathiya,"Level 8, Tower A, Vertical Business Suite, Avenue 3 Bangsar South, No 8 Jalan Kerinchi 59200, Kuala Lumpur",ctoshr@yahoo.com,0174618510,
DANONE DUMEX (MALAYSIA) SDN BHD,,"Suites 8.01 & 9.01, Level 8 & 9, The Gardens South Tower, Mid Valley City,Lingkaran Syed Putra, 59200 Kuala Lumpur, Malaysia",,03-2298 1688,
Dassault Systemes Innovation Technologies Malaysia Sdn Bhd,Ivan Chin,"Crown Penthouse, 1, First Avenue, Bandar Utama, 47800 Petaling Jaya, Selangor",,03-7494 9100,
Dell Technologies,,"PENANG Plot 76, Mukim 11,  Bukit Tengah Industrial Park 14000 Bukit Mertajam, Penang  CYBERJAYA 2900, Persiaran APEC,  Cyberjaya, 63000 Selangor",Assistance@Dell.com,03-8310-1888,
DELOITTE,,"Level 16, Menara LGB 1, Jalan Wan Kadir Taman Tun Dr Ismail 60000 Kuala Lumpur",myhrdept@deloitte.com,+603-7610 8888,
DHL IT SERVICES,,"3509 & 3511, Jalan Teknokrat 5,  Cyberjaya, 63000 Cyberjaya, Selangor",graduatescareer.its@dhl.com,03-8315 8000,
Dialog Group Berhad,,,recruitment@dialogasia.com,+603-77171111,
Digi Telecommunications Sdn Bhd,,"Lot 10, Jalan Delima 1/1, Subang Hi-tech Industrial Park 40000 Shah Alam Selangor Darul Ehsan",ta@digi.com.my,016-221 1800,
DKSH Corporate Shared Services Center Sdn. Bhd.,Aris Isa,"Level 8, Menara KEN TTDI No. 37, Jalan Burhanuddin Helmi,  Taman Tun Dr Ismail, 60000 Kuala Lumpur.""",,+60327784893,
DKSH MALAYSIA SDN BHD,Noor Mazliana,"B-11-01, The Ascent, Paradigm 1, Jalan SS 7/26A, Kelana Jaya 47301 Petaling Jaya Selangor Darul Ehsan",noor.mazliana@dksh.com,03 7882 8888,03 7882 5555
Doka Formwork Malaysia Sdn Bhd,Carolyn Khaw,"Lot 6, jalan teknologi, taman sains selangor 1, Kota damansara, 47810, petaling jaya, selangor",carolyn.khaw@doka.com,03-61484888,
DRB-HICOM BERHAD,,,,,
Dropee,Lynn N,"A-05-25, Block A, Sunway Geo, Jalan Lagoon Selatan, Sunway South Quay, Bandar Sunway, 47500, Selangor, Malaysia",people@dropee.com,+60356505184,
Dunia Sukan,,"DS AMAL GLOBAL SDN BHD 1-2, D’Bayu Business Centre, Jalan Serambi U8/24, 40150, Shah Alam, Selangor.",myduniasukan@gmail.com,0378317061,
Duopharma Biotech Berhad,,Bangi,gowri@duopharmabiotech.com,03-89242251,03-89257930
DYSON,,"Plo 208, Jalan Cyber 14 Senai Industrial Estate IV 81400 Senai, Johor",,-,
Eco World Development Group Berhad,,"Suite 52, Setia Avenue 2, Jalan Setia Prima S U13/S Setia Alam, Seksyen U13 40170 Shah Alam Selangor Darul Ehsan",career@ecoworldgroup.com.my,+603-3344 2552,
Ekuinas,,"EKUITI NASIONAL BERHAD Level 13, Surian tower Jalan PJU 7/3  47810 Petaling Jaya Selangor",iltizampdp@ekuinas.com.my,+603-7710 7171,
EPF Malaysia,,EPF Building Jalan Raja Laut 50350 Kuala Lumpur,recruitment@epf.gov.my,+603-26166359,
Etika Group of Companies,Annie Tey,"Lot 7, Jalan P/2, Seksyen 13, Kawasan Perusahaan Bandar Baru Bangi, 43650 Bandar Baru Bangi, Selangor Darul Ehsan, Malaysia.",career@etikaholdings.com,+603 8913 5333,
Eucogen Sdn Bhd,Jason,"No 6A, Jalan Sungai Burung U32/U, Bukit Rimau, 40460 Shah Alam, Selangor",jason.hee@eucogen.com,03-51311997,
Evyap Sabun Malaysia Sdn Bhd,,PLO 70 Jalan Nibong 4 Tanjung Langsat Industrial Complex 81700 Pasir Gudang Johor,,607-252 7000,
Experian Malaysia,Lau Wee Kiat,"Ground Floor, Block B, Quill 18, Lingkaran Teknokrat 3 Barat Cyber 4, 63000 Cyberjaya Selangor Darul Ehsan, Malaysia",,+603 -8316 0112,
EXXONMOBIL SUBSIDIARIES IN MALAYSIA,,"Menara ExxonMobil,  Kuala Lumpur City Centre 50088, Kuala Lumpur,  Malaysia",,+603-4815 2000,
EY,Kelly Kok,Level 23A Menara Milenium Jalan Damanlela  Pusat Bandar Damansara  50490 Kuala Lumpur,,+603-7495 8000,
FEDAPI SDN BHD,SOO JING YI,"No. 57F, JALAN MAHKOTA 1, MUTIARA BUKIT RAJA 2",hr2.fedapi@gmail.com,0164679920,
FELDA GLOBAL VENTURES HOLDINGS SDN BHD,,"Level 45, Menara Felda Platinum Park 11, Persiaran KLCC 50088 Kuala Lumpur",career@feldaglobal.com,+603-2859 0000,
Fonterra Brands Malaysia,,"No. 23, Jalan Delima 1/1, Subang Hi Tech Industrial Park, Batu 3, 40300 Shah Alam, Selangor Malaysia",,+603-5885 1888,+603-56352995
Foodpanda Malaysia,Maryanne Richard,"Delivery Hero Malaysia Sdn Bhd 37-01, Level 37, Tower B, The Vertical Corporate Towers, Avenue 10, Bangsar South, No. 8, Jalan Kerinchi, 59200, Kuala Lumpur, Malaysia",,032 772 7268,
Funding Societies,,"Unit 20-11, Tower A, Vertical Business Suite Avenue 3, No., 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Malaysia",,,
Fuze Ecoteer Outdoor Adventure Sdn Bhd,Liyana Salleh,"No 34A, Jalan Stesen, 31250 Tanjung Rambutan, Ipoh, Perak",adventure@fuze-ecoteer.com,012-217 3208,
FWD TAKAFUL BERHAD,HR Deparment,"Menara Shell,  No. 211 Jalan Tun Sambanthan,  50470 Kuala Lumpur, Malaysia.",careers.my@fwd.com,03-2771 7888,
Gabungan AQRS Berhad,,"G58 & 59, Blok G Jalan Teknologi 3/9 Bistari 'De' Kota, Kota Damansara PJU 5, 47810 Petaling Jaya Selangor.",,03-61418181,
GAMUDA BERHAD,Ong Boon Teik,"Block D, Menara Gamuda  PJ Trade Centre  8, Jalan PJU/8A Bandar Damansara Perdana 47820 Petaling Jaya Selangor Darul Ehsan",gbhr@gamuda.com.my,+603-7491 8288,+603-7726 9217
Garena Malaysia Sdn Bhd,Nicole Lee,"Suite 18.01, Level 18, The Gardens North Tower, Mid Valley City, Lingkaran Syed Putra, 59200, Kuala Lumpur, Malaysia.",Nicole - leen@garena.com Amy - choonga@garena.com ,03-2298 9299						,03-2282 2459
General Assembly Malaysia,,"Ground Floor, Bangunan ECM Libra 8, Jalan Damansara Endah, Bukit Damansara, 50490 Kuala Lumpur",partnerships@akademiga.com,03-2300 3331,
GET DOC TECHNOLOGIES SDN BHD,Qian,"D-09-07, Mitraland Corporate Office Tower, 13A, Jalan PJU 5/1, Kota Damansara, 47810 Petaling jaya.",askqian@getdoc.co,0124106347,0376294772
GibraltarBSN Life Bhd,,"Level 21, Mercu 2, KL Eco City, No. 3, Jalan Bangsar, 59200 Kuala Lumpur",,03-2298 2000,
GLOCO MALAYSIA SDN BHD,HR Malaysia,"GLOCO MALAYSIA SDN. BHD. A-G-13A & A-01-13A, Block A, Merchant Square. No.1, Jalan Tropicana Selatan 1,",hrmalaysia@gloco.com,017-4516008,
GRADUAN,,"B7-1 Dataran Palma Jalan Selaman 1 Ampang, 68000",graduancareers@graduan.com,+603-4270 3270,+603-4270 3275
GREAT EASTERN LIFE ASSURANCE (MALAYSIA) BERHAD,,"Menara Great Eastern 303, Jalan Ampang 50450 Kuala Lumpur",hr-my@greateasternlife.com,+603-4813 3221,
GTE GRoup,Azman Azizan,"2A-2, Lorong Tiara 1B, Bandar Baru Klang 41150 Klang, Selangor",gtegroup57@gmail.com,0333432822,
HappyFresh / ICart Malaysia Sdn. Bhd,Azira Ain,"A-11-3, Tower A, North Point Office, Midvalley City, Medan Syed Putra, 59200, Kuala Lumpur",azira.ain@happyfresh.com,018-9876596,
Hartalega,,"No.7, Kawasan Perusahaan Suria, 45600 Bestari Jaya, Selangor",recruit@hartalega.com.my,03 -8707 3000,
Hartamas Real Estate (M) Sdn Bhd,Celeste Chua,"Level 13, Block A, Menara Prima Jalan PJU 1/37 ,Dataran Prima,47301 Petaling Jaya, Selngor Darul Ehsan, Malaysia",generalhr@hartamas.com,0378395555,
Hays,Hays (Sunway),"Level 23, The Pinnacle Sunway,  Persiaran Lagoon, Bandar Sunway 47500,  Selangor, Malaysia",Sunway@hays.com.my,+603 7611 8600,
HENG HUAT RESOURCES GROUP BERHAD,HR DEPARTMENT,"No 2945 (Plot 2), Jalan Sungai Baong,  Kawasan Perindustrian Sungai Baong, Sungai Baong MK 5, 14200 Pulau Pinang, Malaysia",career@henghuat.com.my,045828777,045820451
HK GUA MUSANG SDN BHD,NOR HAFIZAH,"LOT 551, KAWASAN PERINDUSTRIAN GUA MUSANG,  BANDAR GUA MUSANG, JAJAHAN GUA MUSANG, 18300 GUA MUSANG, KELANTAN",careergm@henghuat.com.my,04-5828777,04-5820451
Honda Malaysia Sdn Bhd,,"Head Office Hicom Industrial Park Pegoh PO Box 70, 78000 Alor Gajah Melaka, Malaysia  Sales and Marketing Office P-3-1, Level 3, Pacific Towers Business Hub Jalan 13/6, Seksyen 13, 46200 Petaling Jaya Selangor, Malaysia",recruitment@honda.net.my,06-5591500 / 03-79473000,06-5591515 / 03-79473033
HONG LEONG BANK,Robert Chan,"Level 20, Menara Hong Leong No. 6, Jalan Damanlela, Bukit Damansara 50490 Kuala Lumpur",,603 2081 8901,
HSBC BANK MALAYSIA BERHAD,,"2, Leboh Ampang 50100 Kuala Lumpur",resourcing.and.onboarding.mys@hsbc.com.my,+603-2075 3000,
HUAWEI TECHNOLOGIES (MALAYSIA) SDN BHD,,"Level 19, East Wing, The ICON No. 1, Jalan 1/68F, Off Jalan Tun Razak 55000 Kuala Lumpur Malaysia",,03-2175 5550,
Huntsman Global Business Services,Michele Chan,"16th Floor, The Pinnacle, Persiaran Lagoon, Bandar Sunway 46150 Petaling Jaya, Selangor D.E.",,03-76699524,
ICAEW MALAYSIA,,"Level 2, Chulan Tower 3, Jalan Conlay 50450 Kuala Lumpur",andrew.yew@icaew.com,03-2171 6023,
iflix Sdn Bhd,,"The Playground, Suite 19.01, Level 19,  Centrepoint North, Mid Valley City, Lingkaran Syed Putra.  59200 Kuala Lumpur",,,
IHH Healthcare Malaysia,,"Pantai Medical Centre Sdn Bhd Level 6, Block A Pantai Hospital Kuala Lumpur 8, Jalan Bukit Pantai 59100 Kuala Lumpur",my.mod.careers@parkwaypantai.com,+603 2298 1000,
IHS Markit,Hui Li,"Level 7,8, 9 & 14, Bangunan KWSP 38, Jalan Sultan Ahmad Shah 10050 Penang Malaysia",,+604-2913466,
IJM CORPORATION BERHAD,,"Wisma IJM, Jalan Yong Shook Lin 46050 Petaling Jaya, Selangor",recruitment@ijm.com,03-79858288,
IMS Health Malaysia,Carolyn khaw HR Manager,Damansara uptown,hhkhaw@sg.imshealth.com,+65 6142 7339,+65 6227 5448
INTEL MALAYSIA,Intel Malaysia Recruitment Team,"1) Bayan Lepas Free Industrial Zone, Phase 3, Halaman Kampung Jawa, 11900 Penang  2) KJalan Hi-tech 3, Kulim Hi-tech Park, 09000 Kulim, Kedah",malaysia.staffing@intel.com,04 2530000,
Invention Marketing Group,Lee Chin Hong,"29-03A, Tower A, Pinnacle PJ Jalan Utara C 46200 Petaling Jaya Selangor Darul Ehsan",tinex.recruitment@gmail.com,0129206888,
J&T Express Sdn Bhd,,,,012-8253388,
Japan Pulp & Paper (M) Sdn Bhd,,"Business Suite 19A-22-1, Level 22, UOA Centre, 19 Jalan Pinang, 50450 Kuala Lumpur, Malaysia",bguan@jppm.com.my,+6-03-2181 3383,+6-03-2181 0389
Japan Tobacco International (JTI),,"6th Floor, Menara Manulife,  No 6 Jalan Gelenggang Damansara Heights,  50490 Kuala Lumpur",Malaysia.Careers@jti.com,03-20949011,
Johor Corporation,,"JOHOR CORPORATION  Level 11, Menara KOMTAR,  Johor Bahru City Centre,  80000 Johor Bahru, Johor, Malaysia.",,+607-2192692,
Juris Technologies Sdn Bhd,Elizabeth Lim,"Unit 25-01, Level 25, Tower B, The Vertical Business Suites, Bangsar South, No.8 Jalan Kerinchi, 59200 Kuala Lumpur",,03 2723 8600,
Karex Berhad,"Goh Qiau Wei , HR","Lot. 591 & 594, Persiaran Raja Lumu, Pandamaran Industrial Estate, 42000 Port Klang, Selangor, Malaysia.",,+603 3165 6688,
KAYAKU SAFETY SYSTEMS MALAYSIA SDN BHD,,"PT 12627, PT 12628 & PT 12629 Jalan TechValley 4/2 Sendayan TechValley 71950 Bandar Sri Sendayan Negeri Sembilan",,06-7817000,
Kedai Cetak,Eric Ong Shun Bin,"AS33, Jalan Hang Tuah 3 Taman Salak Selatan 57100 Kuala Lumpur",onlinekedaicetak@gmail.com,03-79800618,
KERRY GROUP,,"26th Floor Menara Zurich, No 15 Jalan Abdullah Tahir, 80300 Johor Bahru, Malaysia?",,,
KEYSIGHT,,"Phase 3,  Bayan Lepas Free Industrial Zone,  11950, Bayan Lepas,  Penang.",kar-in_cheah@keysight.com,04 6808 187,
KHAZANAH NASIONAL BERHAD,Recruitment Unit Strategic Human Capital Management,"Level 22, Mercu UEM, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur",talent.supply@khazanah.com.my,+603-2034 0000,+603-2034 0004
Kopetro,Fazilah / Hazim,"BOK C-18, MEGAN AVENUE II,12, JALAN YAP KWAN SENG,50450, KL",hrm@kopetro.com.my,03-21649434,03-21669904
KPMG IN MALAYSIA,Talent Acquisition Team,"KPMG Tower Level 10, 8 First Avenue Bandar Utama 47800 Petaling Jaya Selangor Darul Ehsan",MY-FMTALENT@KPMG.COM.MY,+603-7721 3388,
KSK Group Berhad,03 2693 1668,"Bangunan KSK, 32 Jalan Yap Ah Shak, 50300 Kuala Lumpur, Malaysia",careers@kskgroup.com,603-2693 1668,
KUMPULAN WANG PERSARAAN (DIPERBADANKAN),,"Level 36, Integra Tower,  The Intermark,  348, Jalan Tun Razak 50400 Kuala Lumpur.",youngtalents@kwap.gov.my,+603-2174 8110,03-2174 8101
KVC INDUSTRIAL SUPPLIES SDN BHD,Talent Acquisition Team,"Wisma KVC, Lot 3, Jalan P10/12, Kawasan Perusahaan Bangi, 43650 Bandar Baru Bangi, Selangor.",recruit@kvc.com.my,603-89252828,603-89255899
Lazada Malaysia,Lazada Malaysia,"Level 37, Menara UOA Bangsar 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",,018-977 7849,
LIBRA INVEST BERHAD,,Principal Office  Ground Floor  Bangunan ECM Libra  8 Jalan Damansara Endah  Damansara Heights  50490 Kuala Lumpur,nsyafeqah_ka@ecmlibra.com,03 2089 1936,
Littles (Malaysia) Sdn Bhd,,,,,
LittleWhiz Marketing Sdn Bhd,Louis Tan,28-1 Jalan Setia Perdana BE U13/BE Bandar Setia Alam Seksyen U13,marketing@littlewhiz.com,162323008,
