id,title,channel,description,skills,jobs
rp8ZGHtd8Os,Ep. 1: Using RingLead to Cleanse Your Marketing & Sales Database,DemandGen (now BDO Digital),"In Episode 1 of this 3-part video-series on the RingLead  Data  Orchestration Platform, John Kosturos from RingLead (now ...",Database; Marketing; Platform; Sales,Sales; Marketing
1vxbSc8Wnl8,Excel Dashboard - Sales Dashboard using Excel for Beginners - learn Microsoft,ne y,link to this course ...,Dashboard; Microsoft; Microsoft Excel; Sales,Sales
43EbUz3opb4,25 minutes Presentation (1),Sidra Anjum Hashmi,Here in Network Marketing we are going to  learn  How to present your business plan in 25 minutes.,Business Plan; Marketing; Network; Presentation,Marketing
HOz4EftateE,Practicum Presentation - Dianne Hanson's Learning Cluster: Moving SMEs to Virtual Training,Learning Cluster Design,"Dianne Hanson, shares her final product, her  Learning  Cluster on moving SMEs to Virtual Instructor Led Training, that she ...",Presentation; Training,Training
uE9xmNRd190,The Simple A/B Testing Framework Every Entrepreneur Should Master,Thrive Themes,We achieved a 25% lift in conversions on one of our sales pages with a simple A/B  test . Want to  learn  how we did it? Then watch ...,A/B Testing; Sales; TestNG,Sales
JLWJNSV2Ya0,Amazon A/B Testing - How to Use Them and What Test is Best,Effective on Amazon,"A/B  testing  is a staple of digital marketing that hasn't been available on Amazon… until now! With Amazon's Main Image, Product ...",A/B Testing; Digital Marketing; Image; TestNG,Marketing
GjhYdktQQaQ,A/B Split Testing in Email Marketing,UseINBOX,A/B  Split  Campaign is the perfect tool to get to know your subscribers and send them more engaging content. Creating an A/B  split  ...,Email Marketing; TestNG; Testing,Marketing
--PX50qRoyE,Case Studies in A/B Testing | Analytics Nexus 2019,Claravine,"Merritt Aho, Marketing Director of Testing & Optimization at Dun & Bradstreet presents ""Case Studies  in A/B Testing "" at Analytics ...",A/B Testing; Data Analytics; Marketing; TestNG,Marketing
FOg3Ljh8sQU,A/B Test Explained | Web Pro Glossary - Online Marketing  Vol.1,GoDaddy Pro,"How to explain an A/B  Test  to your clients: In marketing, an A/B  test  lets you present different versions of content (A and B) to your ...",Online Marketing,Marketing
etg2zs_TmF8,Learn Tableau by Developing Retail Sales KPI Business Dashboard with Automated Analytical Summary,Abhishek Agarrwal,Learn  how to create tableau retail sales dashboard with some creative  visualizations  and KPIs and automated analytical summary ...,Analytical; Dashboard; Retail; Sales; Tableau; Visualization,Sales
-vpdlk3DxVg,Excel 2016 Advanced Level Training | Video Tutorials - learn Microsoft,Brett Allison Ana Dana,link to this course ...,Microsoft; Microsoft Excel; Training,Training
1_ez0rVhhEc,Financial Statements,Dr. Veronica Paz,Principles of Accounting I  Financial Statements  Lesson on my webpage https://www.drvpaz.com/ financial - statements .,Accounting; Financial Statement,Accounting/Finance
3ZrnMcQW6E0,Reading Financial Statements like a Pro - learn Finance,TRAP_MOUDY,link to this course ...,Finance; Financial Statement,Accounting/Finance
4ULMiqk4S1Q,Learn Microsoft Excel- Beginners! Lesson 1 @ PC Brain Trainer #exceltutorial #bhfyp #excel,PC Brain Trainer - Top Tech Tutor,Microsoft Excel tutorial for beginners.  Learn Microsoft Excel - Beginners! Lesson 1 #exceltutorial #excel #exceltraining ...,Microsoft Excel,Training
4_jzA7f1xcI,9.8 ElasticSearch Training - Apache Pig to ElasticSearch Data Processing application part 1,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Pig; Data Pipeline; Elasticsearch; Processing; SystemC; Training,Training
5RsPoyN40Z0,Microsoft Dynamics 365 Marketing: A/B Testing,CRM Dynamics,Please subscribe to watch an informational webinar on the Microsoft Dynamics 365 Marketing Application:  A/B Testing . There are ...,A/B Testing; Marketing; Microsoft; TestNG,Marketing
7t8hUbfmQ0s,10.3 ElasticSearch Training - Build Data Pipeline loading data from ElasticSearch to Apache PIG,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Pig; Data Pipeline; Elasticsearch; PipelineC; SystemC; Training,Training
8YknNTQI5_E,Learn Data Analysis of Supply Chain Data Using Microsoft Excel Part 1: Data Preparation,uneXplord Solutions LLP,"In this video, you can  learn Data Preparation . Where we will be using various functions of MS Excel.",Data Analysis; Data Preparation; Microsoft Excel,Supply Chain and Logistics
9lp-aRAEz4c,Presentation Skills: Public Speaking Presentations done well - learn Communications,MadDe Demon DrMundo Nautilus,link to this course ...,Clear Communication; Presentation; Public Speaking,Corporate Affairs/Communications
A5LTAf41oJs,10.1 ElasticSearch Training - Data Processing using ElasticSearch to Apache PIG Chapter Objective,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Pig; Data Pipeline; Elasticsearch; Objective-C; Processing; SystemC; Training,Training
AHBCP2-nDh4,Apache Hadoop Administration Tutorial for Beginners - Full Course,DataZ,I'm going to explain  apache hadoop  administration. First we i will explain bigdata and hadoop introduction. Next i will explain ...,Administration; Apache Hadoop,General Management and Administration
CZisVUeQR-E,Mastering Microsoft Excel 2010 Made Easy Training Tutorial - learn Microsoft,Jamie Michael,link to this course ...,Microsoft Excel; Training,Training
ChZFWbZ5bF8,Chess Visualization Training,NM Robert Ramirez,"At this point in the course, many of you have acquired a good tactical foundation. Your brain is able to effortlessly identify different ...",Training; Visualization,Training
E5DNz7UmL0c,Simple Financial Statement Tutorial / Made Easy Accounting,S and J Trends,Watch the  financial statement  tutorial.,Accounting; Financial Statement,Accounting/Finance
EiI69BdWKPs,"""Training an Autonomous Pentester with Deep RL"" by Shane Caldwell",Strange Loop Conference,Deep  reinforcement learning  has proven useful in training agents that  learn  useful tasks through trial and error. Can we use these ...,Reinforcement Learning; Training,Training
HPnj7Lx_Qtc,Presenting Under Stress: Presentation Skills Fundamentals - learn Sales,caztegramu,"Change your thoughts andbehavior, to set free the best version of yourself ,,How can we ensure that our  presentations  go well, ...",Golang; Presentation; Sales,Sales
IR5SqKovcIU,9.7 ElasticSearch Training - Prepare dataset for Apache Pig to ElasticSearch Data Processing,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Pig; Data Pipeline; Dataset; Elasticsearch; Processing; SystemC; Training,Training
JRh9PZfz_UY,9.5 ElasticSearch Training - Apache PIG Configuration,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Pig; Configuration; Data Pipeline; Elasticsearch; SystemC; Training,Training
KUr8MLQdv2o,7.9 ElasticSearch Training - Process data from Apache Hive table to ElasticSearch Index Part 1,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Hive; Data Pipeline; Elasticsearch; SystemC; Table; Training,Training
LVADAqeHncE,Financial Statements for Beginners in 1 Hour or Less - learn Finance,Jimmy Neutron,link to this course ...,Finance; Financial Statement; LeSS,Accounting/Finance
MGtUlislAbA,MongoDB Training (beginner to expert level) - learn IT Certification,Amy Ana,link to this course ...,Information Technology (IT); MongoDB; Training,Training
N1fbk4ud8Kw,Data Preparation for Machine Learning | Free Course Part 3,Corporate Finance Institute,"Data  science allows us to make  data -driven insights. In this Free  Data  Science Course by Corporate Finance Institute, we will give ...",Corporate Finance; Data Preparation; Data Science; Machine Learning,Accounting/Finance
OjAGUl3CbL4,Learn Python Programming Masterclass for Free,Top 10 iluxe ,This  Python  For Beginners Course Teaches You The  Python  Language Fast. Includes  Python  Online Training With  Python  3.,Python; Training,Training
PT1Y3u8hCRE,Mastering Microsoft Excel 2016 Made Easy Training Tutorial - learn Microsoft,jawad kanbar,link to this course ...,Microsoft Excel; Training,Training
QZZPJ_Nn_Nk,Java Simple Math Operations | Addition | Subtraction | Multiplication | Division | Learn Java,Learn Java Practicals,"Hello Dear Viewers , Welcome to my Channel , A Video book where we write and execute . This channel helps you with  learning  ...",Division; Java; Multiplication; Subtraction,Manufacturing/Operations
S0O0ti91rdo,Passing LinkedIn's Microsoft Power BI Essential Online Training Exam | NASBA Free Course Certificate,Emma Ayò,"In this video, I'm sharing my process for your practice on how you can pass LinkedIn's  Microsoft Power BI  Essential Online ...",Business Intelligence (BI); Microsoft Power BI; Training,Training
Sgc549id0eE,What is Data Science | Free Course part I,Corporate Finance Institute,"Data  science allows us to make  data -driven insights. In this Free  Data  Science Course by Corporate Finance Institute, we will give ...",Corporate Finance; Data Science,Accounting/Finance
TR6vn4lZ3Mo,Machine Learning: Python Simple Linear Regression | Predict future sales | Predictive Analytics,BI Insights Inc,In this video we will predict a company's sales using simple  linear regression . We use training dataset that has Marketing Budget ...,Budget; Dataset; Machine Learning; Marketing; Nonlinear Regression; Predictive Analytics; Python; Regression; Sales; Simple Linear Regression; Training,Sales; Training; Marketing
UVAToD-vqkU,Regression Problem in MATLAB | Deep Learning | MATLAB Helper,MATLAB Helper ®,00:00 Introduction 00:22 Data information 00:53 Fitting of network 01:27 Training of network 04:08 Training parameters #Deep ...,Deep Learning; MATLAB; Network; Regression; Training,Training
WkDqIWoS-e0,7.2 ElasticSearch Training - Build Data Processing Application using Apache Hive and ElasticSearch,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Hive; Data Pipeline; Elasticsearch; Processing; SystemC; Training,Training
YlWSvMoTSac,AB Testing Strategies & Best Practices with Google Optimize - learn Digital Marketing,Ali Sayed,link to this course ...,A/B Testing; Digital Marketing; QA Testing; TestNG,Marketing
YzR2gZrsdJc,The Principles of Deep Learning Theory - Dan Roberts,Institute for Advanced Study,IAS Physics Group Meeting Topic: The Principles of  Deep Learning  Theory Speaker: Dan Roberts Affiliation: MIT & Salesforce ...,Deep Learning; Physics; Salesforce,Sales
_W6ED-0sBw8,9.4 ElasticSearch Training - Apache PIG Installation,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Pig; Data Pipeline; Elasticsearch; SystemC; Training,Training
aFyfL21m0x8,How to A/B Test Emails | Ecommerce Examples | Best Practices,Kasey Luck,A/B testing  (or  split testing ) in email marketing is a very powerful tool that will allow you to increase not only open rate and click ...,A/B Testing; Email Marketing; TestNG; eCommerce,Marketing
bC2PlXYuELw,Microsoft Power Platform Fundamentals (PL-900) Full Course [Complete Training],Cloud9 Lessons,"Microsoft Power  Platform Fundamentals (PL-900) Full  Course  [Complete  Training ] Cover Topic PL-900 full  course , PL-900 free ...",Microsoft; PL; Platform; Training,Training
bCTsq-HgTlI,HR Analytics - Build Dynamic Excel Dashboard from Scratch - learn Human Resources,Video del cilindro,link to this course ...,Dashboard; Human Resource (HR); Microsoft Excel; Scratch,Human Resources
bRG3rtciNAU,8.2 ElasticSearch Training - Store data from ElasticSearch to Apache Hive Tables Chapter Objectives,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Hive; Data Pipeline; Elasticsearch; SystemC; Table; Training,Training
cjqJxu3-Pbs,A| CONCEPTUAL FRAMEWORK FOR FINANCIAL REPORTING  (MALAYSIA) - AN INTRODUCTION | FAR210,Madam Yusnaliza Hamid,"Introduction to the Conceptual Framework for  Financial Reporting . In April 2018, the Malaysian Accounting Standard Board ...",Accounting Standards; Reporting,Accounting/Finance
d9Mt67UKSio,Databricks Certified Developer for Spark: How To Pass & Training Guide,Florian Roscheck | Databricks Certified Spark Dev,"Are you training to become a Databricks Certified Associate Developer for  Apache Spark  3.0? In this video, I guide you through ...",Apache Spark; Databricks; Training,Training
dY_1Y6ehqoM,"Building a Simple CRUD App with Node, Mongoose, and MongoDB",TechCode,"In this course we will build a simple application to show how to perform full CRUD (create, read, update, delete) operations within ...",MongoDB; Node.js,Manufacturing/Operations
dn6Btsmtrsg,9.1 ElasticSearch Training - ElasticSearch Integration with Apache PIG Introduction,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Pig; Data Pipeline; Elasticsearch; SystemC; Training,Training
fEtPPcvTR5U,7.5 ElasticSearch Training - Configure Apache Hive to connect it to ElasticSearch application,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Hive; Data Pipeline; Elasticsearch; SystemC; Training,Training
fSQCz1SbuGg,Upgrading to the New Magic ETL,Domo,0:00 Intro 0:32 Null Handling with Filter Rows 1:34 Date & Time Parsing 2:18 Date & Time Operations 2:53 Joining and ...,Extract Transform Load (ETL); Parsing,Manufacturing/Operations
fcbB0nkDik8,Introduction to Microsoft Excel - Excel Basics Tutorial,warikoo,"Finally, a dedicated video to MS  Excel ! In almost every video I make about Personal Finance, I figure out a way to include MS ...",Finance; Microsoft Excel,Accounting/Finance
gF0MTMrNXFY,Computer Vision - How Machines learn to Interpret Images – DataMites Webinars,DataMites,DataMites is a global training institute for data science and ai courses. if you are looking for certified courses join DataMites now.,Artificial Intelligence (AI); Computer Vision; Data Science; Image; Interpreter; Training,Training
gtkLsUvFStk,Task1- Do ETL : Extract- transform-load some amazon dataset and finds sales trend,Mohit Thakur,Hello Everyone! I am happy to share with you all that i have completed task1 of my internship at The Intern Academy.,Dataset; Extract Transform Load (ETL); Sales; Transformer,Sales
h6Ro9USXwm4,Hadoop Administration: An easy way to become a Hadoop Admin - learn Network & Security,अंतरिक्ष Tv about antariksh,link to this course ...,Administration; Apache Hadoop; Network; Security,General Management and Administration
hn3NkUrL3_o,PowerPoint presentation course. Learn to create Fantastic PowerPoint presentation in 30 minutes.,King of PowerPoint presentation,Training course - how to create Fantastic professional PowerPoint  presentation  in 30 minutes. In one course from zero to master of ...,Microsoft PowerPoint; Presentation; Training,Training
iK0EUCdB5FU,Accounting Ratios for Financial Statement Analysis,smarthelping | Jason Varner,All the ratios you will ever need to analyze  financial statements  of publicly traded companies or private if you have the data.,Accounting; Financial Statement; Financial Statement Analysis; Trade,Accounting/Finance
k-3y1n4shSI,How to Make a Great Presentation - learn Communications,arigato narutokun,link to this course ...,Clear Communication; Presentation,Corporate Affairs/Communications
kOp4bhurscw,Microsoft Excel Basics - Creating a Sales Report - learn Microsoft,Lucian Baldum Dominique Xayah,link to this course ...,Microsoft Excel; Sales,Sales
lRGZhT_0u_8,8.1 ElasticSearch Training - Moving data from ElasticSearch to Apache Hive Table Introduction,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Hive; Data Pipeline; Elasticsearch; SystemC; Table; Training,Training
mdkJlORR-QY,"Artificial Intelligence:Skills for how to Future-Proof Your Accounting Career in AI, RPA & ML?",Accounts Gurukul,"Artificial Intelligence :Skills for how to Future-Proof Your Accounting Career in  AI , RPA & ML?",Accounting; Artificial Intelligence (AI),Accounting/Finance
nrIPLiXu51Y,Why do your marketing A/B tests fail? // A/B testing tutorial // What is statistical significance?,Elena Bezborodova,categoryId=44121  A/B testing  guide by VWO https://vwo.com/ ab - testing / ABOUT ME: Hey there! I am a digital marketer with 5 ...,A/B Testing; Marketing; QA Testing; TestNG,Marketing
o40L_aO1u3U,Machine Learning & Data Science Cycle | Free Course Part II,Corporate Finance Institute,"Data  science allows us to make  data -driven insights. In this Free  Data  Science Course by Corporate Finance Institute, we will give ...",Corporate Finance; Data Science; Machine Learning,Accounting/Finance
r-7V2s05_ko,Apache Hadoop Essential Training - learn Database Design & Development,George Brack,link to this course ...,Apache Hadoop; Database Design; Training,Training
rH78VCqWwQQ,Learn MongoDB Compass CRUD Operations Without Query in 15 Minutes,Kaushik Roy Chowdhury,"FREE PROMO (Till 06th Nov, 9PM NZ Time): ...",MongoDB; jQuery,Manufacturing/Operations
rIm_-h5u4xQ,How to Read Balance Sheet - learn Finance,COOKIE xFINDER,link to this course ...,Balance Sheet; Finance,Accounting/Finance
sEUD5RKT3bM,Database Management Systems Part - 2,Perceptive Analytics,Database Management Systems  Part - 2 Kalam Knowledge Sharing Session (KKSS) is an internal training session in Perceptive ...,Database Management System (DBMS); Training,Training
tYOtDbaqQ64,Video Presentation & Public Speaking Skills: Complete Guide - learn Communications,Ashe Hector Johnathan,link to this course ...,Clear Communication; Presentation; Public Speaking,Corporate Affairs/Communications
uycGizSRGc8,Presentation Design for Smart People - learn Communications,Bakwan Goreng,link to this course ...,Clear Communication; Design; Presentation,Corporate Affairs/Communications
vnrXoAq0eRw,Database Management Systems Part - 3,Perceptive Analytics,Database Management Systems  Part - 3 Kalam Knowledge Sharing Session (KKSS) is an internal training session in Perceptive ...,Database Management System (DBMS); Training,Training
wVBGS6_8beE,R Programming Course | Learn R Programming | Intellipaat,Intellipaat,#RProgrammingCourse #LearnRProgramming #RProgrammingForBeginners #LearnRLanguage #RTraining ...,R,Training
wisM4LEOwDs,8.4 ElasticSearch Training - Build data processing applications using Apache Hive and ElasticSearch,DataShark Academy,This comprehensive course focuses on building real world like data pipelines to move data from one system to another.,Apache Hive; Data Pipeline; Elasticsearch; Processing; SystemC; Training,Training
xPpk9F2mSPg,Financial Statements 101 - learn Finance,La Divina Pastora,link to this course ...,Finance; Financial Statement,Accounting/Finance
xTq5G8zsZVY,Microsoft Excel Training: From Zero to Hero in 8 Hours - learn Microsoft,Krixi MasterYi Treant,link to this course ...,Microsoft Excel; Training,Training
zXZf8kKM9NA,01 SAP BTP CAPM Training with Mongo DB | Setup Mongo Atlas in Cloud | contact@anubhavtrainings.com,Anubhav Oberoy,MongoDB  is a free and open-source cross-platform document-oriented database program.  Learn  How start with  mongo  atlas ...,Document-oriented Database; Free Hand; MongoDB; MongoDB Atlas; Platform; SAP; Training,Training
7E6vjB7gYLE,A&A Update with Brad Muniz – 11/2/21 | IssuesWatch Podcast,NJCPA,This episode focuses on what auditors need to  know  about the AICPA's new standard on risk-based auditing: SAS 145 ...,Audit; SAS,Audit and Financial/Business Controls
A8nNjpaiP5M,C++ Weekly - Ep 296 - Constraining `auto` in C++20,Cᐩᐩ Weekly With Jason Turner,Support this channel and  learn  something new; buy my  C++  Best Practices Book! https://leanpub.com/cppbestpractices My ...,C++,Training
IcLXLathLfU,Learn Python from Scratch (Day-1)-One Week Live Training Programme,Dr. ENUGALA RAJU,Starts From: 31/10/2021 Timings: Everyday @6PM After attending this course you can  learn Python  programming in a easy way.,Python; Scratch; Training,Training
RSKYdLu87QA,Networking For Cloud Computing (Cloud Network Training – Key To Your Cloud Architect Career),Go Cloud Architects,In this video Networking For  Cloud Computing  (Cloud Network Training – Key To Your Cloud Architect Career) we go over ...,Cloud Architecture; Cloud Computing; Golang; Network; Networking; Training,Training
VH4lIirQJyg,Data-driven approach to A/B testing of mobile games/apps — Webinar,Appbooster — продвижение приложений,Our Sales Director Sam Ganzha is going to talk about a new data-driven approach to  A/B testing  in mobile games. You'll  learn  ...,A/B Testing; Mobile Game; Sales; TestNG,Sales
jy2ZEddLIv4,QEHS Integrated Audits Lessons Learned 2021 rev1,"Innovation Training and Consulting, Inc.","Find out lessons  learned  from many integrated audits conducted for quality (ISO 9001), environmental (ISO 14001), and health ...",Audit; ISO 9001,Audit and Financial/Business Controls
SX6-WMkOmyI,Learn Growth Marketing with Gina Gotthilf of Duolingo,Growth Tribe,Gina led growth and marketing for 5 years at Duolingo. Growing the brand from 3 to 200 million users in 4 years with no paid ...,Marketing,Marketing
0_PF6ei-nLo,ETL Testing || Demo Session Part_01,SVK TECH,"Online / Offline training sessions are available on  ETL  / DWH Testing, DB Testing by Sreekanth. Offline Classes Location: ...",A/B Testing; Extract Transform Load (ETL); TestNG; Training,Training
2aMeMglYySA,Tableau Demo,Learn Tableau Online,"This video is about  Tableau  training. It covers common questions,  Tableau  and SQL course outline.",Structured Query Language (SQL); Tableau; Training,Training
7Xa0ZWG_Bz8,Power BI Tutorial for Beginners - Full Course (2021) NEW,How To Office,"Welcome to this  Microsoft Power BI  Business Intelligence  Training Course  for  Beginners . This is a Beginner  Course  on  Power BI , ...",Business Intelligence (BI); Microsoft Power BI; Training,Training
CGgXHsD19Ek,Sales Dashboard in Power BI | Power BI Dashboard,Lean Excel Solutions,"In this video, it is demonstrated to create a sales  dashboard  in Power BI. A similar  dashboard  is created in Microsoft Excel earlier.",Business Intelligence (BI); Dashboard; Microsoft Excel; Microsoft Power BI; Sales,Sales
IwzVcixkhmw,MATLAB Coding Guidelines - part 2 | Learn MATLAB Programming | Become an Embedded Engineer | Uplatz,Uplatz,"Welcome to Uplatz! Uplatz is a leading organization providing Management Consulting, IT Training, Virtual employees, and ...",Coding; Information Technology (IT); MATLAB; Management Consulting; Programming; Training,Training
L5f5z_kcX8s,Part 1/2 How to Read Financial Reports for Dummies FULL AUDIOBOOK Great to know for Value Investing,Hightower Investing and History Network,"Warren Buffett: ""If you must take one class in college  learn  accounting! It was the most helpful class I took.  Financial  accounting is ...",Financial Accounting,Accounting/Finance
MRtHNqafufg,Interactive Personal Finance Dashboard,MyOnlineTrainingHub,"Visualise, keep track of and manage where you're spending your money with this interactive Excel personal finance  dashboard .",Dashboard; Finance; Microsoft Excel,Accounting/Finance
QfLqzdTqGTs,Data Augmentation in MATLAB | Deep Learning | MATLAB Helper,MATLAB Helper ®,00:00 Introduction 00:23 What is Data Augmentation? 01:14 Information about the dataset 02:18 Training of convolutional neural ...,Dataset; Deep Learning; MATLAB; Training,Training
Sr0CqgcaBiI,Live Matt Dancho (Business Science) - Tidy Time Series Analysis in R,EstaTiDados,"I've previously held titles of sales executive, data science consultant, and now course creator to teach my knowledge - My main ...",Data Science; R; Sales; Time Series Analysis,Sales
U1gFfUrX-Ls,Convolutional Neural Network in MATLAB | Deep Learning | MATLAB Helper,MATLAB Helper ®,00:00 Introduction 00:50 Information about MNIST dataset 04:15 Training of convolutional neural network #Deep # learning  is a ...,Convolutional Neural Network (CNN); Convolutional Neural Network (ConvNet); Dataset; Deep Learning; MATLAB; Training,Training
UVW7zusA6p8,HAMILTONIAN PATH & TRAVELLING SALESMAN PROBLEM | GRAPH THEORY | DISCRETE MATHEMATICS,COSMOS LEARNING,"The traveling salesman problem (also called the travelling salesperson problem or TSP) asks the following question: ""Given a list ...",Discrete Mathematics; Graph Theory; Team Software Process (TSP),Sales
VsX32lYdvRE,Optimization with reinforcement learning on digital twins - Jeroen Boeye Head of Machine Learning,Faktion,What are things in common between The Matrix and your Manufacturing Operations? Here is our Head of Machine  Learning  ...,Machine Learning; Manufacturing Operations; Optimization; Reinforcement Learning,Manufacturing/Operations
YGfL9qRB1GI,Learn How To Do The LegalShield Presentation,"Chris Ward, LegalShield Independent Associate","Technology has given LegalShield associates the ability to leverage third-party, evergreen videos when sharing the LegalShield ...",Presentation,Legal
bjLIA1vSqGs,Interactive Sales Dashboard in Excel| Dynamic Excel Dashboard,Lean Excel Solutions,There are 5 sheets within the Excel Workbook- 1.  Dashboard : Interactive  Dashboard  with visuals 2. Input Data: This sheet has to ...,Dashboard; Microsoft Excel; Sales,Sales
gMInSMbHn0s,Free and Complete BigData Hadoop Demo with RDBMS vs Hadoop explanation,Big Data Hadoop,"... Big Data Administrator Training, You Will Get To See Hadoop Administration Course Content, And  What Is Big Data  Analytics, ...",Administration; Apache Hadoop; Big Data Analysis; Big Data Analytics; Free Hand; Training,General Management and Administration; Training
ht4kJsZluVU,Training a Reinforcement Learning Agent to Play Soccer,Coding Tech,"""Grokking Deep  Reinforcement Learning "" uses engaging exercises to teach you how to build deep learning systems. This book ...",Deep Learning; Play; Reinforcement Learning; Training,Training
lDe8Gi_b0xY,TensorFlow for Computer Vision #3 - Training an Image Classifier with CNNs | Better Data Science,Better Data Science,Train your first Convolutional Neural Network for image classification! The video covers the theory behind convolutions and ...,Classification; Computer Vision; Convolutional Neural Network (CNN); Convolutional Neural Network (ConvNet); Data Science; Image; TensorFlow; Training,Training
m59m1L3xjZQ,001 Visualization Timeline Slide in PowerPoint English,Elite Presenters,This channel contents are subjected to Microsoft PowerPoint training videos.  Learn  and up-skill yourself to became master in ...,English; Microsoft PowerPoint; Training; Visualization,Training
mQqmJBjE9-s,6.1 [Tableau - 2021] Getting Started with Tableau Online | Tableau Training & Tutorials 2021,Analytics Box,Tableau 2021  Learn Tableau  2021 Full Playlist : https://www.youtube.com/playlist?list=PLhBXOOes909j-Zt1D-ph1Bf59VpYIK3Qi.,Tableau; Training; Youtube,Training
mun0bty-6_A,Tableau Training Course I Module - 1 Part A | Getting Started with Data Visualization | By RoundSqr,RoundSqr,MODULE - 1 PART A: GETTING STARTED WITH DATA VISUALIZATION About  Tableau  Training Course: This 9-module course is ...,Data Visualization; Tableau; Training; Visualization,Training
p6tG-dep8f4,TensorFlow for Computer Vision #4 - Convolutions From Scratch in Python | Better Data Science,Better Data Science,Do you know how convolutions work? They are essentially just a bunch of addition and multiplication operations. This video will ...,Computer Vision; Data Science; Multiplication; Python; Scratch; TensorFlow,Manufacturing/Operations
xc4gpToVKbI,MATLAB Coding Guidelines - part 1 | Learn MATLAB Programming | Become an Embedded Engineer | Uplatz,Uplatz,"Welcome to Uplatz! Uplatz is a leading organization providing Management Consulting, IT Training, Virtual employees, and ...",Coding; Information Technology (IT); MATLAB; Management Consulting; Programming; Training,Training
yVAYCj69-q8,Your A/B Tests are Pointless. Here's Why!,Refine Labs,Watch the Full Video: https://www.youtube.com/watch?v=m9Tq93lL6O8 Join us every Tuesday live to get your B2B marketing ...,B2B Marketing; Youtube,Marketing
yYpJoJygIz4,TensorFlow for Computer Vision #2 - Training an Image Classifier with ANNs | Better Data Science,Better Data Science,"Can you train an image classifier with Artificial Neural Networks and Dense layers only? You can, but you shouldn't. This video ...",Artificial Neural Network (ANN); Computer Vision; Data Science; Image; TensorFlow; Training,Training
yv6okH9Ig_M,MongoDB Tutorial for Beginners | MongoDB Step By Step | Learn MongoDB| MongoDB Training |Simplilearn,Simplilearn,This video on  MongoDB  tutorial will help you understand the concepts of one of the most popular NoSQL database ie.  MongoDB .,Database; MongoDB; NoSQL; Training,Training
zPahuPGASAg,Dashboard Reporting | Data Visualization and Dashborad Reporting Training Program,Professional Training Academy,Professional Training Academy in Association with Active Intelligence Visualization  Learning  Center launches our Job Oriented ...,Dashboard; Data Visualization; Professional Training; Reporting; Visualization,Training
6UJi_zhgkHo,Java Learning Path | How to learn Java Programming in 2020 | Java Training | Edureka,edureka!,#edureka #javaedureka #javaLearningPath # learnJava  #javaTutorial #JavaTraining ...,Java; Programming; Training,Training
7xguDDVCpFs,Content Marketing Tutorial - A/B Testing social media copy,LinkedIn Learning,Learn  the about the value of  A/B testing  copy for social media posts. Explore more Content Marketing courses and advance your ...,A/B Testing; Content Marketing; Social Media; TestNG,Marketing
OliJ9GUyB0U,Microsoft Excel Training - Part 6 (Data Validation),Professor Faddams,Microsoft Excel  Tutorial for Beginners - Full Course will make you understand  how to use Excel  for Business. Get training in ...,Microsoft Excel; Training,Training
WfeeV0V-7H8,Data Structure and Algorithm: Graph Theory and Operations,Charles Edeki - Math Computer Science Epidemiology,Learn  about graphs Become familiar with the basic terminology of  graph theory  Discover how to represent graphs in computer ...,Algorithm; Data Structure; Graph Theory,Manufacturing/Operations
ZAAuGEVJsH8,Analyzing Financial Statements in Python,NeuralNine,"In today's little finance tutorial, we will  learn  how to get data and analyze  financial statements  in Python. DISCLAIMER: As always ...",Finance; Financial Statement; Python,Accounting/Finance
j0zlxL5-F04,Talend ETL training session 1,Oracle PLSQL&Talend ETL,"Oracle PLSQL&Talend  ETL  @Talend we have started a Talend training session for the freshers, here is the session 1 video. very ...",Extract Transform Load (ETL); Oracle; Talend; Training,Training
sku76Qsi52s,🔥Tableau Course FREE 2022 | Tableau Training For Beginners | Learn Tableau | Simplilearn,Simplilearn,The 5-hour self-paced  learning  includes the following: Introduction to  Tableau Tableau  Statistics Arithmetic logical LOD ...,Arithmetic; Statistics; Tableau; Training,Training
034T-43deWM,What is Deep Learning? | Deep Learning Tutorial For Beginners | Edureka | Deep Learning Rewind - 2,edureka!,------------------------------------Edureka Online Training and Certification--------------------------------- DevOps Online Training: ...,Deep Learning; DevOps; Training,Training
